date,ticker,fh_high,fh_low,fh_range,day_high,day_low,day_range,width_ratio,width_class,broke_high,broke_low,breakout
2025-11-26,AMD,212.8400,207.0000,5.8400,212.8400,201.0700,11.7700,0.4962,Medium,0,1,Single
2025-11-28,AMD,218.3000,214.0200,4.2800,218.3000,214.0200,4.2800,1.0000,Wide,0,0,None
2025-12-01,AMD,219.9300,213.5000,6.4300,219.9300,211.4100,8.5200,0.7547,Wide,0,1,Single
2025-12-02,AMD,225.9800,219.8000,6.1800,225.9800,218.0800,7.9000,0.7823,Wide,0,1,Single
2025-12-03,AMD,217.2800,211.7686,5.5114,218.9800,211.7686,7.2114,0.7643,Wide,1,0,Single
2025-12-04,AMD,218.4800,214.5729,3.9071,218.4800,214.5729,3.9071,1.0000,Wide,0,0,None
2025-12-05,AMD,223.6420,216.3801,7.2619,223.6420,215.7500,7.8920,0.9202,Wide,0,1,Single
2025-12-08,AMD,223.0600,218.5500,4.5100,223.0600,217.9700,5.0900,0.8861,Wide,0,1,Single
2025-12-09,AMD,223.5900,217.9070,5.6830,225.1900,217.9070,7.2830,0.7803,Wide,1,0,Single
2025-12-10,AMD,222.0000,219.2800,2.7200,222.9900,218.6700,4.3200,0.6296,Wide,1,1,Double
2025-12-11,AMD,217.8100,210.1901,7.6199,221.4200,210.1901,11.2299,0.6785,Wide,1,0,Single
2025-12-12,AMD,222.4900,214.2850,8.2050,222.4900,212.5550,9.9350,0.8259,Wide,0,1,Single
2025-12-15,AMD,215.3600,209.0600,6.3000,215.3600,209.0600,6.3000,1.0000,Wide,0,0,None
2025-12-16,AMD,209.2500,205.1100,4.1400,209.2500,203.2600,5.9900,0.6912,Wide,0,1,Single
2025-12-17,AMD,211.5000,205.1200,6.3800,213.5000,201.1950,12.3050,0.5185,Medium,1,1,Double
2025-12-18,AMD,206.3600,203.0100,3.3500,206.3600,198.1100,8.2500,0.4061,Medium,0,1,Single
