multiplier,ticker,cross_date,cross_half,entry_dt,entry_price,exit_dt,exit_price,exit_reason,one_r,pnl_r,phase2
1.50,AMZN,2025-12-24,AM,2025-12-24 13:30:00,232.3700,2025-12-24 15:15:00,232.4000,chandelier_stop,0.1300,0.231,1
1.50,AMZN,2026-01-06,PM,2026-01-07 09:30:00,241.4200,2026-01-07 15:50:00,240.6500,eod_1550,8.9200,-0.086,0
1.50,AMZN,2026-01-27,AM,2026-01-27 13:30:00,239.5500,2026-01-27 13:50:00,239.3600,disaster_stop,0.2000,-0.950,0
1.50,AMZN,2026-03-05,AM,2026-03-05 13:30:00,216.1000,2026-03-05 13:40:00,215.6800,disaster_stop,0.3200,-1.312,0
1.50,AVGO,2025-02-04,AM,2025-02-04 13:30:00,216.2200,2025-02-04 15:45:00,215.6400,disaster_stop,0.4900,-1.184,0
1.50,AVGO,2025-04-11,PM,2025-04-14 09:30:00,183.9680,2025-04-14 15:50:00,184.7400,eod_1550,11.9080,0.065,0
1.50,AVGO,2025-04-23,AM,2025-04-23 13:30:00,174.8100,2025-04-23 14:00:00,175.5500,chandelier_stop,0.2000,3.700,1
1.50,AVGO,2025-08-29,AM,2025-08-29 13:30:00,304.7400,2025-08-29 13:45:00,304.6300,disaster_stop,0.0700,-1.571,0
1.50,AVGO,2025-09-04,AM,2025-09-04 13:30:00,303.7100,2025-09-04 13:35:00,303.6800,chandelier_stop,0.0400,-0.750,1
1.50,AVGO,2025-10-09,PM,2025-10-10 09:30:00,344.7337,2025-10-10 10:20:00,346.9795,chandelier_stop,2.4852,0.904,1
1.50,AVGO,2025-10-24,AM,2025-10-24 13:30:00,349.9900,2025-10-24 14:00:00,349.7600,disaster_stop,0.1200,-1.917,0
1.50,AVGO,2025-11-06,PM,2025-11-07 09:30:00,353.5120,2025-11-07 09:40:00,343.9003,disaster_stop,3.1789,-3.024,0
1.50,AVGO,2025-11-20,PM,2025-11-21 09:30:00,344.4992,2025-11-21 10:05:00,340.6815,disaster_stop,3.1490,-1.212,0
1.50,AVGO,2025-11-25,AM,2025-11-25 13:30:00,384.4200,2025-11-25 13:35:00,384.6400,chandelier_stop,0.0900,2.444,1
1.50,AVGO,2026-01-14,PM,2026-01-15 09:30:00,349.1200,2026-01-15 11:05:00,343.6100,disaster_stop,4.6200,-1.193,0
1.50,AVGO,2026-02-10,AM,2026-02-10 13:30:00,345.8400,2026-02-10 14:00:00,347.1400,chandelier_stop,0.0800,16.250,1
1.50,AVGO,2026-03-06,AM,2026-03-06 13:30:00,331.4100,2026-03-06 13:45:00,330.1300,disaster_stop,1.1100,-1.153,0
1.50,BA,2025-02-04,AM,2025-02-04 13:30:00,175.5200,2025-02-04 13:50:00,175.4900,disaster_stop,0.8800,-0.034,0
1.50,BA,2025-03-20,AM,2025-03-20 13:30:00,171.5000,2025-03-20 13:45:00,171.6300,chandelier_stop,0.3900,0.333,1
1.50,BA,2025-04-21,AM,2025-04-21 13:30:00,160.0000,2025-04-21 15:50:00,159.3000,eod_1550,2.7866,-0.251,0
1.50,BA,2025-06-30,AM,2025-06-30 13:30:00,213.8200,2025-06-30 14:05:00,214.1700,chandelier_stop,0.4600,0.761,1
1.50,BA,2025-08-11,AM,2025-08-11 13:30:00,229.2600,2025-08-11 13:40:00,226.8000,disaster_stop,0.0600,-41.000,0
1.50,BA,2025-08-27,AM,2025-08-27 13:30:00,234.7300,2025-08-27 13:40:00,234.6600,disaster_stop,0.1500,-0.467,0
1.50,BA,2025-09-29,PM,2025-09-30 09:30:00,217.0950,2025-09-30 09:55:00,215.4950,disaster_stop,1.2150,-1.317,0
1.50,BA,2025-10-07,PM,2025-10-08 09:30:00,222.7300,2025-10-08 11:05:00,222.2400,chandelier_stop,1.4000,-0.350,1
1.50,BA,2025-10-24,AM,2025-10-24 13:30:00,218.5000,2025-10-24 13:40:00,218.3600,disaster_stop,0.1000,-1.400,0
1.50,BA,2025-12-02,PM,2025-12-03 09:30:00,204.6000,2025-12-03 15:50:00,204.9000,eod_1550,10.0900,0.030,0
1.50,BA,2026-02-09,PM,2026-02-10 09:30:00,244.1200,2026-02-10 13:40:00,244.6000,disaster_stop,1.5200,0.316,0
1.50,BABA,2025-02-04,AM,2025-02-04 13:30:00,98.6400,2025-02-04 13:45:00,98.6000,disaster_stop,0.0100,-4.000,0
1.50,BABA,2025-04-23,PM,2025-04-24 09:30:00,115.9465,2025-04-24 09:35:00,116.4135,chandelier_stop,0.3490,1.338,1
1.50,BABA,2025-06-09,PM,2025-06-10 09:30:00,118.5814,2025-06-10 15:50:00,118.7000,eod_1550,1.2114,0.098,0
1.50,BABA,2025-07-15,PM,2025-07-16 09:30:00,115.5000,2025-07-16 09:55:00,114.4207,disaster_stop,0.8200,-1.316,0
1.50,BABA,2025-08-07,AM,2025-08-07 13:30:00,121.4700,2025-08-07 13:55:00,121.4000,disaster_stop,0.0900,-0.778,0
1.50,BABA,2025-08-25,AM,2025-08-25 13:30:00,127.2600,2025-08-25 14:00:00,127.5900,chandelier_stop,0.1500,2.200,1
1.50,BABA,2025-10-24,PM,2025-10-27 09:30:00,179.7400,2025-10-27 15:50:00,179.6300,eod_1550,6.0600,-0.018,0
1.50,BABA,2025-11-25,PM,2025-11-26 09:30:00,157.7500,2025-11-26 10:50:00,158.1100,chandelier_stop,0.7888,0.456,1
1.50,BABA,2025-12-02,PM,2025-12-03 09:30:00,161.0700,2025-12-03 10:05:00,157.5300,disaster_stop,0.1900,-18.632,0
1.50,BABA,2026-01-12,AM,2026-01-12 13:30:00,157.4100,2026-01-12 14:05:00,157.2600,disaster_stop,0.0800,-1.875,0
1.50,BABA,2026-03-18,AM,2026-03-18 13:30:00,141.6000,2026-03-18 13:55:00,141.0200,disaster_stop,0.3900,-1.487,0
1.50,BIDU,2025-02-04,AM,2025-02-04 13:30:00,89.7500,2025-02-04 15:50:00,90.0600,eod_1550,0.4487,0.691,0
1.50,BIDU,2025-03-06,PM,2025-03-07 09:30:00,92.6350,2025-03-07 09:35:00,93.1350,chandelier_stop,0.5550,0.901,1
1.50,BIDU,2025-04-23,AM,2025-04-23 13:30:00,86.9800,2025-04-23 13:40:00,87.9900,chandelier_stop,0.4349,2.322,1
1.50,BIDU,2025-05-12,AM,2025-05-12 13:30:00,90.8000,2025-05-12 15:35:00,90.3500,disaster_stop,0.4540,-0.991,0
1.50,BIDU,2025-06-09,AM,2025-06-09 13:30:00,87.4500,2025-06-09 13:55:00,88.6900,chandelier_stop,0.4373,2.836,1
1.50,BIDU,2025-06-26,AM,2025-06-26 13:30:00,87.2400,2025-06-26 13:50:00,87.2500,disaster_stop,0.0100,1.000,1
1.50,BIDU,2025-07-03,AM,2025-07-03 13:30:00,86.0400,2025-07-03 13:35:00,86.4400,chandelier_stop,0.0400,10.000,1
1.50,BIDU,2025-08-13,PM,2025-08-14 09:30:00,88.8550,2025-08-14 09:35:00,89.1550,chandelier_stop,0.4500,0.667,1
1.50,BIDU,2025-08-22,AM,2025-08-22 13:30:00,90.4001,2025-08-22 15:50:00,88.5200,eod_1550,2.2101,-0.851,0
1.50,BIDU,2025-10-28,AM,2025-10-28 13:30:00,127.1500,2025-10-28 15:50:00,127.1000,eod_1550,0.3400,-0.147,0
1.50,BIDU,2025-11-06,AM,2025-11-06 13:30:00,127.0500,2025-11-06 14:05:00,127.0500,chandelier_stop,0.0600,0.000,1
1.50,BIDU,2025-12-05,AM,2025-12-05 13:30:00,124.6400,2025-12-05 13:40:00,124.5800,disaster_stop,0.0700,-0.857,0
1.50,BIDU,2025-12-22,AM,2025-12-22 13:30:00,123.7600,2025-12-22 13:35:00,124.4050,chandelier_stop,0.0500,12.900,1
1.50,BIDU,2025-12-30,AM,2025-12-30 13:30:00,133.1100,2025-12-30 14:05:00,132.8900,disaster_stop,0.1100,-2.000,0
1.50,C,2025-02-04,PM,2025-02-05 09:30:00,77.0521,2025-02-05 09:50:00,76.7889,disaster_stop,0.1170,-2.250,0
1.50,C,2025-02-06,AM,2025-02-06 13:30:00,77.8300,2025-02-06 13:35:00,77.8100,chandelier_stop,0.0300,-0.667,1
1.50,C,2025-03-24,AM,2025-03-24 13:30:00,71.0900,2025-03-24 13:40:00,72.0121,chandelier_stop,0.3555,2.594,1
1.50,C,2025-04-23,AM,2025-04-23 13:30:00,64.4700,2025-04-23 13:40:00,64.3500,disaster_stop,0.0300,-4.000,0
1.50,C,2025-08-12,PM,2025-08-13 09:30:00,94.9463,2025-08-13 15:50:00,95.2400,eod_1550,3.0863,0.095,0
1.50,C,2025-08-25,AM,2025-08-25 13:30:00,93.9919,2025-08-25 13:40:00,93.9375,disaster_stop,0.0346,-1.572,0
1.50,C,2025-10-16,AM,2025-10-16 13:30:00,99.0000,2025-10-16 15:50:00,98.9000,eod_1550,2.3723,-0.042,0
1.50,C,2025-10-22,AM,2025-10-22 13:30:00,97.3200,2025-10-22 13:40:00,97.2400,disaster_stop,2.6803,-0.030,0
1.50,C,2025-10-27,AM,2025-10-27 13:30:00,98.1900,2025-10-27 13:50:00,99.6936,chandelier_stop,0.4909,3.063,1
1.50,C,2025-11-26,AM,2025-11-26 13:30:00,100.9600,2025-11-26 13:40:00,102.1029,chandelier_stop,0.5048,2.264,1
1.50,C,2026-02-03,AM,2026-02-03 13:30:00,115.9900,2026-02-03 13:35:00,116.1700,chandelier_stop,0.0750,2.400,1
1.50,COIN,2025-02-04,AM,2025-02-04 13:30:00,283.2000,2025-02-04 13:55:00,282.2700,disaster_stop,0.6800,-1.368,0
1.50,COIN,2025-02-13,PM,2025-02-14 09:30:00,288.0150,2025-02-14 09:40:00,281.5219,disaster_stop,5.1949,-1.250,0
1.50,COIN,2025-03-26,AM,2025-03-26 13:30:00,203.9900,2025-03-26 14:35:00,204.2700,chandelier_stop,0.4400,0.636,1
1.50,COIN,2025-04-14,PM,2025-04-15 09:30:00,177.7400,2025-04-15 09:45:00,178.1800,chandelier_stop,1.1400,0.386,1
1.50,COIN,2025-06-04,AM,2025-06-04 13:30:00,262.3400,2025-06-04 14:05:00,261.5900,disaster_stop,0.3500,-2.143,0
1.50,COIN,2025-06-09,AM,2025-06-09 13:30:00,256.1800,2025-06-09 14:15:00,256.1200,chandelier_stop,0.3000,-0.200,1
1.50,COIN,2025-06-18,PM,2025-06-20 09:30:00,303.5800,2025-06-20 15:50:00,307.4100,eod_1550,49.4800,0.077,0
1.50,COIN,2025-09-10,AM,2025-09-10 13:30:00,321.2100,2025-09-10 13:35:00,321.3000,chandelier_stop,0.2100,0.429,1
1.50,COIN,2025-10-01,AM,2025-10-01 13:30:00,344.0700,2025-10-01 13:40:00,343.1300,disaster_stop,0.6800,-1.382,0
1.50,COIN,2025-10-27,PM,2025-10-28 09:30:00,363.2300,2025-10-28 09:35:00,364.5000,chandelier_stop,0.7300,1.740,1
1.50,COIN,2025-12-04,AM,2025-12-04 13:30:00,276.8400,2025-12-04 13:40:00,276.4000,disaster_stop,0.5400,-0.815,0
1.50,COIN,2026-01-06,AM,2026-01-06 13:30:00,255.7500,2026-01-06 14:05:00,255.4300,disaster_stop,0.1400,-2.286,0
1.50,COIN,2026-01-14,AM,2026-01-14 13:30:00,254.1900,2026-01-14 13:55:00,253.5900,disaster_stop,0.5800,-1.034,0
1.50,COIN,2026-02-26,AM,2026-02-26 13:30:00,183.5200,2026-02-26 13:45:00,183.0000,disaster_stop,0.2200,-2.364,0
1.50,COST,2025-02-03,PM,2025-02-04 09:30:00,998.8162,2025-02-04 15:50:00,996.7700,eod_1550,38.2162,-0.054,0
1.50,COST,2025-02-26,AM,2025-02-26 13:30:00,1048.9900,2025-02-26 13:45:00,1048.6100,disaster_stop,0.2300,-1.652,0
1.50,COST,2025-03-04,AM,2025-03-04 13:30:00,1042.7900,2025-03-04 15:15:00,1037.2200,disaster_stop,4.8700,-1.144,0
1.50,COST,2025-04-01,AM,2025-04-01 13:30:00,935.8800,2025-04-01 13:40:00,934.7800,disaster_stop,1.1200,-0.982,0
1.50,COST,2025-04-10,PM,2025-04-11 09:30:00,958.7118,2025-04-11 10:25:00,941.2971,disaster_stop,14.8388,-1.174,0
1.50,COST,2025-06-02,AM,2025-06-02 13:30:00,1044.9426,2025-06-02 15:25:00,1036.4200,disaster_stop,10.6226,-0.802,0
1.50,COST,2025-08-05,AM,2025-08-05 13:30:00,953.9200,2025-08-05 13:40:00,953.4200,disaster_stop,0.1600,-3.125,0
1.50,COST,2025-09-08,PM,2025-09-09 09:30:00,967.2811,2025-09-09 15:50:00,967.6800,eod_1550,9.9711,0.040,0
1.50,COST,2025-10-10,PM,2025-10-13 09:30:00,926.3960,2025-10-13 10:05:00,921.9585,disaster_stop,3.7395,-1.187,0
1.50,COST,2025-11-05,PM,2025-11-06 09:30:00,923.0837,2025-11-06 09:45:00,911.8393,disaster_stop,9.4469,-1.190,0
1.50,COST,2025-12-02,AM,2025-12-02 13:30:00,911.1400,2025-12-02 13:50:00,910.7700,disaster_stop,0.2993,-1.236,0
1.50,COST,2026-01-06,PM,2026-01-07 09:30:00,890.7684,2026-01-07 15:50:00,887.3700,eod_1550,16.8884,-0.201,0
1.50,COST,2026-02-03,AM,2026-02-03 13:30:00,968.7700,2026-02-03 13:40:00,967.8900,disaster_stop,0.3800,-2.316,0
1.50,COST,2026-02-24,PM,2026-02-25 09:30:00,997.1600,2026-02-25 15:50:00,997.5900,eod_1550,10.2800,0.042,0
1.50,COST,2026-03-10,PM,2026-03-11 09:30:00,998.1700,2026-03-11 09:35:00,998.1700,chandelier_stop,0.1700,0.000,1
1.50,COST,2026-03-13,AM,2026-03-13 13:30:00,1002.0100,2026-03-13 14:25:00,1004.6100,chandelier_stop,0.2300,11.304,1
1.50,GOOGL,2025-02-03,PM,2025-02-04 09:30:00,202.5856,2025-02-04 15:50:00,201.9200,eod_1550,3.5156,-0.189,0
1.50,GOOGL,2025-03-26,AM,2025-03-26 13:30:00,169.6400,2025-03-26 13:40:00,168.8600,disaster_stop,0.8100,-0.963,0
1.50,GOOGL,2025-04-14,AM,2025-04-14 13:30:00,158.6200,2025-04-14 13:50:00,158.7400,chandelier_stop,0.2900,0.414,1
1.50,GOOGL,2025-04-24,PM,2025-04-25 09:30:00,166.9500,2025-04-25 15:50:00,164.3600,eod_1550,12.1800,-0.213,0
1.50,GOOGL,2025-05-15,AM,2025-05-15 13:30:00,163.5400,2025-05-15 14:55:00,163.7700,chandelier_stop,0.4000,0.575,1
1.50,GOOGL,2025-06-05,PM,2025-06-06 09:30:00,167.7000,2025-06-06 10:00:00,171.9352,chandelier_stop,0.8385,5.051,1
1.50,GOOGL,2025-10-07,PM,2025-10-08 09:30:00,245.7400,2025-10-08 10:05:00,244.6412,disaster_stop,0.2900,-3.789,0
1.50,GOOGL,2025-10-16,AM,2025-10-16 13:30:00,252.4400,2025-10-16 13:45:00,252.8100,chandelier_stop,0.2900,1.276,1
1.50,GOOGL,2025-12-24,PM,2025-12-26 09:30:00,314.4800,2025-12-26 09:55:00,313.3600,disaster_stop,0.9800,-1.143,0
1.50,GOOGL,2026-01-22,AM,2026-01-22 13:30:00,335.2600,2026-01-22 13:50:00,334.5300,disaster_stop,0.7200,-1.014,0
1.50,GS,2025-02-04,AM,2025-02-04 13:30:00,618.9040,2025-02-04 13:45:00,618.4263,disaster_stop,2.8240,-0.169,0
1.50,GS,2025-03-24,PM,2025-03-25 09:30:00,572.8602,2025-03-25 15:50:00,571.4000,eod_1550,10.4602,-0.140,0
1.50,GS,2025-04-23,AM,2025-04-23 13:30:00,520.3500,2025-04-23 14:00:00,522.2800,chandelier_stop,0.0900,21.444,1
1.50,GS,2025-08-25,PM,2025-08-26 09:30:00,726.3954,2025-08-26 09:50:00,723.0328,disaster_stop,2.2352,-1.504,0
1.50,GS,2025-10-07,PM,2025-10-08 09:30:00,783.7909,2025-10-08 09:40:00,773.5450,disaster_stop,7.1276,-1.437,0
1.50,GS,2025-10-27,PM,2025-10-28 09:30:00,784.0879,2025-10-28 10:55:00,787.8002,chandelier_stop,3.4579,1.074,1
1.50,GS,2025-11-26,AM,2025-11-26 13:30:00,798.5400,2025-11-26 13:40:00,796.9100,disaster_stop,0.6400,-2.547,0
1.50,GS,2026-02-03,AM,2026-02-03 13:30:00,917.8187,2026-02-03 13:35:00,942.7200,chandelier_stop,4.5891,5.426,1
1.50,GS,2026-02-10,PM,2026-02-11 09:30:00,944.7200,2026-02-11 09:40:00,954.8280,chandelier_stop,8.2500,1.225,1
1.50,JPM,2025-02-04,AM,2025-02-04 13:30:00,261.0500,2025-02-04 15:00:00,261.3300,chandelier_stop,0.2900,0.966,1
1.50,JPM,2025-03-24,PM,2025-03-25 09:30:00,244.2104,2025-03-25 15:50:00,244.4000,eod_1550,3.7204,0.051,0
1.50,JPM,2025-04-14,PM,2025-04-15 09:30:00,232.8104,2025-04-15 09:45:00,233.1456,chandelier_stop,0.7593,0.441,1
1.50,JPM,2025-08-15,PM,2025-08-18 09:30:00,287.3119,2025-08-18 10:00:00,286.2320,disaster_stop,0.8719,-1.239,0
1.50,JPM,2025-08-25,AM,2025-08-25 13:30:00,293.1600,2025-08-25 13:40:00,293.0900,disaster_stop,0.1200,-0.583,0
1.50,JPM,2025-09-10,AM,2025-09-10 13:30:00,294.7600,2025-09-10 13:45:00,294.4300,disaster_stop,0.3500,-0.943,0
1.50,JPM,2025-10-29,AM,2025-10-29 13:30:00,302.9400,2025-10-29 13:45:00,302.8500,chandelier_stop,0.0900,-1.000,1
1.50,JPM,2025-12-01,AM,2025-12-01 13:30:00,310.4700,2025-12-01 14:15:00,310.0300,disaster_stop,0.4500,-0.978,0
1.50,JPM,2025-12-12,AM,2025-12-12 13:30:00,316.7400,2025-12-12 13:40:00,316.6900,disaster_stop,0.1400,-0.357,0
1.50,JPM,2026-02-04,AM,2026-02-04 13:30:00,315.5800,2026-02-04 13:40:00,316.9100,disaster_stop,0.0600,22.167,0
1.50,MARA,2025-02-04,AM,2025-02-04 13:30:00,17.7500,2025-02-04 14:00:00,17.6900,disaster_stop,0.0500,-1.200,0
1.50,MARA,2025-03-10,AM,2025-03-10 13:30:00,15.1400,2025-03-10 13:55:00,15.1800,chandelier_stop,0.0300,1.333,1
1.50,MARA,2025-03-25,PM,2025-03-26 09:30:00,14.2000,2025-03-26 09:55:00,13.9998,disaster_stop,0.1100,-1.820,0
1.50,MARA,2025-04-14,PM,2025-04-15 09:30:00,13.0550,2025-04-15 10:00:00,12.9050,disaster_stop,0.1050,-1.429,0
1.50,MARA,2025-05-08,AM,2025-05-08 13:30:00,14.0800,2025-05-08 13:50:00,14.0300,disaster_stop,0.0400,-1.250,0
1.50,MARA,2025-06-09,AM,2025-06-09 13:30:00,16.2000,2025-06-09 13:55:00,16.0800,disaster_stop,0.0810,-1.481,0
1.50,MARA,2025-07-01,AM,2025-07-01 13:30:00,15.4000,2025-07-01 13:40:00,15.3600,disaster_stop,0.0100,-4.000,0
1.50,MARA,2025-08-28,PM,2025-08-29 09:30:00,15.8550,2025-08-29 10:15:00,15.6100,disaster_stop,0.1650,-1.485,0
1.50,MARA,2025-09-10,PM,2025-09-11 09:30:00,15.8600,2025-09-11 09:55:00,15.9950,chandelier_stop,0.1937,0.697,1
1.50,MARA,2025-09-30,AM,2025-09-30 13:30:00,18.1700,2025-09-30 13:50:00,18.2300,chandelier_stop,0.0909,0.660,1
1.50,MARA,2025-12-05,AM,2025-12-05 13:30:00,12.4100,2025-12-05 13:40:00,12.3900,disaster_stop,0.0100,-2.000,0
1.50,MARA,2025-12-10,AM,2025-12-10 13:30:00,12.1800,2025-12-10 13:40:00,12.1200,disaster_stop,0.0100,-6.000,0
1.50,MARA,2026-01-07,AM,2026-01-07 13:30:00,10.2900,2026-01-07 14:10:00,10.2600,disaster_stop,0.0200,-1.500,0
1.50,MARA,2026-01-09,AM,2026-01-09 13:30:00,10.4300,2026-01-09 14:20:00,10.4200,chandelier_stop,0.0100,-1.000,1
1.50,MARA,2026-02-25,PM,2026-02-26 09:30:00,8.5400,2026-02-26 12:45:00,8.5600,disaster_stop,0.2100,0.095,0
1.50,MARA,2026-03-13,AM,2026-03-13 13:30:00,8.9500,2026-03-13 14:00:00,8.9500,chandelier_stop,0.0200,0.000,1
1.50,META,2025-02-04,AM,2025-02-04 13:30:00,698.2100,2025-02-04 15:50:00,698.4400,eod_1550,4.1000,0.056,0
1.50,META,2025-03-26,AM,2025-03-26 13:30:00,625.1100,2025-03-26 13:50:00,625.6600,chandelier_stop,0.0100,55.000,1
1.50,META,2025-04-25,PM,2025-04-26 09:30:00,547.5500,2025-04-28 09:40:00,548.3381,chandelier_stop,2.9600,0.266,1
1.50,META,2025-07-25,PM,2025-07-26 09:30:00,713.6100,2025-07-26 09:35:00,713.6000,chandelier_stop,0.1100,-0.091,1
1.50,META,2025-07-31,AM,2025-07-31 13:30:00,777.6100,2025-07-31 13:55:00,777.9800,chandelier_stop,1.7400,0.213,1
1.50,META,2025-09-08,AM,2025-09-08 13:30:00,753.8800,2025-09-08 13:50:00,753.3800,disaster_stop,0.6700,-0.746,0
1.50,META,2025-10-21,AM,2025-10-21 13:30:00,734.8000,2025-10-21 14:05:00,733.9500,disaster_stop,0.4000,-2.125,0
1.50,META,2025-11-26,PM,2025-11-27 09:30:00,633.1700,2025-11-28 09:30:00,635.5597,chandelier_stop,1.1800,2.025,1
1.50,META,2025-12-17,AM,2025-12-17 13:30:00,658.4500,2025-12-17 13:35:00,658.5600,chandelier_stop,0.0500,2.200,1
1.50,META,2026-03-04,PM,2026-03-05 09:30:00,668.2700,2026-03-05 15:50:00,662.4500,eod_1550,10.7700,-0.540,0
1.50,MSFT,2025-02-03,PM,2025-02-04 09:30:00,408.7223,2025-02-04 11:25:00,405.8000,disaster_stop,2.9168,-1.002,0
1.50,MSFT,2025-02-20,AM,2025-02-20 13:30:00,413.8300,2025-02-20 13:40:00,413.6400,disaster_stop,0.1600,-1.188,0
1.50,MSFT,2025-03-24,AM,2025-03-24 13:30:00,391.6700,2025-03-24 13:35:00,391.9300,chandelier_stop,0.1700,1.529,1
1.50,MSFT,2025-04-11,PM,2025-04-12 09:30:00,387.6900,2025-04-14 15:50:00,388.9900,eod_1550,8.2300,0.158,0
