date,ticker,am_return,pm_return,is_stress
2025-02-03,COST,-0.014386,0.013454,False
2025-02-03,V,-0.010298,-0.001979,False
2025-02-04,PLTR,-0.041148,0.061276,False
2025-02-04,JPM,-0.013508,0.002071,False
2025-02-05,AVGO,-0.023824,0.018692,False
2025-02-05,NVDA,-0.023474,0.012198,False
2025-02-06,NVDA,-0.012685,0.008587,False
2025-02-06,MU,-0.008659,0.002347,False
2025-02-07,IBIT,-0.024674,0.003072,False
2025-02-07,TXN,-0.020952,0.019801,False
2025-02-10,GS,-0.014734,0.017563,False
2025-02-10,BA,-0.011965,0.009236,False
2025-02-11,BABA,-0.050149,0.002161,False
2025-02-11,MSFT,-0.009421,0.000492,False
2025-02-12,TSLA,-0.015316,0.026731,False
2025-02-12,MSFT,-0.009108,-0.006095,False
2025-02-13,BIDU,-0.019205,0.010157,False
2025-02-13,GS,-0.012381,0.005307,False
2025-02-14,TSM,-0.009922,0.002866,False
2025-02-14,MU,-0.008435,-0.004113,False
2025-02-18,COIN,-0.022346,0.014895,False
2025-02-18,MU,-0.015919,0.008741,False
2025-02-19,MSFT,-0.007534,-0.001923,True
2025-02-19,IBIT,-0.004742,0.003482,True
2025-02-20,BABA,-0.096588,0.120507,False
2025-02-20,GS,-0.046530,0.047039,False
2025-02-21,COIN,-0.031799,0.039613,False
2025-02-21,MARA,-0.016283,0.016864,False
2025-02-24,GS,-0.013117,0.007674,True
2025-02-24,AVGO,-0.012426,0.014397,True
2025-02-25,PLTR,-0.025372,0.049915,True
2025-02-25,COIN,-0.021457,0.016585,True
2025-02-26,BA,-0.022397,0.020117,False
2025-02-26,TXN,-0.007751,0.006127,False
2025-02-27,MARA,-0.023223,0.012968,False
2025-02-27,SNOW,-0.018823,0.017494,False
2025-02-28,MARA,-0.022359,0.014196,True
2025-02-28,IBIT,-0.018479,0.010508,True
2025-03-03,IBIT,-0.014725,0.015329,False
2025-03-03,BA,-0.014264,0.012121,False
2025-03-04,MSFT,-0.016450,-0.009498,True
2025-03-04,TXN,-0.008486,0.011764,True
2025-03-05,IBIT,-0.013723,0.016299,False
2025-03-05,TXN,-0.013524,0.019681,False
2025-03-06,TSLA,-0.019720,-0.003292,False
2025-03-06,NVDA,-0.016016,-0.008791,False
2025-03-07,C,-0.029282,0.039427,True
2025-03-07,MSFT,-0.009300,0.001221,True
2025-03-10,MARA,-0.019646,0.012692,True
2025-03-10,IBIT,-0.015961,0.016220,True
2025-03-11,TXN,-0.048642,0.004471,True
2025-03-11,V,-0.012441,0.017426,True
2025-03-12,PLTR,-0.031864,0.030067,False
2025-03-12,SNOW,-0.021819,0.015265,False
2025-03-13,TSLA,-0.037211,0.019469,True
2025-03-13,BIDU,-0.020047,0.017737,True
2025-03-14,PLTR,-0.019164,0.015237,False
2025-03-14,MU,-0.016726,0.009299,False
2025-03-17,PLTR,-0.026006,0.034711,False
2025-03-17,AMD,-0.020273,0.022085,False
2025-03-18,SNOW,-0.022079,0.020267,False
2025-03-18,MSFT,-0.009229,-0.001245,False
2025-03-19,BA,-0.022623,0.001980,False
2025-03-19,COIN,-0.009001,0.003767,False
2025-03-20,MSFT,-0.005656,-0.008144,False
2025-03-20,GOOGL,-0.000849,-0.012447,False
2025-03-21,MSFT,-0.008546,-0.004336,False
2025-03-21,GOOGL,-0.004181,-0.002531,False
2025-03-24,AMD,-0.014399,0.013870,False
2025-03-24,MU,-0.011222,0.009186,False
2025-03-25,MARA,-0.019945,0.016842,False
2025-03-25,TSLA,-0.018864,0.026504,False
2025-03-26,GS,-0.017888,0.015696,False
2025-03-26,MU,-0.017090,0.015736,False
2025-03-27,C,-0.011850,0.014208,True
2025-03-27,MSFT,-0.003031,-0.001623,True
2025-03-28,C,-0.017881,0.018360,True
2025-03-28,TXN,-0.014193,0.012129,True
2025-03-31,COIN,-0.008029,0.000774,True
2025-03-31,IBIT,-0.007892,0.003870,True
2025-04-01,V,-0.009531,0.002253,False
2025-04-01,MSFT,-0.005158,-0.002068,False
2025-04-02,MSFT,-0.013052,-0.006095,False
2025-04-02,TSLA,-0.012538,-0.014657,False
2025-04-03,TXN,-0.031920,0.034118,True
2025-04-03,SNOW,-0.029717,0.039815,True
2025-04-04,BIDU,-0.026570,0.031886,True
2025-04-04,MSFT,-0.012337,-0.012982,True
2025-04-07,MU,-0.057197,0.045213,True
2025-04-07,AVGO,-0.040145,0.035398,True
2025-04-08,AVGO,-0.044518,0.019033,False
2025-04-08,PLTR,-0.041061,0.028546,False
2025-04-09,AMD,0.001262,-0.031014,True
2025-04-09,AVGO,0.002068,-0.037843,True
2025-04-10,TXN,-0.041669,0.072070,False
2025-04-10,META,-0.040732,0.020335,False
2025-04-11,AMD,-0.025633,0.023359,True
2025-04-11,SNOW,-0.020909,0.020444,True
2025-04-14,PLTR,-0.053445,0.032422,False
2025-04-14,MU,-0.026753,0.019578,False
2025-04-15,AVGO,-0.005933,-0.007883,True
2025-04-15,C,-0.005363,0.002731,True
2025-04-16,MSFT,-0.010536,-0.000184,True
2025-04-16,GOOGL,-0.009287,-0.004166,True
2025-04-17,MSFT,-0.005240,0.000459,False
2025-04-17,AAPL,-0.003648,0.004754,False
2025-04-21,COST,-0.029230,0.026695,True
2025-04-21,V,-0.028465,0.025240,True
2025-04-22,TXN,-0.015558,0.000647,False
2025-04-22,BA,-0.015446,0.000063,False
2025-04-23,BA,-0.047471,0.031133,False
2025-04-23,AMD,-0.027156,0.011859,False
2025-04-24,TXN,-0.043445,0.055363,False
2025-04-24,MU,-0.038615,0.038574,False
2025-04-25,MARA,-0.014706,0.015636,False
2025-04-25,MSFT,-0.007780,-0.005141,False
2025-04-28,BA,-0.018003,0.010476,False
2025-04-28,TXN,-0.016100,0.010641,False
2025-04-29,BIDU,-0.000447,0.000727,False
2025-04-29,MSFT,0.000564,-0.004692,False
2025-04-30,MSFT,-0.004936,-0.006494,True
