mean,median,win_rate,N,t_stat,p_value,rsi_bucket,ticker
-0.017099255553745352,-0.024663611529795515,0.21621621621621623,74,-4.821726415660461,7.550546049014528e-06,<30,ETH
-0.009147716048923287,-0.019038048565607646,0.30985915492957744,71,-2.1474145481739666,0.035224898515556435,30-50,ETH
-0.03314428104945908,-0.022960098361662573,0.1,10,-3.659834534185148,0.005236866020246054,>50,ETH
