timestamp,open,high,low,close,volume,ema_9,ema_21,rsi_14,adx_14
2025-02-03 09:30:00,199.9000,202.9400,199.3100,202.1300,14038537,,,,
2025-02-03 13:30:00,202.1600,202.3800,199.7200,200.4300,5767090,,,,
2025-02-04 09:30:00,202.5900,205.8600,202.0100,204.7700,16156778,,,,
2025-02-04 13:30:00,204.7600,206.2300,203.9400,205.3100,11980443,,,,
2025-02-05 09:30:00,190.3100,191.9900,187.2900,189.8000,44241273,,,,
2025-02-05 13:30:00,189.8000,190.7400,188.7600,190.5800,16790007,,,,
2025-02-06 09:30:00,188.7500,190.9700,187.9700,190.8100,14869603,,,,
2025-02-06 13:30:00,190.8300,191.3400,189.6200,190.8700,7448236,,,,
2025-02-07 09:30:00,190.2900,190.4200,182.5200,185.2800,30626904,195.5533,,,
2025-02-07 13:30:00,185.2700,185.6100,184.2700,184.6200,10267377,193.3667,,,
2025-02-10 09:30:00,186.6100,187.4600,185.1200,186.0000,12238335,191.8933,,,
2025-02-10 13:30:00,185.9900,186.9600,185.4300,185.6400,5073460,190.6427,,,
2025-02-11 09:30:00,184.3000,186.2000,183.5500,183.8500,10244068,189.2841,,,
2025-02-11 13:30:00,183.8500,185.0600,183.8400,184.6400,5450201,188.3553,,,
2025-02-12 09:30:00,182.5000,184.3800,181.1100,183.0800,10799631,187.3002,,23.01,
2025-02-12 13:30:00,183.1000,183.3400,182.2800,182.8400,5769070,186.4082,,22.84,
2025-02-13 09:30:00,183.5900,184.3200,182.4200,183.1100,9291506,185.7486,,23.52,
2025-02-13 13:30:00,183.1200,185.5400,182.7700,185.3800,6340518,185.6748,,29.12,
2025-02-14 09:30:00,184.3200,185.6600,183.5900,184.1500,10224372,185.3699,,27.93,
2025-02-14 13:30:00,184.1400,185.1400,184.1200,184.4400,6054177,185.1839,,28.67,
2025-02-18 09:30:00,184.8700,185.2200,182.2900,182.3400,13417542,184.6151,189.0510,26.54,
2025-02-18 13:30:00,182.3600,183.3900,181.0200,183.0400,10724163,184.3001,188.5045,28.45,
2025-02-19 09:30:00,183.3400,184.4500,182.8600,184.0300,9585718,184.2461,188.0977,31.17,
2025-02-19 13:30:00,184.0300,184.7300,183.6800,184.5300,6006114,184.3029,187.7734,32.57,
2025-02-20 09:30:00,184.0700,184.5800,182.0000,183.3800,9915078,184.1183,187.3740,31.01,
2025-02-20 13:30:00,183.3700,184.2600,183.2800,183.8300,6944044,184.0606,187.0518,32.37,
2025-02-21 09:30:00,184.4200,184.6100,179.1100,179.7400,17194727,183.1965,186.3871,27.12,
2025-02-21 13:30:00,179.7600,180.1500,178.3700,178.9500,10488020,182.3472,185.7110,26.24,
2025-02-24 09:30:00,181.2700,182.4000,178.7800,180.3000,13469536,181.9378,185.2191,30.42,56.55
2025-02-24 13:30:00,180.3000,180.3100,178.1800,178.5800,7695689,181.2662,184.6155,28.22,56.01
2025-02-25 09:30:00,177.3400,178.0300,174.0000,175.8400,20007071,180.1810,183.8178,25.12,56.10
2025-02-25 13:30:00,175.8400,176.8400,174.3100,174.7700,12399262,179.0988,182.9952,24.00,56.19
2025-02-26 09:30:00,174.3800,175.3800,172.0600,172.0900,17676915,177.6970,182.0039,21.44,56.55
2025-02-26 13:30:00,172.0800,172.5400,170.9000,172.0200,11156617,176.5616,181.0962,21.38,57.03
2025-02-27 09:30:00,173.3000,173.8700,168.3500,170.2500,16981297,175.2993,180.1102,19.77,57.74
2025-02-27 13:30:00,170.2700,170.7700,167.2800,167.8200,11567186,173.8034,178.9929,17.79,58.51
2025-02-28 09:30:00,168.0100,169.4300,166.1100,167.4000,17019860,172.5227,177.9390,17.46,59.34
2025-02-28 13:30:00,167.3900,169.9400,166.4800,169.6200,10679983,171.9422,177.1827,25.25,59.83
2025-03-03 09:30:00,171.2400,172.6800,167.5300,167.5900,14204681,171.0718,176.3107,23.11,58.89
2025-03-03 13:30:00,167.5800,168.5800,165.2700,166.3500,11728184,170.1274,175.4052,21.88,58.37
2025-03-04 09:30:00,165.5800,171.1800,165.1400,169.9200,24339385,170.0859,174.9065,32.90,56.75
2025-03-04 13:30:00,169.8800,172.6100,169.2300,170.2600,12567845,170.1207,174.4841,33.86,54.68
2025-03-05 09:30:00,169.8500,172.3700,168.3900,171.4900,14978597,170.3946,174.2119,37.34,52.94
2025-03-05 13:30:00,171.5000,173.0900,171.0800,172.3300,8067658,170.7817,174.0408,39.68,51.03
2025-03-06 09:30:00,169.8600,174.1200,169.8300,171.8200,14403870,170.9893,173.8389,38.73,49.55
2025-03-06 13:30:00,171.8200,172.1700,170.1900,171.7000,8368748,171.1315,173.6445,38.50,48.18
2025-03-07 09:30:00,170.5800,173.3100,169.6000,172.7000,14917110,171.4452,173.5586,41.64,46.38
2025-03-07 13:30:00,172.7400,174.2800,172.0600,173.1400,8308922,171.7841,173.5206,43.02,44.28
2025-03-10 09:30:00,167.8000,168.0000,163.2400,164.7800,23524965,170.3833,172.7260,29.00,44.25
2025-03-10 13:30:00,164.7800,166.1700,163.5400,165.4200,12821925,169.3907,172.0618,30.86,44.23
2025-03-11 09:30:00,164.4600,166.2900,161.2100,161.2400,16876053,167.7605,171.0780,26.07,44.56
2025-03-11 13:30:00,161.2300,165.9000,160.9300,163.5400,10881916,166.9164,170.3927,32.30,44.92
2025-03-12 09:30:00,166.1200,166.9100,163.0800,166.5500,13864700,166.8431,170.0434,39.49,44.79
2025-03-12 13:30:00,166.5400,167.1800,165.1700,166.6200,7187477,166.7985,169.7322,39.65,44.55
2025-03-13 09:30:00,165.5800,165.6700,161.8800,162.2800,12934034,165.8948,169.0547,33.68,44.90
2025-03-13 13:30:00,162.2900,163.7700,161.6600,162.3100,8336373,165.1778,168.4415,33.76,45.27
2025-03-14 09:30:00,162.8200,165.0300,162.0000,164.0800,17301286,164.9583,168.0450,38.15,44.99
2025-03-14 13:30:00,164.0900,166.0300,163.5500,164.9800,8107560,164.9626,167.7664,40.32,44.26
2025-03-17 09:30:00,164.5800,165.8400,163.2200,164.3000,11346978,164.8301,167.4513,39.20,43.66
2025-03-17 13:30:00,164.3100,165.0800,163.3600,163.7700,10234058,164.6181,167.1166,38.31,43.10
2025-03-18 09:30:00,163.2200,163.8000,156.2900,159.3200,24314208,163.5585,166.4078,31.77,43.91
2025-03-18 13:30:00,159.3300,160.3700,158.7600,160.2200,7491391,162.8908,165.8453,34.22,44.65
2025-03-19 09:30:00,161.3100,162.6500,160.5600,162.0500,11380314,162.7226,165.5003,39.01,44.27
2025-03-19 13:30:00,162.0600,165.4100,161.7400,163.5100,12604557,162.8801,165.3193,42.59,42.80
2025-03-20 09:30:00,161.1200,164.4400,160.5200,161.7200,12312130,162.6481,164.9921,39.52,41.71
2025-03-20 13:30:00,161.7200,162.6700,161.0700,162.3500,7551084,162.5885,164.7519,41.13,40.69
2025-03-21 09:30:00,160.7600,163.0700,160.4500,162.3100,14800866,162.5328,164.5299,41.06,39.90
2025-03-21 13:30:00,162.3100,163.7900,162.1400,163.5700,7617657,162.7402,164.4427,44.48,38.84
2025-03-24 09:30:00,166.6000,167.3900,164.6900,166.5600,13089065,163.5042,164.6352,51.65,36.44
2025-03-24 13:30:00,166.5600,167.8600,166.2400,167.0500,7777929,164.2133,164.8547,52.72,34.04
2025-03-25 09:30:00,168.5100,169.9900,167.8500,169.0000,11618242,165.1707,165.2315,56.84,32.11
2025-03-25 13:30:00,169.0000,170.1600,168.8600,170.0900,6598544,166.1545,165.6732,58.99,30.38
2025-03-26 09:30:00,168.5300,169.1400,165.9700,166.0600,12590545,166.1356,165.7084,49.22,28.66
2025-03-26 13:30:00,166.0500,166.0800,164.3900,164.6000,9108579,165.8285,165.6076,46.24,27.54
2025-03-27 09:30:00,164.1800,164.9600,162.4400,162.4900,11456756,165.1608,165.3242,42.25,27.04
2025-03-27 13:30:00,162.4600,162.8600,161.5500,161.7300,8083647,164.4746,164.9974,40.88,26.81
2025-03-28 09:30:00,160.0500,161.3700,154.1800,154.3000,22973914,162.4397,164.0250,30.48,28.05
2025-03-28 13:30:00,154.3000,155.1800,153.2100,153.9000,16450607,160.7318,163.1045,30.04,29.35
2025-03-31 09:30:00,152.6900,153.9200,150.2500,153.4200,24777937,159.2694,162.2241,29.49,30.96
2025-03-31 13:30:00,153.4100,155.1100,152.7800,154.1100,12240637,158.2375,161.4864,31.44,31.98
2025-04-01 09:30:00,153.2000,157.6600,153.2000,156.4800,18184314,157.8860,161.0313,37.82,31.97
2025-04-01 13:30:00,156.4800,156.8100,155.0200,156.6100,7134680,157.6308,160.6294,38.16,31.95
2025-04-02 09:30:00,154.7200,157.9700,154.2700,157.6400,11665079,157.6327,160.3576,40.92,31.50
2025-04-02 13:30:00,157.6400,157.6500,155.3200,156.5000,8204611,157.4061,160.0069,38.85,31.08
2025-04-03 09:30:00,150.6900,152.3600,149.9800,151.5300,23636158,156.2309,159.2363,31.41,31.75
2025-04-03 13:30:00,151.5200,151.8700,150.1000,150.3000,12926986,155.0447,158.4239,29.89,32.37
2025-04-04 09:30:00,147.6000,150.6500,145.7500,147.3300,30984334,153.5018,157.4154,26.54,33.62
2025-04-04 13:30:00,147.3200,148.7900,144.9800,145.1100,19584365,151.8234,156.2967,24.34,34.89
2025-04-07 09:30:00,141.1600,152.4300,140.1400,147.2700,47278350,150.9127,155.4761,30.38,36.64
2025-04-07 13:30:00,147.2600,148.4500,145.1900,146.4000,17058033,150.0102,154.6510,29.36,38.27
2025-04-08 09:30:00,150.8000,151.8200,146.0300,146.1400,26163220,149.2362,153.8773,29.05,38.44
2025-04-08 13:30:00,146.1300,147.9000,142.6400,144.2800,17600374,148.2449,153.0048,26.85,39.07
2025-04-09 09:30:00,144.0200,155.5100,143.5100,152.2500,26062229,149.0459,152.9362,45.81,37.40
2025-04-09 13:30:00,152.3100,159.1100,152.2200,158.2300,31156092,150.8827,153.4174,55.20,35.03
2025-04-10 09:30:00,156.1100,157.2900,149.5200,152.4800,23849283,151.2022,153.3322,46.80,33.33
2025-04-10 13:30:00,152.4500,154.4200,151.1500,152.4000,15789825,151.4418,153.2475,46.70,31.76
2025-04-11 09:30:00,152.4800,157.0900,152.4000,155.6200,16166899,152.2774,153.4631,51.48,29.68
2025-04-11 13:30:00,155.6400,157.2400,155.1700,156.5700,11317068,153.1359,153.7456,52.82,27.71
2025-04-14 09:30:00,159.5500,161.2700,157.1300,158.0600,16440460,154.1207,154.1378,54.93,26.45
2025-04-14 13:30:00,158.0400,159.9500,157.6900,158.6700,8102905,155.0306,154.5498,55.81,25.29
2025-04-15 09:30:00,158.6900,159.2100,154.8100,155.0500,14659304,155.0345,154.5953,49.67,23.49
2025-04-15 13:30:00,155.0400,156.1200,154.7800,155.8700,7295159,155.2016,154.7112,50.98,21.82
2025-04-16 09:30:00,152.6800,155.4600,152.2100,154.4400,10330330,155.0493,154.6865,48.60,20.87
2025-04-16 13:30:00,154.4400,154.4700,151.0900,152.9000,10594047,154.6194,154.5241,46.10,20.23
2025-04-17 09:30:00,153.8700,154.2500,148.0900,150.5700,19912172,153.8095,154.1646,42.53,20.27
2025-04-17 13:30:00,150.5700,151.7700,150.1600,150.7900,8094863,153.2056,153.8579,42.98,20.31
2025-04-21 09:30:00,148.4700,148.5300,145.8200,146.0600,11899950,151.7765,153.1490,36.40,21.16
2025-04-21 13:30:00,146.0600,147.5700,145.7000,147.2400,7240895,150.8692,152.6118,38.91,21.97
2025-04-22 09:30:00,148.4800,151.7700,148.1300,149.4100,12910344,150.5774,152.3207,43.35,21.41
2025-04-22 13:30:00,149.4000,151.3500,149.2700,151.0600,7180771,150.6739,152.2061,46.52,20.89
2025-04-23 09:30:00,155.1800,157.0900,153.3900,155.1100,17285710,151.5611,152.4701,53.43,19.86
2025-04-23 13:30:00,155.1300,155.5300,153.9900,154.8400,7623468,152.2169,152.6855,52.93,18.89
2025-04-24 09:30:00,155.7200,158.3600,155.3600,158.1000,15250028,153.3935,153.1778,57.95,18.62
2025-04-24 13:30:00,158.1100,159.1500,157.7100,158.6000,12641218,154.4348,153.6707,58.68,18.54
2025-04-25 09:30:00,164.6200,165.6400,161.0400,162.3600,35321532,156.0198,154.4606,63.76,19.61
2025-04-25 13:30:00,162.3600,162.3900,160.6000,161.4100,13393898,157.0979,155.0924,61.70,20.46
2025-04-28 09:30:00,161.9800,162.7000,158.3000,158.3900,15527780,157.3563,155.3922,55.54,20.57
