timestamp,open,high,low,close,volume,ema_9,ema_21,rsi_14,adx_14
2025-02-03 09:30:00,113.8800,115.1600,112.9800,113.4000,20279605,,,,
2025-02-03 13:30:00,113.4000,114.7400,113.3800,114.2400,8311120,,,,
2025-02-04 09:30:00,115.4500,118.3500,114.7900,118.0700,23843114,,,,
2025-02-04 13:30:00,118.0600,119.8500,117.9800,119.6100,16386808,,,,
2025-02-05 09:30:00,107.6100,111.7200,106.5000,109.7400,77932704,,,,
2025-02-05 13:30:00,109.7300,112.0900,109.5700,112.0100,20952246,,,,
2025-02-06 09:30:00,110.9300,112.5600,109.0200,110.2600,31684771,,,,
2025-02-06 13:30:00,110.2600,111.0900,109.4000,110.1400,14641301,,,,
2025-02-07 09:30:00,109.1300,109.9200,106.7900,108.1900,29013238,112.8511,,,
2025-02-07 13:30:00,108.2000,108.3800,107.1000,107.5200,12575566,111.7849,,,
2025-02-10 09:30:00,108.4400,111.4000,108.1500,110.7600,22506049,111.5799,,,
2025-02-10 13:30:00,110.7600,110.9000,110.3300,110.4700,9011188,111.3579,,,
2025-02-11 09:30:00,108.9800,113.0700,108.9400,111.2300,23446481,111.3323,,,
2025-02-11 13:30:00,111.2300,111.7200,110.8100,111.1200,8830782,111.2899,,,
2025-02-12 09:30:00,109.5200,111.2000,109.0600,110.6800,14912142,111.1679,,45.09,
2025-02-12 13:30:00,110.7100,111.8400,110.4200,111.7000,7403878,111.2743,,47.18,
2025-02-13 09:30:00,112.0000,114.6000,111.1700,112.1800,23338407,111.4555,,48.19,
2025-02-13 13:30:00,112.1900,112.3000,110.4000,111.7900,14487580,111.5224,,47.40,
2025-02-14 09:30:00,112.6500,114.6300,111.7000,112.6400,21292213,111.7459,,49.34,
2025-02-14 13:30:00,112.6300,113.2500,112.4700,113.1100,7683090,112.0187,,50.43,
2025-02-18 09:30:00,114.0500,115.5500,113.4500,113.9600,18713346,112.4070,112.0390,52.42,
2025-02-18 13:30:00,113.9500,114.5100,113.4700,114.2600,9386312,112.7776,112.2410,53.14,
2025-02-19 09:30:00,114.2400,116.1100,113.1400,114.5700,17723778,113.1361,112.4527,53.91,
2025-02-19 13:30:00,114.5800,115.4300,114.3700,114.6700,6206840,113.4428,112.6543,54.17,
2025-02-20 09:30:00,115.0100,116.5500,113.1000,113.6700,17809584,113.4883,112.7466,51.05,
2025-02-20 13:30:00,113.6700,114.1900,113.4800,114.1500,6548311,113.6206,112.8742,52.46,
2025-02-21 09:30:00,114.8400,115.7600,111.2200,111.4800,19360373,113.1925,112.7474,44.70,
2025-02-21 13:30:00,111.4800,112.4000,110.4300,110.7900,15978722,112.7120,112.5695,42.93,
2025-02-24 09:30:00,111.4900,111.6000,108.1600,109.9100,16025204,112.1516,112.3277,40.72,10.27
