timestamp,open,high,low,close,volume,ema_9,ema_21,rsi_14,adx_14
2025-02-03 09:30:00,174.1100,178.2000,173.1300,175.8900,4039678,,,,
2025-02-03 13:30:00,175.9400,177.8000,174.1100,175.9200,1719558,,,,
2025-02-04 09:30:00,176.9000,177.4500,174.2500,174.7200,2423864,,,,
2025-02-04 13:30:00,174.6800,176.4500,174.3700,176.2200,1534537,,,,
2025-02-05 09:30:00,176.0000,180.5600,175.5000,180.2300,4074997,,,,
2025-02-05 13:30:00,180.2200,181.8600,180.1500,181.8300,2539391,,,,
2025-02-06 09:30:00,182.0000,185.8500,182.0000,183.6100,4385544,,,,
2025-02-06 13:30:00,183.6200,184.8500,182.3400,184.8000,1992091,,,,
2025-02-07 09:30:00,185.2600,186.1100,181.6000,182.7900,2861136,179.5567,,,
2025-02-07 13:30:00,182.7900,183.2700,180.9300,181.4000,1732540,179.9253,,,
2025-02-10 09:30:00,183.1200,183.5500,179.9000,180.9400,2345511,180.1283,,,
2025-02-10 13:30:00,180.9000,181.1600,180.3000,180.6700,1172605,180.2366,,,
2025-02-11 09:30:00,179.7800,182.1400,177.6000,181.2700,2259058,180.4433,,,
2025-02-11 13:30:00,181.2400,182.1200,180.1600,180.4800,1509696,180.4506,,,
2025-02-12 09:30:00,178.3400,183.9000,178.2500,183.1200,3009698,180.9845,,68.57,
2025-02-12 13:30:00,183.1200,186.2700,182.8100,186.2500,3720447,182.0376,,73.21,
2025-02-13 09:30:00,187.0000,188.2400,185.0900,186.4400,3238077,182.9181,,73.46,
2025-02-13 13:30:00,186.4700,187.7500,185.3400,185.4500,2441526,183.4245,,69.72,
2025-02-14 09:30:00,186.7500,186.8200,183.5800,184.1000,2625597,183.5596,,64.88,
2025-02-14 13:30:00,184.0500,184.7500,183.6800,184.4200,1443190,183.7317,,65.49,
2025-02-18 09:30:00,185.6800,188.6600,184.2200,184.8600,3986556,183.9573,181.6862,66.36,
2025-02-18 13:30:00,184.8500,186.2000,184.5700,184.9600,2080400,184.1579,181.9838,66.56,
2025-02-19 09:30:00,185.3100,187.2300,181.8300,185.2100,4412193,184.3683,182.2771,67.11,
2025-02-19 13:30:00,185.2000,186.6600,184.4600,186.0900,1847377,184.7126,182.6237,69.01,
2025-02-20 09:30:00,185.5800,185.8000,180.2500,180.5800,4862536,183.8861,182.4379,49.63,
2025-02-20 13:30:00,180.5800,181.8100,180.1100,180.8800,2356159,183.2849,182.2963,50.44,
2025-02-21 09:30:00,181.2800,182.2000,177.5300,177.9500,3987761,182.2179,181.9012,43.10,
2025-02-21 13:30:00,177.9700,178.1400,174.7100,177.3200,3993636,181.2383,181.4847,41.69,
2025-02-24 09:30:00,177.4800,181.8800,176.5500,181.8000,3771300,181.3507,181.5134,53.35,25.56
2025-02-24 13:30:00,181.7800,183.0400,179.9000,179.9300,2655117,181.0665,181.3694,48.95,23.82
2025-02-25 09:30:00,180.4500,181.8800,176.3400,178.0000,3637824,180.4532,181.0631,44.84,23.17
2025-02-25 13:30:00,178.0000,178.7400,177.2500,178.2900,1376271,180.0206,180.8110,45.58,22.58
2025-02-26 09:30:00,179.4900,179.4900,171.8400,171.9000,4207589,178.3965,180.0009,34.58,23.22
2025-02-26 13:30:00,171.8400,174.3700,171.8300,173.1300,2290638,177.3432,179.3763,37.70,23.82
2025-02-27 09:30:00,174.5200,177.1500,173.7100,175.5100,2509161,176.9765,179.0248,43.32,23.39
2025-02-27 13:30:00,175.6100,175.6700,173.5900,173.7900,1526975,176.3392,178.5489,40.48,23.02
2025-02-28 09:30:00,174.3600,176.3000,173.4800,174.0600,2232509,175.8834,178.1408,41.13,22.45
2025-02-28 13:30:00,173.9200,174.9600,173.8400,174.6800,1710595,175.6427,177.8262,42.69,21.92
2025-03-03 09:30:00,177.0200,178.4000,171.5700,171.7400,2751719,174.8622,177.2729,37.61,20.47
2025-03-03 13:30:00,171.7000,172.8500,169.4600,170.1900,2548641,173.9277,176.6290,35.23,19.53
2025-03-04 09:30:00,167.3700,168.3800,156.6900,161.7500,10450527,171.4922,175.2764,25.70,21.05
2025-03-04 13:30:00,161.7400,163.3700,158.7100,159.0200,4075945,168.9977,173.7985,23.49,22.47
2025-03-05 09:30:00,159.9600,162.4700,158.8100,160.7600,3404735,167.3502,172.6132,27.76,23.79
2025-03-05 13:30:00,160.7200,164.3300,160.4000,163.2200,3009964,166.5242,171.7593,33.42,24.39
2025-03-06 09:30:00,161.4200,162.6900,157.9400,158.8000,3415416,164.9793,170.5812,29.02,25.33
