ticker,entry_date,exit_date,entry_price,exit_price,return_pct,bars_held,exit_type,rsi_at_entry,vix_at_entry,year
COST,2022-05-04,2022-05-11,528.51,490.96,-7.1049,10,hard_max,31.61,26.83,2022
COST,2022-05-11,2022-05-18,489.13,429.47,-12.1972,10,hard_max,25.57,29.58,2022
COST,2022-05-19,2022-05-26,424.4285,464.535,9.4495,10,ema21,14.91,28.56,2022
COST,2022-09-22,2022-09-29,487.0566,477.635,-1.9344,10,hard_max,27.88,25.04,2022
COST,2025-03-11,2025-03-18,923.23,900.0,-2.5162,10,hard_max,24.75,27.86,2025
GOOGL,2022-04-29,2022-05-04,114.0875,122.351,7.2431,6,ema21,30.13,27.12,2022
GOOGL,2022-05-20,2022-05-27,105.9565,111.9905,5.6948,10,ema21,29.98,26.81,2022
GOOGL,2025-04-04,2025-04-09,145.53,158.67,9.0291,6,ema21,24.4,30.02,2025
GS,2022-02-18,2022-02-28,344.4,341.04,-0.9756,10,hard_max,31.89,25.53,2022
GS,2022-03-04,2022-03-09,326.98,337.06,3.0828,6,ema21,34.82,26.82,2022
GS,2022-05-12,2022-05-17,298.3426,311.3423,4.3573,6,ema21,33.64,29.28,2022
GS,2022-09-22,2022-09-29,312.74,296.11,-5.3175,10,hard_max,34.4,25.04,2022
GS,2025-04-04,2025-04-09,472.47,516.69,9.3593,7,ema21,23.31,30.02,2025
GS,2026-03-13,2026-03-20,785.92,822.34,4.6341,10,ema21,29.51,27.29,2026
INTC,2022-03-15,2022-03-16,44.305,46.62,5.2251,3,ema21,32.06,29.01,2022
INTC,2022-05-12,2022-05-17,42.455,44.12,3.9218,6,ema21,34.87,29.28,2022
INTC,2022-05-20,2022-05-26,40.335,43.495,7.8344,8,ema21,29.9,26.81,2022
INTC,2022-06-14,2022-06-22,37.98,37.635,-0.9084,10,hard_max,23.01,29.82,2022
INTC,2022-09-22,2022-09-29,28.22,26.3612,-6.5868,10,hard_max,27.09,25.04,2022
INTC,2022-10-07,2022-10-13,25.9,26.42,2.0077,9,ema21,31.73,26.81,2022
JD,2022-03-04,2022-03-11,64.6392,48.9871,-24.2146,10,hard_max,30.64,26.82,2022
JD,2022-05-10,2022-05-17,50.91,52.85,3.8106,10,hard_max,32.98,30.52,2022
JD,2022-09-22,2022-09-29,53.27,50.82,-4.5992,10,hard_max,29.63,25.04,2022
JD,2022-10-07,2022-10-14,49.685,42.6,-14.2598,10,hard_max,34.77,26.81,2022
JD,2022-10-14,2022-10-21,42.3,42.16,-0.331,10,hard_max,19.54,27.69,2022
JPM,2022-02-24,2022-03-03,140.1629,138.745,-1.0116,10,hard_max,22.66,26.89,2022
JPM,2022-03-04,2022-03-11,133.6538,129.18,-3.3473,10,hard_max,31.96,26.82,2022
JPM,2022-05-12,2022-05-17,116.61,121.68,4.3478,6,ema21,31.73,29.28,2022
JPM,2022-06-14,2022-06-22,114.61,115.65,0.9074,10,hard_max,22.7,29.82,2022
JPM,2022-09-22,2022-09-29,111.57,105.87,-5.1089,10,hard_max,34.77,25.04,2022
JPM,2025-04-04,2025-04-09,211.93,234.27,10.5412,7,ema21,20.81,30.02,2025
JPM,2025-11-21,2025-11-26,297.1,307.25,3.4164,6,ema21,34.02,26.42,2025
MARA,2022-01-26,2022-02-01,21.4,24.955,16.6121,7,ema21,31.8,27.66,2022
MARA,2022-05-06,2022-05-13,15.19,11.475,-24.4569,10,hard_max,31.83,28.46,2022
MARA,2022-06-29,2022-07-07,5.755,6.495,12.8584,10,ema21,30.58,25.38,2022
MARA,2025-04-08,2025-04-09,10.46,12.3,17.5908,2,ema21,33.31,46.98,2025
MARA,2025-11-21,2025-12-01,10.02,11.51,14.8703,10,hard_max,19.77,26.42,2025
META,2021-12-02,2021-12-07,308.3852,323.96,5.0504,6,ema21,27.56,26.81,2021
META,2022-01-26,2022-01-31,294.61,309.67,5.1118,5,ema21,33.65,27.66,2022
META,2022-02-18,2022-02-28,206.6101,208.81,1.0648,10,hard_max,24.44,25.53,2022
META,2022-03-04,2022-03-11,199.94,189.9617,-4.9906,10,hard_max,33.67,26.82,2022
META,2022-06-14,2022-06-22,165.47,158.9699,-3.9283,10,hard_max,27.83,29.82,2022
META,2022-09-27,2022-10-04,134.83,140.04,3.8641,10,hard_max,22.73,27.66,2022
META,2022-10-12,2022-10-17,127.19,134.12,5.4485,6,ema21,28.52,29.05,2022
META,2025-04-08,2025-04-09,510.74,584.47,14.4359,2,ema21,28.34,46.98,2025
META,2026-03-13,2026-03-20,615.77,594.48,-3.4575,10,hard_max,33.73,27.29,2026
MSFT,2021-12-03,2021-12-07,319.37,334.835,4.8423,4,ema21,33.49,25.38,2021
