date,open,close,high,low,daily_return,intraday_range,vix_prior,vix_today
2025-02-11,596.2981,598.2058,598.8483,595.458,0.3199238770004427,0.5685579075298118,15.81,16.02
2025-02-12,592.7003,596.3772,597.5534,591.5833,0.6203641199439323,1.0072712971462985,16.02,15.89
2025-02-13,597.5584,602.634,602.8811,596.2191,0.8493897834922928,1.1148701114401405,15.89,15.1
2025-02-14,603.0491,602.6438,603.9189,602.0211,-0.06720845781875762,0.314700743272805,15.1,14.77
2025-02-18,603.5924,604.2747,604.3044,601.3391,0.11303985934880141,0.4912752380579935,15.37,15.35
2025-02-19,603.0959,605.8068,606.133,602.5055,0.44949733533256053,0.6014797978232077,15.35,15.27
2025-02-20,604.1858,603.3258,604.6049,599.9949,-0.1423403198155292,0.7630103190111409,15.27,15.66
2025-02-21,602.5791,593.0561,603.2369,592.5322,-1.5803734314714903,1.7764804653862043,15.66,18.21
2025-02-24,595.1763,590.2885,596.051,589.5867,-0.8212356574010038,1.0861151561310647,18.21,18.98
2025-02-25,590.59,587.3331,590.9705,582.7369,-0.5514654836688883,1.3941312924363811,18.98,19.43
2025-02-26,588.3561,587.5506,592.641,585.006,-0.1369068834333388,1.2976834947406837,19.43,19.1
2025-02-27,590.1798,578.2692,591.099,577.8837,-2.0181307459184548,2.239198969534381,19.1,21.13
2025-02-28,576.6581,587.1947,587.8372,575.6993,1.8271832130685446,2.1048694191584336,21.13,19.63
2025-03-03,589.9722,577.2116,590.4269,573.1887,-2.1629154729663647,2.921866487946382,19.63,22.78
2025-03-04,571.8641,570.1938,578.6152,565.6272,-0.2920798840144009,2.2711689717889167,22.78,23.51
2025-03-05,570.8857,576.3023,578.1111,566.4471,0.9488063897904436,2.0431410350618324,23.51,21.93
2025-03-06,568.4443,566.1709,573.4591,563.5219,-0.3999336434546072,1.7481396154381486,21.93,24.87
2025-03-07,566.1639,569.1856,570.7078,559.0839,0.5337147069956262,2.053098051641945,24.87,23.37
2025-03-10,560.5863,554.2603,562.9486,549.1601,-1.1284613983609697,2.4596569698545965,23.37,27.86
2025-03-11,552.5009,549.6839,557.4925,545.6314,-0.5098634228469143,2.146801932811325,27.86,26.92
2025-03-12,555.9209,552.4416,556.593,547.282,-0.6258624203551201,1.6748785663571784,26.92,24.23
2025-03-13,551.8585,545.1273,552.6344,543.3185,-1.2197329569083484,1.6880957709267965,24.23,24.66
2025-03-14,550.2015,556.2767,557.3047,545.1092,1.1041772877754776,2.216551572469366,24.66,21.77
2025-03-17,557.8879,560.4578,563.1166,555.8418,0.4606480979422704,1.3039895649287097,21.77,20.51
2025-03-18,557.5221,554.5569,558.4809,552.5899,-0.5318533561270453,1.0566397278242559,20.51,21.7
2025-03-19,556.0988,560.4479,564.3423,555.1302,0.782073257485904,1.6565581511774667,21.7,19.9
2025-03-20,557.8681,559.1333,563.9667,556.0901,0.2267919603217922,1.4119108083075442,19.9,19.8
2025-03-21,554.7766,559.3371,560.031,553.23,0.8220426023736281,1.2258988573057932,19.8,19.28
2025-03-24,565.9695,569.0825,570.2028,565.2954,0.5500296394063536,0.8670785263163566,19.28,17.48
2025-03-25,570.2226,570.411,571.4519,568.7553,0.03303972869540558,0.4729030382170032,17.48,17.15
2025-03-26,570.064,563.8479,571.3726,562.3113,-1.0904214263661596,1.5895232815964653,17.15,18.33
2025-03-27,561.4091,562.1229,565.9893,560.0806,0.12714435872165092,1.052476705489803,18.33,18.69
2025-03-28,560.1796,551.049,561.3967,550.2955,-1.6299415401774844,1.9817215764372822,18.69,21.65
