mean,median,win_rate,N,t_stat,p_value,streak,vix,ticker
0.003474596323709164,0.0018897734731499075,0.5625,16,1.044454569490386,0.3128159784910115,2,<16,BTC
0.019295922664413913,0.017837532474181097,0.782608695652174,23,4.3260996036573065,0.0002720338647996977,2,16-20,BTC
0.008151647026474097,0.00819736439487461,0.6666666666666666,9,1.430676609988312,0.1903995303948042,2,20-25,BTC
0.05047049988634337,0.05047049988634337,1.0,2,26.958687893937206,0.023603820413439076,2,>=25,BTC
0.009795373462101083,0.018100262768492956,0.75,8,1.1050064765319842,0.3056845212897776,3,<16,BTC
0.015777379375335257,0.003684836279661144,0.5,10,1.0764467800744701,0.3097348094105965,3,16-20,BTC
0.012085664525974687,0.008506815769135328,0.5714285714285714,7,1.2227135606109474,0.26728259107223173,3,20-25,BTC
0.0698431030280912,0.0698431030280912,1.0,1,,,3,>=25,BTC
0.022508786346775212,0.019099087545039497,1.0,3,3.926930141155894,0.05915220138033818,4,<16,BTC
0.011238900404567095,0.00914153220616054,0.7142857142857143,7,1.2065784736272536,0.27300417614202643,4,16-20,BTC
0.013434777982856028,0.013756394337281387,1.0,3,5.276573834732682,0.034090644522392514,4,20-25,BTC
,,,0,,,4,>=25,BTC
,,,0,,,5,<16,BTC
0.017341246736116873,0.017341246736116873,1.0,1,,,5,16-20,BTC
0.017325153321523252,0.017325153321523252,0.5,2,0.8515219241758275,0.5509430826209942,5,20-25,BTC
0.028719795573753423,0.028719795573753423,1.0,1,,,5,>=25,BTC
,,,0,,,6+,<16,BTC
0.0006584065640556311,-0.007566650549942643,0.3333333333333333,3,0.04054417103999313,0.9713427162254222,6+,16-20,BTC
0.06623208896838027,0.06623208896838027,1.0,1,,,6+,20-25,BTC
,,,0,,,6+,>=25,BTC
