mean,median,win_rate,N,t_stat,p_value,streak,vix,ticker
-0.0024790783019598833,-0.0006532077560839067,0.4375,16,-0.9452778543299889,0.35949609370307667,2,<16,BTC
-0.001153952392294679,0.0014964512647943629,0.5217391304347826,23,-0.2040709382732351,0.8401740543670678,2,16-20,BTC
-0.002600452287728255,-0.004789628013391445,0.3333333333333333,9,-0.571618093815278,0.5832798733872748,2,20-25,BTC
0.027789532307482823,0.027789532307482823,1.0,2,58.73305432154941,0.010838160446858069,2,>=25,BTC
-0.0036911052983107234,0.0012018924967222011,0.5,8,-0.47750097891285326,0.6475547864033849,3,<16,BTC
-0.0019855275639491187,-0.012020231425354244,0.4,10,-0.1645198297276472,0.8729576518104338,3,16-20,BTC
0.002810793528103666,0.004493601982400008,0.5714285714285714,7,0.37569584217478447,0.7200674023454245,3,20-25,BTC
0.00851909499415937,0.00851909499415937,1.0,1,,,3,>=25,BTC
0.01132605797320855,0.010644989061436405,1.0,3,2.46430083058244,0.13267432475097038,4,<16,BTC
0.006049554766285182,0.00914153220616054,0.7142857142857143,7,0.7803264765670026,0.4648599517561916,4,16-20,BTC
-0.007734028633444967,-0.01082622910460096,0.3333333333333333,3,-1.0014886155515492,0.4220771887411031,4,20-25,BTC
,,,0,,,4,>=25,BTC
,,,0,,,5,<16,BTC
0.006722540920244047,0.006722540920244047,1.0,1,,,5,16-20,BTC
-0.007475091659204514,-0.007475091659204514,0.0,2,-1.6782340497052008,0.34210234184828975,5,20-25,BTC
0.0019181771993006524,0.0019181771993006524,1.0,1,,,5,>=25,BTC
,,,0,,,6+,<16,BTC
-0.0160990729425039,-0.007566650549942655,0.3333333333333333,3,-0.8398533690715208,0.48938749843304585,6+,16-20,BTC
0.037224971711488974,0.037224971711488974,1.0,1,,,6+,20-25,BTC
,,,0,,,6+,>=25,BTC
