mean,median,win_rate,N,t_stat,p_value,streak,vix,ticker
-0.008761818584156367,-0.007348108932451747,0.3333333333333333,15,-1.497433752370889,0.15648422102659365,2,<16,ETH
-0.0015955339991311393,0.0012682597468955947,0.5217391304347826,23,-0.21726569939655074,0.8300036117685339,2,16-20,ETH
0.008187575202802206,-0.003262810689664608,0.42857142857142855,7,0.542888215065653,0.6067692493319626,2,20-25,ETH
0.019042652811376598,0.023675978867298664,0.75,4,2.823048941544789,0.0665704820410072,2,>=25,ETH
0.014566924688239457,0.006000506536266048,0.8,5,1.7579166008868115,0.15358986365618937,3,<16,ETH
0.010057087188201539,0.0038875375563969805,0.5,14,0.7467842734670583,0.46848553708136875,3,16-20,ETH
0.016340488806373066,0.006597901376977466,0.6,5,0.7190819140070666,0.5118595044047562,3,20-25,ETH
0.01437615781615198,0.01437615781615198,1.0,2,2.4851608741732996,0.24354760114751176,3,>=25,ETH
0.032919371954395094,0.032919371954395094,1.0,2,4.710263865006658,0.13317847355476475,4,<16,ETH
0.004083220964104388,0.017242869683853468,0.6666666666666666,6,0.19326124957979063,0.8543597797776724,4,16-20,ETH
-0.06637972616971555,-0.06637972616971555,0.0,1,,,4,20-25,ETH
0.009228614906848343,0.009228614906848343,1.0,1,,,4,>=25,ETH
,,,0,,,5,<16,ETH
0.030258928782954442,0.030258928782954442,1.0,2,1.8208347187239544,0.319728132267348,5,16-20,ETH
-0.013203331302051646,-0.013203331302051646,0.0,1,,,5,20-25,ETH
,,,0,,,5,>=25,ETH
,,,0,,,6+,<16,ETH
,,,0,,,6+,16-20,ETH
0.07331251006855588,0.07331251006855588,1.0,1,,,6+,20-25,ETH
,,,0,,,6+,>=25,ETH
