date,streak_len,next_1d_ret,max_bounce_3d,rsi,close,vix,vix_bucket,rsi_bucket
2025-04-03,2,0.009725964675533882,0.009725964675533813,,82818.52,21.51,20-25,
2025-04-06,2,0.028262682097298653,0.052342642183657986,,77707.77,45.31,>=25,
2025-04-27,2,0.008618333545906687,0.012604271521566436,70.0948513220527,93849.93,24.84,20-25,>50
2025-05-03,2,-0.017663190671592166,0.00819736439487461,68.66554559714139,95722.23,22.68,20-25,>50
2025-05-04,3,0.004493601982400008,0.05446389384319943,61.43747165995223,94031.47,22.68,20-25,>50
2025-05-17,2,0.0030028355488176395,0.034346928284526845,67.68431408846396,103295.7,17.24,16-20,>50
2025-05-23,2,-0.0024966248732308793,0.011601669522720586,67.5153162442974,108366.3,20.28,20-25,>50
2025-05-24,3,0.014133580644937416,0.014133580644937464,66.58923533554986,108095.75,22.29,20-25,>50
2025-05-27,2,-0.007520968433537556,-0.007520968433537541,66.41473442003752,108863.64,20.57,20-25,>50
2025-05-28,3,-0.018701024981470638,-0.01870102498147069,63.2829933463463,108044.88,18.96,16-20,>50
2025-05-29,4,-0.022073424090489513,-0.011271563800497467,56.23557264654469,106024.33,19.31,16-20,>50
2025-05-30,5,0.006722540920244047,0.017341246736116873,49.37666072895038,103684.01,19.18,16-20,30-50
2025-06-05,2,0.023204248472826983,0.030888165372760967,44.66928800935099,102493.3,17.61,16-20,30-50
2025-06-12,2,0.009125674811814255,0.01577161339744189,47.50011011757227,104277.22,17.26,16-20,30-50
2025-06-18,2,-0.004789628013391445,-0.004789628013391428,49.059164075192854,105100.02,21.6,20-25,30-50
2025-06-19,3,-0.010523857221786281,-0.010523857221786297,47.63580967477435,104596.63,20.14,20-25,30-50
2025-06-20,4,-0.01082622910460096,0.013756394337281387,44.589341128734546,103495.87,22.17,20-25,30-50
2025-06-21,5,-0.011929232999333794,0.037671256962121764,41.668152075739734,102375.4,20.62,20-25,30-50
2025-06-22,6+,0.037224971711488974,0.06623208896838027,38.69271737423938,101154.14,20.62,20-25,30-50
2025-06-27,2,-0.0008327110134909166,0.011217227789006412,55.834680793614965,107300.13,16.59,16-20,>50
2025-06-28,3,0.012059981281733023,0.01205998128173311,55.53077833607016,107210.78,16.32,16-20,>50
2025-07-01,2,0.02291555039940807,0.02863485654180491,51.072467430700684,106194.7,16.73,16-20,>50
2025-07-05,2,0.012392169623663962,0.012392169623663862,55.139514246665094,108050.49,17.48,16-20,>50
2025-07-19,2,0.0037809217025617237,0.005562657423603565,62.7521558535862,117958.01,16.41,16-20,>50
2025-07-24,2,0.017934206356178706,0.0335153473853588,52.659436826096325,115419.66,15.37,<16,>50
2025-07-29,2,0.0025750269524340563,0.0025750269524340134,57.49219975664664,118161.87,15.03,<16,>50
2025-08-01,2,-0.0026833497995696343,0.005800639207176622,44.9117375091699,113909.86,16.72,16-20,30-50
2025-08-02,3,0.008506815769135256,0.008506815769135328,44.14751730538793,113604.2,20.38,20-25,30-50
2025-08-05,2,0.00912748016760112,0.028432568522395035,44.19093255838109,113509.97,17.52,16-20,30-50
2025-08-15,2,0.0021742383076570615,0.0021742383076570402,50.62807498909824,117429.63,14.83,<16,>50
2025-08-18,2,-0.011184478703945566,-0.007450396306941945,45.099554282364025,114810.0,15.09,<16,30-50
2025-08-19,3,0.0037763185514214648,0.0179946586642644,42.52209403706847,113525.91,14.99,<16,30-50
2025-08-24,2,-0.026898379373705428,-0.0081195152113715,42.66499022829138,112916.84,14.22,<16,30-50
2025-08-25,3,0.014002513297286523,0.01929794768016906,37.04051908577184,109879.56,14.22,<16,30-50
2025-08-29,2,0.007263625984680333,0.01739253127645561,36.055174514031435,108436.2,14.43,<16,30-50
2025-09-06,2,0.0038232238067454904,0.00975195054829587,43.996956126534116,110629.15,15.18,<16,30-50
2025-09-14,2,-0.0011971021811599813,0.018504064040635697,58.29391200209524,115445.45,14.76,<16,>50
2025-09-15,3,0.009234371646188677,0.0197247787975171,57.68734913374343,115307.25,14.76,<16,>50
2025-09-19,2,0.0019438693750271074,0.0019438693750270994,54.761357114774306,115445.0,15.7,<16,>50
2025-09-22,2,-0.005847427972888397,0.0018356775712727155,43.106258157319374,112339.99,15.45,<16,30-50
2025-09-23,3,0.007728296199541074,0.007728296199541129,41.10758536360018,111683.09,16.1,16-20,30-50
2025-09-26,2,-0.001074997236516828,0.04402057546718835,36.36770586828623,109553.77,16.74,16-20,30-50
2025-09-27,3,0.022127179355970528,0.04514410248912606,36.06010482157132,109436.0,15.29,<16,30-50
2025-10-10,2,-0.014461352229621305,0.022449775382922945,40.00856199325067,112300.01,16.43,16-20,30-50
2025-10-11,3,0.03745274494922102,0.03745274494922111,37.47571674924857,110676.0,21.66,20-25,30-50
2025-10-14,2,-0.006202315587092722,-0.006202315587092743,42.032466987385575,112024.29,19.03,16-20,30-50
2025-10-15,3,-0.019336657280712988,-0.019336657280712988,40.89143890631485,111329.48,20.81,20-25,30-50
2025-10-16,4,-0.01929293730514403,0.008872769053188408,37.49520647300757,109176.74,20.64,20-25,30-50
2025-10-17,5,0.0019181771993006524,0.028719795573753423,34.47784907396253,107070.4,25.31,>=25,30-50
2025-10-21,2,0.0014964512647943629,0.02600326642949908,39.03108025384017,108216.02,18.23,16-20,30-50
2025-10-28,2,-0.015748000706341414,-0.015748000706341442,49.66171212084134,112523.49,15.79,<16,30-50
2025-10-29,3,-0.013757018304136337,-0.004741246323863745,45.69044758598014,110751.47,16.42,16-20,30-50
2025-10-30,4,0.00914153220616054,0.00914153220616054,42.540525184784784,109227.86,16.92,16-20,30-50
2025-11-02,2,-0.010660111730849464,-0.010660111730849449,40.194847438698176,107900.37,17.44,16-20,30-50
2025-11-03,3,-0.04451366527481837,-0.025473971275353887,37.942742808077774,106750.14,17.44,16-20,30-50
2025-11-04,4,0.01992670466076385,0.019926704660763864,30.371792371990495,101998.3,17.17,16-20,30-50
2025-11-11,2,-0.01091432602266773,-0.010914326022667762,39.89544988177715,103246.87,17.6,16-20,30-50
2025-11-12,3,-0.04206835095965533,-0.042068350959655346,38.02209087459399,102120.0,17.28,16-20,30-50
2025-11-13,4,-0.017499185782463567,-0.01749918578246353,31.87671600525286,97823.98,17.51,16-20,30-50
2025-11-14,5,-0.003020950319075233,-0.0030209503190752576,29.809220548597835,96112.14,20.0,20-25,<30
2025-11-15,6+,-0.007566650549942655,-0.007566650549942643,29.460200771828212,95821.79,19.83,16-20,<30
2025-11-16,6+,-0.05273408951768499,-0.022439360171547452,28.560905724315987,95096.74,19.83,16-20,<30
2025-11-17,6+,0.012003521240115944,0.03198123041365699,23.269933819803967,90081.9,19.83,16-20,<30
2025-11-21,2,0.027316382517666993,0.04859835758902875,23.08004991294858,84246.88,26.42,>=25,<30
2025-11-29,2,-0.0556579497677695,0.027561799731449146,40.65732031276833,90858.0,16.35,16-20,30-50
2025-11-30,3,0.013627458784585711,0.08812458311980646,33.2199920032884,85801.03,16.35,16-20,30-50
2025-12-04,2,-0.02574353887843439,-0.0080063554473664,46.851995285397045,92028.14,16.08,16-20,30-50
2025-12-05,3,-0.0013725335579770626,0.018205866872721514,42.98171350931013,89659.01,15.78,<16,30-50
2025-12-06,4,0.01960530937573135,0.033692276677692014,42.78401258065511,89535.95,15.41,<16,30-50
2025-12-13,2,-0.005918526853766259,-0.005918526853766297,45.63448980360734,90201.5,15.74,<16,30-50
2025-12-14,3,-0.0427035884963628,-0.03236630293827301,44.6241662061896,89667.64,15.74,<16,30-50
2025-12-15,4,0.010644989061436405,0.014734994817594129,38.10737581430696,85838.51,15.74,<16,30-50
2025-12-23,2,0.00717953955155437,0.020902342174459222,42.20865351453047,87147.65,14.08,<16,30-50
2026-01-07,2,-0.00010931333100783203,-0.0001093133310078754,52.63930693350406,91022.75,14.75,<16,>50
2026-01-08,3,-0.0062024242743877744,0.012778202626443708,52.60888942482146,91012.8,15.38,<16,>50
2026-01-09,4,0.0037278754824578986,0.019099087545039497,50.81485920784259,90448.3,15.45,<16,>50
