ticker,earnings_date,day1_date,timing,prior_close,day1_open,day1_high,day1_low,day1_close,gap_pct,gap_size_dollars,recovery_ratio,ant_recovery,day1_green,day_of_min,eps_surprise_pct,drift_1d,drift_2d,drift_3d,drift_5d,drift_7d,drift_10d,trajectory
AAPL,2024-10-31,2024-11-01,AMC,224.43569946289065,219.5279346472888,223.8793552942412,218.83250593091051,221.4552764892578,-2.1867130885803396,4.907764815601865,0.5344124376150763,0.46808494894525354,True,1,8.867,-0.40374710274229286,0.24225377383340915,-0.08523909770168536,1.9289006292369348,0.7028384254351943,1.048652431946367,"[0.0, -0.40374710274229286, 0.24225377383340915, -0.08523909770168536, 2.0501549855018992, 1.9289006292369348, 0.7028384254351943, 0.7028384254351943, 1.102534069972955, 2.4947680722769245, 1.048652431946367]"
AAPL,2025-01-30,2025-01-31,AMC,236.29916381835935,245.8470107317681,245.8470107317681,232.1717149504871,234.71780395507807,4.040575835785898,9.547846913408762,0.266666299499976,0.6168674854846876,False,5,-27.4038,-3.3855885005693787,-1.355926936552282,-1.4957549719271042,-3.546602995904522,-1.3238254516538266,3.758019032839103,"[0.0, -3.3855885005693787, -1.355926936552282, -1.4957549719271042, -1.17796457343053, -3.546602995904522, -3.432082996315404, -1.3238254516538266, 0.4789934201707564, 2.455750592915361, 3.758019032839103]"
AAPL,2025-05-01,2025-05-02,AMC,212.3943023681641,205.19567188008236,206.0917754590827,201.2827333487594,204.4588928222656,-3.389276646227371,7.198630488081733,0.44121718412477867,0.2858425725439418,False,3,2.027,-3.1458530512295253,-3.330905864717394,-4.431461127640022,-3.321166635744926,3.8272259287679655,3.0129144415078466,"[0.0, -3.1458530512295253, -3.330905864717394, -4.431461127640022, -3.8276140053246954, -3.321166635744926, 2.7837403087208856, 3.8272259287679655, 3.53466098303674, 3.1055677194337847, 3.0129144415078466]"
AAPL,2025-07-31,2025-08-01,AMC,206.94027709960935,210.23025491744008,212.93203997684435,200.8886866162373,201.7660217285156,1.589819953825191,3.2899778178307315,0.26666900534204185,0.14497595544327646,False,0,18.3246,0.4792959023176383,0.26681664846346453,5.371083188925185,13.326410514819036,13.603421569397076,14.56310239070925,"[0.0, 0.4792959023176383, 0.26681664846346453, 5.371083188925185, 8.721208554407529, 13.326410514819036, 12.381559983114206, 13.603421569397076, 15.423856634584554, 15.151776405515946, 14.56310239070925]"
AAPL,2025-10-30,2025-10-31,AMC,270.8836669921875,276.4630533049319,276.79244258078194,268.647962249571,269.85565185546875,2.059698310605538,5.579386312744418,0.21645563476025462,0.5401829601543763,False,5,-0.4444,-0.48822578802912703,-0.12205644700728176,-0.08506518988129097,-0.7027434145723613,1.9036191721241305,0.8521899027777936,"[0.0, -0.48822578802912703, -0.12205644700728176, -0.08506518988129097, -0.2219249250505999, -0.7027434145723613, -0.2510678384145893, 1.9036191721241305, 1.2446297085821754, 1.0521191093599982, 0.8521899027777936]"
AAPL,2026-01-29,2026-01-30,AMC,258.0385437011719,254.9314433110553,261.6551472598355,251.94423313215475,259.2374267578125,-1.2041225878699897,3.1071003901165852,2.34726681148017,1.1967216870659052,True,10,3.6585,4.058122413384735,3.853865449153424,6.555411308614839,7.18359182416502,5.571173151422088,-1.33369167475407,"[0.0, 4.058122413384735, 3.853865449153424, 6.555411308614839, 6.331895258827512, 7.18359182416502, 5.933776056859978, 5.571173151422088, 6.273235097870529, 0.9615063147669156, -1.33369167475407]"
AMD,2024-10-29,2024-10-30,AMC,166.25,153.00999450683594,153.1199951171875,148.10000610351562,148.60000610351562,-7.963913078594925,13.240005493164062,0.03776433478506898,0.027548218630357182,False,10,0.0,-3.048451274047224,-4.535669728350439,-5.309555225826988,-2.3553161885887675,-0.43742202461326773,-6.258413640494319,"[0.0, -3.048451274047224, -4.535669728350439, -5.309555225826988, -4.670257171168489, -2.3553161885887675, 0.8209967500628937, -0.43742202461326773, -0.841184353067417, -3.3445498092651444, -6.258413640494319]"
AMD,2025-02-04,2025-02-05,AMC,119.5,107.61000061035156,112.08999633789062,106.5,112.01000213623048,-9.949790284224633,11.889999389648438,0.46341483760104735,0.4238463181715756,True,2,-12.381,-1.651636852815229,-3.972863577151322,-1.3659483529301706,-0.25890626729445887,0.9731241113315211,1.928395671386365,"[0.0, -1.651636852815229, -3.972863577151322, -1.3659483529301706, -0.812430715787873, -0.25890626729445887, -0.1785595695226094, 0.9731241113315211, 2.0266017317860086, 2.3926437407940075, 1.928395671386365]"
AMD,2025-04-29,2025-04-30,AMC,96.05999755859376,92.80999755859376,97.5500030517578,91.87000274658205,97.3499984741211,-3.3833021888404646,3.25,1.6861525315504764,1.3078764946985624,True,1,7.5,-0.7190518327827917,1.4894757065889062,3.3281950842873735,3.0919385551203975,5.639443194474171,20.9245023789056,"[0.0, -0.7190518327827917, 1.4894757065889062, 3.3281950842873735, 1.3045755442909037, 3.0919385551203975, 4.468411445612384, 5.639443194474171, 11.063178676190716, 15.521315713598401, 20.9245023789056]"
AMD,2025-07-29,2025-07-30,AMC,177.44000244140625,175.61000061035156,180.3699951171875,173.8000030517578,179.50999450683594,-1.0313355533564004,1.8300018310546875,3.120210787869692,1.5686792342098754,True,5,9.589,-1.7826288486239845,-4.350731322815754,-1.5208043067680566,-9.130410501474495,-3.7602363136070136,2.7352257881788287,"[0.0, -1.7826288486239845, -4.350731322815754, -1.5208043067680566, -2.896772941544581, -9.130410501474495, -3.9607825903425145, -3.7602363136070136, -4.027628515839399, -2.5402471718197845, 2.7352257881788287]"
