ticker,date,bar_slot,direction,open,high,low,close,ema9,ema21,ema_spread_pct,rsi,adx,adx_slope,atr,atr_pct,vix_prior_close,cross_bar_body_pct,is_anomaly_bar,bar_idx
V,2025-10-31,1,DOWN,341.37,344.73,338.18,338.3,343.918,344.3635,-0.1294,40.07,18.97,0.4817,5.523,1.6326,16.91,0.8993,False,976
V,2025-11-26,2,UP,334.25,334.8,332.38,334.64,331.0649,330.6843,0.1151,55.58,23.75,1.0249,5.1648,1.5434,18.56,0.1167,False,1013
V,2025-12-03,1,DOWN,329.52,331.67,328.45,330.25,330.844,330.8874,-0.0131,47.95,23.19,-0.6381,4.4554,1.3491,16.59,0.2215,False,1020
V,2025-12-11,2,UP,336.88,341.5,336.44,341.43,331.7312,330.4697,0.3817,65.33,19.16,0.8915,5.1963,1.5219,15.77,1.3506,False,1033
V,2026-01-12,1,DOWN,342.58,349.06,336.63,340.86,350.2037,350.7843,-0.1655,32.39,21.66,1.4892,4.7676,1.3987,14.49,0.5021,False,1072
V,2026-02-03,1,UP,332.35,334.72,328.33,334.51,328.847,328.7773,0.0212,57.77,28.11,-0.202,5.2565,1.5714,16.34,0.6499,False,1102
V,2026-02-11,2,DOWN,328.98,329.34,326.42,328.82,329.1652,329.1733,-0.0025,48.64,19.68,-0.8321,5.6873,1.7296,17.79,0.0486,False,1115
V,2026-02-12,1,UP,329.56,331.89,325.48,330.42,329.4162,329.2867,0.0393,51.72,19.34,-0.338,5.7389,1.7369,17.65,0.261,False,1116
V,2026-02-12,2,DOWN,330.65,332.24,324.99,325.44,328.6209,328.937,-0.0961,43.06,18.91,-0.429,5.8468,1.7966,17.65,1.5757,False,1117
V,2026-03-04,1,UP,321.5,325.55,315.68,325.42,318.4615,318.1259,0.1055,58.72,21.66,-0.7274,6.2466,1.9196,23.57,1.2193,False,1142
V,2026-03-06,1,DOWN,319.35,320.84,312.3,314.76,317.7682,317.9466,-0.0561,45.65,21.35,0.3089,6.3713,2.0242,23.75,1.4373,False,1146
