ticker,date,bar_num,streak_4h,streak_daily,next_bar_ret_4h,next_day_ret_daily,rsi_4h,rsi_daily,vix
AAPL,2025-04-08,2,2,4,0.09120502237981747,0.1509620415043888,14.647626491712316,19.743840273036795,46.98
AMD,2025-04-08,1,8,4,-0.040014729348226405,0.2366705024932873,19.913607613970157,22.591981938995275,46.98
AMD,2025-04-08,2,9,4,0.1336146272855134,0.2366705024932873,17.735921767960235,22.591981938995275,46.98
AMD,2025-11-21,1,3,7,0.011065899166335796,0.0548711656441718,27.238228262313015,37.20616436963488,26.42
AMZN,2025-04-17,1,3,4,-0.0029462738301559268,-0.0305927342256214,38.65488433983039,37.48985504611865,32.64
AMZN,2025-04-17,2,4,4,-0.04026884524016465,-0.0305927342256214,38.18063802615119,37.48985504611865,32.64
AMZN,2025-04-21,1,5,5,0.010082105771552862,0.0347857270934193,32.35503631536099,34.69062732264153,29.65
AMZN,2025-10-17,1,3,4,0.0032019588454113425,0.0160525698192912,35.80020014340671,38.16152222951397,25.31
AVGO,2026-03-13,1,3,4,-0.007975120088680796,0.0085048266443181,44.22771000762122,44.27322261866796,27.29
AVGO,2026-03-13,2,4,4,0.018313312847254484,0.0085048266443181,42.53041091561912,44.27322261866796,27.29
BIDU,2025-04-08,1,3,4,0.0033933698773165087,0.0476066597294486,21.041736830831596,27.89853347333405,46.98
COIN,2025-04-08,1,3,4,-0.005577427821522272,0.1687891784889474,30.466012869763972,29.663185478602216,46.98
COIN,2025-04-08,2,4,4,0.09231276806334529,0.1687891784889474,30.041554356693126,29.663185478602216,46.98
COST,2025-03-11,1,3,4,0.007396433590047999,-0.0030168685121106,24.097759158228513,26.67268015824436,27.86
GS,2025-10-17,1,2,4,0.001995120044216199,0.0165211424881273,32.350467279080846,39.88135853362018,25.31
IBIT,2025-10-17,1,3,7,0.0031519575315195375,0.0408467008433934,29.55022525300882,35.89618748471271,25.31
META,2025-04-16,2,2,5,-0.004269922981763012,-0.0013567979568218,35.61519442592052,35.007618942258645,30.12
META,2025-04-17,1,3,6,0.0029256171849951496,-0.0341858141858142,35.08704992889403,34.903464598709704,32.64
MSFT,2025-03-11,1,3,4,0.007987604520075894,0.0080568217958232,31.671213460154817,31.552267967350986,27.86
MSFT,2025-04-21,1,5,4,0.001658188358955552,0.0211560044893379,35.947375948725664,37.9277285271696,29.65
MSFT,2025-11-21,1,3,5,-0.0012294908212150423,0.0032897529501654,24.626498999654387,28.59521765348549,26.42
MSFT,2025-11-21,2,4,5,0.006537057475167637,0.0032897529501654,24.348804586599982,28.59521765348549,26.42
MSFT,2026-03-13,1,3,4,-0.0024206969589993937,0.0109701228451544,40.210058623518066,38.4706636332322,27.29
MSFT,2026-03-13,2,4,4,0.008088569839745182,0.0109701228451544,39.20934969562193,38.4706636332322,27.29
PLTR,2025-11-21,1,3,5,0.006172037422037533,0.0472654484406276,27.88901605054923,33.92750295392855,26.42
TSLA,2025-04-08,2,2,4,0.11187832836898633,0.2275476126004152,32.4063994537742,35.41057196072485,46.98
TSM,2025-04-08,2,2,4,0.04620768461648335,0.122696757606056,21.236505382988184,23.57307022822451,46.98
