ticker,direction,pattern,entry_time,exit_time,entry_price,exit_price,position_size,stop_price,target_price,pnl,pnl_r,exit_reason,max_favorable,max_adverse,is_winner
AAPL,short,MODEL4,2025-09-22 17:05:00,2025-09-22 17:25:00,255.91020772,260.167023300071,103,260.115000300011,245.25060772,-438.4520047473121,-0.98830486357097,stop_loss,0.3191077199999768,5.483792280000017,False
AAPL,short,MODEL4,2025-10-06 17:10:00,2025-10-06 17:20:00,255.95909793999996,260.215923298115,103,260.163890520011,245.27959794,-438.4530118858488,-0.9883053072788933,stop_loss,0.04859793999995077,5.4349020600000415,False
AAPL,long,MODEL4,2025-10-30 16:40:00,2025-10-30 16:55:00,272.61321174,272.6132008354715,91,272.667734382348,286.900566380986,457.5739271916888,1.0321920587449533,breakeven_stop,11.323688259999983,1.7313117400000237,True
AAPL,short,LP1,2025-11-20 17:05:00,2025-11-20 17:55:00,265.57537429999996,266.4608110084032,319,266.4075295025027,263.68167429999994,-282.4543099806314,-0.9438403380435411,stop_loss,0.8260742999999593,4.618825700000059,False
AAPL,short,LP1,2025-12-30 17:40:00,2025-12-30 22:55:00,272.76713566,273.044598,94,275.8472667407099,265.37211980409467,-26.08145995999996,-0.08699897807578941,eod_exit,0.5248356600000079,0.7528643399999737,False
AAPL,short,MODEL4,2026-01-16 17:25:00,2026-01-16 17:55:00,255.0774743,244.350836267048,139,258.1868684026766,245.2019743,1454.0953710400368,3.257452383469414,trail_stop,12.952074299999992,0.21082569999998668,True
AAPL,long,MODEL4,2026-01-29 17:25:00,2026-01-29 17:25:00,265.71513239999996,262.55321714966385,139,262.60573829732334,274.65673239999995,-439.506219796719,-0.9833056557519866,stop_loss,0.0432676000000356,7.679432399999939,False
AMD,long,MODEL4,2025-06-10 16:50:00,2025-06-10 16:55:00,123.099615,122.67507507699999,1000,122.699615,124.220915,-424.53992300001175,-0.9450180816490213,stop_loss,0.00038499999999430656,1.3975149999999985,False
AMD,long,LP1,2025-07-18 16:40:00,2025-07-18 17:15:00,156.88147002,156.65184844662372,1149,156.68318508364044,157.77257002,-263.83518780934327,-0.8796718755970991,stop_loss,0.10852998000001435,27.232470019999994,False
AMD,short,LP2,2025-10-07 17:00:00,2025-10-07 17:10:00,211.647662,205.8378537338439,147,213.5979845350117,205.7966943949649,854.0418151249462,2.860816863943661,target_hit,12.491962000000001,1.1987379999999916,True
AMD,long,MODEL4,2025-10-13 17:05:00,2025-10-13 17:05:00,216.8523618,214.58050147109714,193,214.6234261563284,223.53916873101485,-438.4690434782549,-0.9810805150685074,stop_loss,0.04763819999999441,15.165161800000021,False
AMD,short,LP1,2025-11-20 16:55:00,2025-11-20 19:35:00,204.719048,206.34832688565464,179,206.30706547256014,177.769048,-291.6409205321835,-0.9756619771807665,stop_loss,1.8790479999999832,1.930952000000019,False
AMD,short,LP2,2026-01-22 17:20:00,2026-01-22 17:35:00,250.61986599999997,252.01722479600565,207,251.96683142971972,232.80986599999997,-289.25327077317496,-0.9655406166500315,stop_loss,0.5998659999999632,3.1101340000000164,False
AMZN,long,LP1,2025-07-11 21:30:00,2025-07-11 21:50:00,226.14522,225.9112632784398,1074,225.95645456935367,227.52522,-251.2695189556444,-0.8379375752778453,stop_loss,0.054779999999993834,0.36521999999999366,False
AMZN,long,LP1,2025-07-15 16:40:00,2025-07-15 16:40:00,226.24524,225.68378484861697,494,225.7289306347439,227.50024,-277.35884478321645,-0.9252731356204938,stop_loss,0.10475999999999885,6.505040000000008,False
AMZN,long,MODEL4,2025-07-22 16:55:00,2025-07-22 17:00:00,227.64552,224.22618708681586,129,224.27104129507487,237.31552000000002,-441.09394580075525,-0.986665929213535,stop_loss,0.054479999999983875,15.50412,False
AMZN,long,MODEL4,2025-10-30 18:30:00,2025-10-30 20:00:00,251.930376,248.8684772236553,144,248.91826087583047,261.09526065011073,-440.9134237936355,-0.9836189748401691,stop_loss,0.48962399999999207,26.740375999999998,False
