ticker,direction,pattern,entry_time,exit_time,entry_price,exit_price,pnl,pnl_r,is_winner,exit_reason
TSLA,short,LP1,2025-12-19 21:20:00,2025-12-19 21:25:00,482.743432,483.52440801138357,-266.31281988180297,-0.8900676242540401,False,stop_loss
TSLA,short,LP1,2025-12-23 16:30:00,2025-12-23 17:05:00,485.372906,460.64616201691325,3215.242660295383,10.767736376634238,True,trail_stop
AMD,short,LP2,2025-06-09 18:50:00,2025-06-09 19:30:00,121.87562000000001,122.12838559345188,-273.4923721149224,-0.9121792250447774,False,stop_loss
AMD,long,MODEL4,2025-06-10 16:50:00,2025-06-10 16:55:00,123.099615,122.67507507699999,-424.53992300001175,-0.9450180816490213,False,stop_loss
AMD,long,LP1,2025-07-18 16:40:00,2025-07-18 17:15:00,156.88147002,156.65184844662372,-263.83518780934327,-0.8796718755970991,False,stop_loss
AMD,short,LP1,2025-07-21 16:40:00,2025-07-21 16:50:00,156.76864,156.990031728,-262.79198113598363,-0.8759940490321296,False,stop_loss
AMD,short,LP2,2025-10-07 17:00:00,2025-10-07 17:10:00,211.647662,205.8378537338439,854.0418151249462,2.860816863943661,True,target_hit
AMD,long,MODEL4,2025-10-13 17:05:00,2025-10-13 17:05:00,216.8523618,214.58050147109714,-438.4690434782549,-0.9810805150685074,False,stop_loss
AMD,short,LP1,2025-11-20 16:55:00,2025-11-20 19:35:00,204.719048,206.34832688565464,-291.6409205321835,-0.9756619771807665,False,stop_loss
AMD,short,LP2,2026-01-22 17:20:00,2026-01-22 17:35:00,250.61986599999997,252.01722479600565,-289.25327077317496,-0.9655406166500315,False,stop_loss
AMD,short,LP2,2026-01-27 16:30:00,2026-01-27 16:30:00,252.169556,252.34264602171223,-232.63298918123292,-0.7758002451394679,False,stop_loss
AMZN,long,LP1,2025-07-11 21:30:00,2025-07-11 21:50:00,226.14522,225.9112632784398,-251.2695189556444,-0.8379375752778453,False,stop_loss
AMZN,long,LP1,2025-07-15 16:40:00,2025-07-15 16:40:00,226.24524,225.68378484861697,-277.35884478321645,-0.9252731356204938,False,stop_loss
AMZN,long,MODEL4,2025-07-22 16:55:00,2025-07-22 17:00:00,227.64552,224.22618708681586,-441.09394580075525,-0.986665929213535,False,stop_loss
AMZN,long,MODEL4,2025-10-30 18:30:00,2025-10-30 20:00:00,251.930376,248.8684772236553,-440.9134237936355,-0.9836189748401691,False,stop_loss
AMZN,short,MODEL4,2025-10-31 17:05:00,2025-10-31 17:15:00,244.4511,237.72295043295927,968.8535376538653,2.1634484044138667,True,target_hit
AMZN,short,CLP,2025-11-04 19:05:00,2025-11-04 20:00:00,248.40031,248.4003000639876,0.003527284398359143,1.1763373511167271e-05,True,breakeven_stop
AMZN,short,LP1,2025-11-10 16:40:00,2025-11-10 16:40:00,248.160358,248.5221788463058,-263.7673969569207,-0.879468894595566,False,stop_loss
AMZN,long,MODEL4,2026-01-09 17:05:00,2026-01-09 17:10:00,247.384467,244.34980132781345,-440.0265224670495,-0.983771568422528,False,stop_loss
AMZN,long,MODEL4,2026-01-12 17:40:00,2026-01-12 22:55:00,246.44427900000002,246.370716,-10.666635000005158,-0.023850437508337135,False,eod_exit
AMZN,long,LP2,2026-01-14 21:00:00,2026-01-14 21:40:00,237.407472,236.92661377781747,-272.64661197750445,-0.9100003587289476,False,stop_loss
META,short,LP1,2025-06-12 18:10:00,2025-06-12 19:00:00,691.04916252,691.665032599582,-244.5004215940578,-0.8166571087571097,False,stop_loss
META,long,MODEL4,2025-08-12 16:40:00,2025-08-12 16:40:00,788.56708188,775.5501350071851,-429.559246802894,-0.9878438818288927,False,stop_loss
META,short,MODEL4,2025-09-03 17:15:00,2025-09-03 17:20:00,736.54946064,710.6495655651363,893.4358146675773,2.057836547228041,True,trail_stop
META,long,MODEL4,2025-09-08 17:10:00,2025-09-08 17:10:00,751.51507296,738.505536488969,-429.314703544022,-0.9870246183618552,False,stop_loss
AVGO,short,LP2,2025-05-12 16:40:00,2025-05-12 17:00:00,220.47899538,221.1310240106854,-281.0243398254106,-0.9369396616362888,False,stop_loss
AVGO,long,LP2,2025-09-09 17:45:00,2025-09-09 17:55:00,341.43277290000003,343.25834687166275,498.75980890456697,1.664313160200962,True,trail_stop
AVGO,long,LP1,2025-09-09 18:10:00,2025-09-09 18:10:00,342.02079048,341.24729092836765,-275.36584038112346,-0.9186787594493158,False,stop_loss
AVGO,short,LP1,2025-10-28 16:50:00,2025-10-28 16:55:00,371.42849944,371.98550554778245,-264.5779011966667,-0.8823706448220998,False,stop_loss
AVGO,short,LP2,2025-11-26 17:30:00,2025-11-26 17:30:00,396.04667482,396.60952327941084,-262.850230544851,-0.87687356455122,False,stop_loss
