Datetime,Open,High,Low,Close,Volume
2024-11-04 16:30,244.51,245.32,241.44,241.68,6321326
2024-11-04 16:35,241.72,241.86,238.88,239.36,3456983
2024-11-04 16:40,239.38,241.34,238.91,241.09,2647186
2024-11-04 16:45,241.09,242.56,241.06,242.21,1895556
2024-11-04 16:50,242.22,243.48,242.05,243.43,1502271
2024-11-04 16:55,243.44,243.76,242.7,243.66,1117790
2024-11-04 17:00,243.63,244.48,243.14,243.31,1363473
2024-11-04 17:05,243.23,244.24,242.36,243.95,1249536
2024-11-04 17:10,243.96,244.29,243.21,243.69,829855
2024-11-04 17:15,243.68,245.65,243.61,245.14,1672657
2024-11-04 17:20,245.18,246.5,245.04,246.35,1474198
2024-11-04 17:25,246.41,246.92,245.85,246.27,1253590
2024-11-04 17:30,246.27,246.33,245.64,246.18,853955
2024-11-04 17:35,246.12,247.2,246.12,246.18,1043156
2024-11-04 17:40,246.16,247.08,246.02,246.74,810254
2024-11-04 17:45,246.83,247.97,246.31,247.95,1043183
2024-11-04 17:50,247.91,248.47,247.74,248.38,1042019
2024-11-04 17:55,248.38,248.72,247.92,248.1,867167
2024-11-04 18:00,248.08,248.59,247.6,247.7,844799
2024-11-04 18:05,247.65,248.31,247.4,248.12,687146
2024-11-04 18:10,248.1,248.9,248.1,248.24,907026
2024-11-04 18:15,248.24,248.44,247.54,247.69,560980
2024-11-04 18:20,247.7,247.7,246.21,246.24,965188
2024-11-04 18:25,246.21,246.38,245.77,246.02,1188851
2024-11-04 18:30,246.01,246.26,245.43,245.86,1148760
2024-11-04 18:35,245.88,246.12,244.85,244.95,1070082
2024-11-04 18:40,244.92,245.39,244.37,244.67,945984
2024-11-04 18:45,244.72,244.9,244.18,244.63,818439
2024-11-04 18:50,244.73,244.96,244.22,244.74,757795
2024-11-04 18:55,244.74,245.12,243.93,245.11,1070006
2024-11-04 19:00,245.09,245.41,244.7,244.78,756967
2024-11-04 19:05,244.7,244.9,243.65,243.76,814496
2024-11-04 19:10,243.71,244.3,243.7,244.14,513737
2024-11-04 19:15,244.18,244.32,243.41,243.43,661497
2024-11-04 19:20,243.46,244.74,243.41,244.7,924139
2024-11-04 19:25,244.69,244.78,244.5,244.59,387986
2024-11-04 19:30,244.68,244.88,244.25,244.68,424675
2024-11-04 19:35,244.7,245.18,244.65,244.89,568190
2024-11-04 19:40,244.89,245.08,244.71,245.01,283969
2024-11-04 19:45,245.02,245.6,244.97,245.16,575284
