ticker,shallow_pl,shallow_wr,shallow_n,deep_pl,deep_wr,deep_n,delta,category,noon_sigma
AAPL,0.23025520625837662,64.76683937823834,193,0.35999100825054287,62.5,16,0.12973580199216625,flat,1.0559400560668146
AMD,0.2790643555427951,55.769230769230774,208,0.3259699940858456,60.0,25,0.04690563854305052,flat,1.4007074627954237
AMZN,0.2051523386797315,63.26530612244898,196,1.2514497194485266,62.5,16,1.046297380768795,deep-friendly,1.1332933388958313
AVGO,0.29875739449508826,59.20398009950249,201,0.5597237832705613,66.66666666666666,33,0.260966388775473,deep-friendly,1.2451855093566095
BA,0.2221666330975963,67.66169154228857,201,1.3620187348174222,80.95238095238095,21,1.139852101719826,deep-friendly,0.9414966259830956
BABA,0.1663657374658818,59.11330049261084,203,0.7861178451983022,70.0,20,0.6197521077324204,deep-friendly,1.2572708620821218
BIDU,0.17832264638061324,60.60606060606061,198,0.20183185182990712,50.0,24,0.023509205449293885,flat,1.149827725842061
C,0.24062480102135755,65.76086956521739,184,0.5074649618843209,57.692307692307686,26,0.26684016086296336,deep-friendly,1.02398444715175
COIN,0.4918271872898833,64.5933014354067,209,0.8188550601587987,60.60606060606061,33,0.32702787286891544,deep-friendly,1.7534799059917092
COST,0.17558056636787944,65.3179190751445,173,0.3853823866435963,54.166666666666664,24,0.20980182027571687,deep-friendly,0.7220649215812978
GOOGL,0.2611461031013321,64.94845360824742,194,0.25691221517467944,73.07692307692307,26,-0.004233887926652691,flat,0.9930112587734198
GS,0.2077193748873169,68.88888888888889,180,0.9538622655946729,73.07692307692307,26,0.746142890707356,deep-friendly,1.041519557531592
IBIT,0.3077612885353096,65.87677725118483,211,0.21614768593213454,60.71428571428571,28,-0.09161360260317505,flat,1.0944009890581323
JPM,0.22869763485756525,70.48192771084338,166,0.6306199160793095,75.0,24,0.4019222812217442,deep-friendly,0.8553695769323408
MARA,0.6170645115398266,55.8974358974359,195,0.7998722124247576,67.56756756756756,37,0.18280770088493103,flat,2.172963337693241
META,0.14936896011441578,57.8125,192,0.9292279907425036,66.66666666666666,30,0.7798590306280878,deep-friendly,0.8717689046015796
MSFT,0.16658885275929505,64.0,175,0.31446652081409737,60.71428571428571,28,0.14787766805480232,flat,0.6606255548232666
MU,0.37192245548768943,60.86956521739131,207,0.7241830745917882,66.66666666666666,27,0.3522606191040988,deep-friendly,1.5535085111019726
NVDA,0.14300832441144337,53.80952380952381,210,1.0771105654396118,74.07407407407408,27,0.9341022410281684,deep-friendly,1.408203292206459
PLTR,0.38631980689923845,63.38028169014085,213,1.4898550030611235,74.19354838709677,31,1.1035351961618851,deep-friendly,1.908292695164581
SNOW,0.2975387560656791,63.5,200,0.7296396070462474,65.625,32,0.43210085098056833,deep-friendly,1.4569568143741565
SPY,0.18509906144691743,91.42857142857143,35,0.33596253618183,83.33333333333334,24,0.15086347473491254,flat,1.6479378214797038
TSLA,0.3814306985159551,63.33333333333333,210,0.19341183849274157,51.85185185185185,27,-0.18801886002321355,flat,1.6097325530412836
TSM,0.2133288011508664,61.08108108108108,185,0.38330955071092015,58.620689655172406,29,0.16998074956005377,flat,1.0558781203201777
TXN,0.2479966563132717,61.386138613861384,202,0.13395021971850674,52.94117647058824,17,-0.11404643659476496,flat,0.9774222872761372
V,0.22337302723969973,68.0,175,0.05631565215046841,44.44444444444444,18,-0.16705737508923132,flat,0.730554601844434
