et_min,mean,median,count
720,0.13036655343805317,0.0880410877356963,7328
725,0.1265156377978909,0.08237325838895138,7328
730,0.12273119277510118,0.07946911295067527,7328
735,0.12495345076748259,0.08357030746268812,7328
740,0.12104030285091313,0.08076403721756775,7328
745,0.11739865362594872,0.07723017429972501,7328
750,0.1293066009122024,0.07909090791702322,7328
755,0.11805033934415139,0.07719020176150115,7328
760,0.11853958373179707,0.07497544861403416,7328
765,0.11582585144021851,0.07711491462003561,7328
770,0.11782073649670576,0.07951329863180034,7328
775,0.12004423179752613,0.07422251952118875,7328
780,0.12433487438450931,0.0796785417074175,7328
785,0.12032554141748017,0.07724205219936664,7049
790,0.11987709497711083,0.07724371224672177,7048
795,0.12742016992246952,0.08078994614003632,7049
800,0.12028500376530657,0.07459903021260761,7049
805,0.1203724154128497,0.07526786504915561,7047
810,0.12134248902693592,0.07715736040609933,7047
815,0.12448478798079561,0.07767548906789656,7049
820,0.11468667335850795,0.07524832745501309,7048
825,0.1157577399591221,0.07351589781290357,7047
830,0.11176644100508101,0.07377740303540214,7047
835,0.11206861024715266,0.07142393351080578,7049
840,0.1313896307701995,0.08531303320644668,7047
845,0.12354276006329776,0.07670238736598445,7044
850,0.11443400719242554,0.07322725181156953,7044
855,0.11371298878202996,0.07537925186091865,7047
860,0.10956502992352284,0.06903958269408594,7047
865,0.11550680352417983,0.06932409012132545,7049
870,0.11547603221431117,0.07478571017662805,7047
875,0.11096289077206056,0.07135849230981428,7044
880,0.10501751056541045,0.06571872386187394,7043
885,0.10785254937124635,0.06639444942404538,7045
890,0.10841463399211967,0.06777000998715588,7045
895,0.11557755787081245,0.0692842968643359,7046
900,0.1295978064816048,0.07744058872988235,7046
905,0.11735544384792114,0.07298914894653397,7047
910,0.11139652603348889,0.07142492748553053,7048
915,0.11371327206622314,0.07302935247306408,7044
920,0.11321084371973067,0.07375840026224711,7049
925,0.11138822812216922,0.0701846734219469,7045
930,0.12526678073346542,0.07919054029303929,7046
935,0.11452167762142011,0.07414468806269392,7047
940,0.1173940383629567,0.07433946309550188,7048
945,0.1233401154174964,0.08656281948909994,7046
950,0.1829258771280402,0.12511729882653255,7048
955,0.16368990506471,0.1139874772338123,7046
