ticker,trading_day,z2_high,dz_low,eod_close,compression_pct,recovery_return_pct,category,vix,vix_regime,compression_bucket,is_event_day,vix_daily_change_pct,noon_sigma,noon_mean,depth_z,zscore_bucket,exit_1530,trade_return,win
AAPL,2025-02-03,229.03,224.65,226.76,1.912413220975416,0.9392388159358938,weak_recovery,,unknown,>1.0%,False,0.0,1.0559400560668146,1.103679559014438,0.7658897465954313,<1σ,227.4,1.2241264188738037,True
AAPL,2025-02-04,231.22,230.15,231.54,0.4627627367874721,0.6039539430805937,full_recovery,,unknown,<0.5%,False,0.0,1.0559400560668146,1.103679559014438,-0.6069632632502502,<1σ,230.89,0.3215294373234763,True
AAPL,2025-02-05,229.58,228.4,231.2,0.5139820541859077,1.2259194395796773,full_recovery,,unknown,0.5-1.0%,False,0.0,1.0559400560668146,1.103679559014438,-0.5584573683330535,<1σ,230.69,1.0026269702276671,True
AAPL,2025-02-06,232.29,229.66,231.97,1.1322054328640905,1.0058347121832285,partial_recovery,,unknown,>1.0%,False,0.0,1.0559400560668146,1.103679559014438,0.0270146716054188,<1σ,230.86,0.5225115387964892,True
AAPL,2025-02-07,231.43,226.97,226.49,1.9271485978481648,-0.2114816936158919,failed_recovery,,unknown,>1.0%,False,0.0,1.0559400560668146,1.103679559014438,0.7798444941098265,<1σ,226.8,-0.0748997664889578,False
AAPL,2025-02-10,229.6,227.26,226.67,1.0191637630662036,-0.2596145384141527,failed_recovery,15.81,<20,>1.0%,False,0.0,1.0559400560668146,1.103679559014438,-0.0800384410674222,<1σ,226.58,-0.29921675613833426,False
AAPL,2025-02-11,234.22,232.25,231.77,0.8410895739048753,-0.2066738428417609,failed_recovery,16.02,<20,0.5-1.0%,False,1.3282732447817778,1.0559400560668146,1.103679559014438,-0.2486788749047581,<1σ,232.1,-0.06458557588805412,False
AAPL,2025-02-13,240.58,239.04,240.49,0.6401197106991522,0.6065930388219617,partial_recovery,15.1,<20,0.5-1.0%,True,4.971680302076783,1.0559400560668146,1.103679559014438,-0.4390020490764998,<1σ,240.31,0.5312918340026817,True
AAPL,2025-02-14,244.0,242.3,243.52,0.6967213114754052,0.5035080478745352,partial_recovery,14.77,<20,0.5-1.0%,True,2.1854304635761594,1.0559400560668146,1.103679559014438,-0.3853990055599164,<1σ,243.26,0.39620305406519996,True
AAPL,2025-02-18,244.05,242.21,243.41,0.7539438639623042,0.4954378431939179,partial_recovery,15.35,<20,0.5-1.0%,False,0.1301236174365619,1.0559400560668146,1.103679559014438,-0.3312079062090284,<1σ,242.35,0.05780108170595201,True
AAPL,2025-02-19,244.53,243.19,243.84,0.5479900216742336,0.2672807270035798,weak_recovery,15.27,<20,0.5-1.0%,False,0.5211726384364825,1.0559400560668146,1.103679559014438,-0.5262510254701835,<1σ,243.89,0.2878407829269249,True
AAPL,2025-02-20,245.64,243.98,244.81,0.6757857026542895,0.3401918190015626,weak_recovery,15.66,<20,0.5-1.0%,True,2.5540275049115952,1.0559400560668146,1.103679559014438,-0.4052255181548614,<1σ,244.56,0.23772440363964772,True
AAPL,2025-02-24,247.8,246.16,246.17,0.661824051654566,0.0040623984400353,failed_recovery,18.98,<20,0.5-1.0%,True,4.228445908841294,1.0559400560668146,1.103679559014438,-0.4184475291198855,<1σ,246.55,0.15843353916152697,True
AAPL,2025-02-25,248.93,246.67,245.99,0.9078857510143492,-0.2756719503790402,failed_recovery,19.43,<20,0.5-1.0%,True,2.3709167544783947,1.0559400560668146,1.103679559014438,-0.1854213284884609,<1σ,246.57,-0.04053999270279901,False
