trading_day,z2_avg_vol,z3_avg_vol,vol_ratio_z3_z2,vol_recovery_time_et,vol_recovery_minutes_et
2025-02-03,74667.54166666667,104035.69230769231,1.393318836880045,13:00,780
2025-02-04,95119.83333333333,143590.23076923078,1.509571934026,13:00,780
2025-02-05,74685.29166666667,127353.92307692308,1.7052075480313524,13:00,780
2025-02-06,79548.70833333333,126694.07692307692,1.5926603910674468,13:00,780
2025-02-07,76796.20833333333,72113.38461538461,0.9390227223507838,13:00,780
2025-02-10,56925.625,91986.0,1.6158979370011308,13:00,780
2025-02-11,77737.95833333333,101299.84615384616,1.3030937308577308,13:00,780
2025-02-12,49937.083333333336,81726.53846153847,1.6365901451634333,13:00,780
2025-02-13,80125.16666666667,131851.76923076922,1.6455724801084455,13:00,780
2025-02-14,44309.625,57351.92307692308,1.2943445826256277,13:00,780
2025-02-18,39943.875,61620.846153846156,1.5426857347677498,13:00,780
2025-02-19,56700.958333333336,75672.76923076923,1.3345941842094537,13:00,780
2025-02-20,54297.458333333336,71000.0,1.307611851076516,13:00,780
2025-02-21,159703.16666666666,211546.76923076922,1.324624762590405,13:00,780
2025-02-24,98101.91666666667,143422.84615384616,1.4619780227247972,13:00,780
2025-02-25,99937.875,114190.84615384616,1.1426183131655157,13:00,780
2025-02-26,50416.791666666664,64606.46153846154,1.2814472996538662,13:00,780
2025-02-27,109328.79166666667,131210.23076923078,1.2001434276277247,13:00,780
2025-02-28,195342.125,279584.53846153844,1.431255744051819,13:00,780
2025-03-03,150649.875,193132.53846153847,1.2819960087025526,13:00,780
2025-03-04,114404.45833333333,128409.23076923077,1.1224145688019656,13:00,780
2025-03-05,129778.58333333333,190965.3076923077,1.471470120781159,13:00,780
2025-03-06,128233.41666666667,158844.92307692306,1.238717077076943,13:00,780
2025-03-07,67659.04166666667,102851.0,1.5201368134463427,13:00,780
2025-03-10,222961.75,298409.3846153846,1.3383882419983903,13:00,780
2025-03-11,123204.875,176277.92307692306,1.4307706823851172,13:00,780
2025-03-12,74338.125,118070.76923076923,1.5882936142224362,13:00,780
2025-03-13,186426.04166666666,286923.6923076923,1.539075172881251,13:00,780
2025-03-14,124118.375,200189.53846153847,1.6128920352166911,13:00,780
2025-03-17,90217.125,135342.3076923077,1.500184224362145,13:00,780
2025-03-18,132896.83333333334,206263.92307692306,1.5520604810768481,13:00,780
2025-03-19,141973.54166666666,230389.84615384616,1.6227660692917572,13:00,780
2025-03-20,166695.75,259542.61538461538,1.5569839985999365,13:00,780
2025-03-21,137049.95833333334,239947.07692307694,1.7508000720399848,13:00,780
2025-03-24,101765.0,174507.38461538462,1.7148074938867452,13:00,780
2025-03-25,92626.125,139331.0,1.504230043089895,13:00,780
2025-03-26,108833.70833333333,135515.38461538462,1.2451600399421408,13:00,780
2025-03-27,53221.458333333336,59652.692307692305,1.1208391159460394,13:00,780
2025-03-28,120146.875,201294.53846153847,1.6754038626600856,13:00,780
2025-03-31,178042.91666666666,272275.3076923077,1.5292678461455653,13:00,780
2025-04-01,67011.125,90741.53846153847,1.3541264746941417,13:00,780
2025-04-02,289117.0,139981.07692307694,0.4841675754904656,13:00,780
2025-04-03,255512.0,424491.3846153846,1.6613363936542496,13:00,780
2025-04-04,425415.2916666667,505824.23076923075,1.1890128086076612,13:00,780
2025-04-07,161324.5,197405.23076923078,1.223653138669147,13:00,780
2025-04-08,231925.625,283034.07692307694,1.2203656966455385,13:00,780
2025-04-09,429114.8333333333,640243.9230769231,1.4920107005007357,13:00,780
2025-04-10,123749.375,211164.6923076923,1.7063899701125143,13:00,780
2025-04-11,82969.54166666667,109533.07692307692,1.3201600819145207,13:00,780
2025-04-14,70724.70833333333,81700.76923076923,1.1551941486376236,13:00,780
2025-04-15,98543.375,92635.92307692308,0.9400522671049483,13:00,780
2025-04-16,126539.95833333333,141981.07692307694,1.1220256335873637,13:00,780
2025-04-17,121040.83333333333,153070.3076923077,1.2646171005016849,13:00,780
2025-04-21,122116.375,210075.38461538462,1.7202884102593499,13:00,780
2025-04-22,238016.83333333334,131718.61538461538,0.5534004193734843,13:00,780
2025-04-23,90697.25,100741.92307692308,1.1107494778168365,13:00,780
2025-04-24,167153.0,196293.92307692306,1.1743368236102436,13:00,780
2025-04-25,107850.625,123951.46153846153,1.1492883007257633,13:00,780
2025-04-28,56878.75,63688.0,1.1197151836142671,13:00,780
2025-04-29,80585.95833333333,91685.92307692308,1.1377406805497825,13:00,780
2025-04-30,151614.70833333334,187965.76923076922,1.2397594619745997,13:00,780
2025-05-01,90729.20833333333,96187.46153846153,1.0601598240014938,13:00,780
2025-05-02,118987.91666666667,167567.84615384616,1.4082761581856378,13:00,780
2025-05-05,63047.416666666664,79917.61538461539,1.2675795394939322,13:00,780
2025-05-06,119343.41666666667,105698.15384615384,0.8856638832569637,13:00,780
2025-05-07,61530.208333333336,84959.92307692308,1.3807839332618828,13:00,780
2025-05-08,66638.375,99930.92307692308,1.499600239005274,13:00,780
2025-05-09,45116.875,65773.38461538461,1.4578444232980368,13:00,780
2025-05-12,92483.0,134030.46153846153,1.4492443101809147,13:00,780
2025-05-13,77694.625,88061.69230769231,1.133433520114066,13:00,780
2025-05-14,81776.66666666667,127012.15384615384,1.5531588535379346,13:00,780
2025-05-15,43828.833333333336,69682.84615384616,1.5898859461734738,13:00,780
2025-05-16,146931.83333333334,127022.15384615384,0.864497168275224,13:00,780
2025-05-19,39976.916666666664,55648.153846153844,1.3920071502801536,13:00,780
2025-05-20,67218.83333333333,56286.769230769234,0.8373660541183037,13:00,780
2025-05-21,122086.58333333333,103331.07692307692,0.8463753682167663,13:00,780
2025-05-22,44728.0,65491.38461538462,1.4642144655559073,13:00,780
2025-05-23,60491.0,79756.30769230769,1.318482215409031,13:00,780
2025-05-27,70744.125,114323.76923076923,1.616017856334632,13:00,780
2025-05-28,80207.41666666667,210829.76923076922,2.6285570336588058,13:00,780
2025-05-29,59293.083333333336,64311.46153846154,1.0846368230998535,13:00,780
2025-05-30,106710.66666666667,146392.6923076923,1.371865595826337,13:00,780
2025-06-02,45018.125,75447.76923076923,1.675942061797759,13:00,780
2025-06-03,40406.541666666664,68530.23076923077,1.69601821741069,13:00,780
2025-06-04,56518.083333333336,96263.30769230769,1.7032302232289844,13:00,780
2025-06-05,69760.41666666667,95209.30769230769,1.364804171787597,13:00,780
2025-06-06,58934.375,100845.61538461539,1.7111510113514463,13:00,780
2025-06-09,48384.041666666664,54682.307692307695,1.130172383469571,13:00,780
2025-06-10,81191.25,104571.38461538461,1.2879637228812786,13:00,780
2025-06-11,44237.541666666664,60100.153846153844,1.3585780669959737,13:00,780
2025-06-12,51592.75,72017.92307692308,1.3958923119415632,13:00,780
2025-06-13,100745.91666666667,158462.46153846153,1.5728921506839717,13:00,780
2025-06-16,93138.33333333333,149771.84615384616,1.6080580443481505,13:00,780
2025-06-17,88465.0,122625.69230769231,1.3861492376385272,13:00,780
2025-06-18,68581.91666666667,84615.15384615384,1.2337822848756852,13:00,780
2025-06-20,152627.125,252337.6923076923,1.653295194466202,13:00,780
2025-06-23,72515.66666666667,89738.23076923077,1.2375012861942123,13:00,780
2025-06-24,93942.625,95006.23076923077,1.0113218655453875,13:00,780
2025-06-25,62233.25,81666.30769230769,1.3122616558239797,13:00,780
2025-06-26,96421.875,87865.92307692308,0.9112654475649128,13:00,780
2025-06-27,74931.0,108068.92307692308,1.442245840532264,13:00,780
2025-06-30,144734.25,234864.61538461538,1.6227300406407976,13:00,780
2025-07-01,50359.0,69701.38461538461,1.3840899266344568,13:00,780
2025-07-02,44525.333333333336,58816.0,1.3209558603341918,13:00,780
2025-07-07,89670.91666666667,133193.3076923077,1.485356820734047,13:00,780
2025-07-08,60321.875,97300.38461538461,1.6130198972658694,13:00,780
2025-07-09,58407.5,92144.38461538461,1.5776122007513522,13:00,780
2025-07-10,41629.708333333336,58541.153846153844,1.4062350227728917,13:00,780
2025-07-11,34750.958333333336,52356.769230769234,1.506628068456699,13:00,780
2025-07-14,48046.666666666664,66414.61538461539,1.3822939236426126,13:00,780
2025-07-15,49197.916666666664,62780.07692307692,1.2760718578478478,13:00,780
2025-07-16,56429.041666666664,69831.84615384616,1.2375160749025567,13:00,780
2025-07-17,57088.791666666664,87677.38461538461,1.5358073284738691,13:00,780
2025-07-18,58347.5,95394.23076923077,1.634932615265963,13:00,780
2025-07-21,86651.04166666667,140462.3076923077,1.6210111845238369,13:00,780
2025-07-22,59237.375,103806.46153846153,1.7523811873578383,13:00,780
2025-07-23,46622.125,60203.769230769234,1.291313281639763,13:00,780
2025-07-24,45338.75,61768.53846153846,1.3623785053963433,13:00,780
2025-07-25,61706.458333333336,99355.38461538461,1.6101294305156002,13:00,780
2025-07-28,41187.041666666664,64727.92307692308,1.5715603854429883,13:00,780
2025-07-29,63274.416666666664,81824.30769230769,1.2931657374790657,13:00,780
2025-07-30,81018.625,71619.61538461539,0.8839895195038844,13:00,780
2025-07-31,100135.33333333333,138557.3076923077,1.3837004689550911,13:00,780
2025-08-01,72941.83333333333,100697.38461538461,1.3805162279814458,13:00,780
2025-08-04,75114.875,107130.69230769231,1.4262247298912807,13:00,780
2025-08-05,55775.083333333336,81386.38461538461,1.4591889379884615,13:00,780
2025-08-06,83531.125,120141.30769230769,1.4382819301464895,13:00,780
2025-08-07,62828.166666666664,73796.92307692308,1.1745834232033363,13:00,780
2025-08-08,59585.833333333336,89516.38461538461,1.5023098546698954,13:00,780
2025-08-11,41045.916666666664,66507.69230769231,1.6203242053966143,13:00,780
2025-08-12,50934.333333333336,87186.84615384616,1.7117500210175092,13:00,780
2025-08-13,46867.833333333336,68646.92307692308,1.4646916273831678,13:00,780
2025-08-14,43701.75,58587.692307692305,1.3406257714552003,13:00,780
2025-08-15,46984.208333333336,74875.38461538461,1.5936287376425506,13:00,780
2025-08-18,40866.083333333336,56105.230769230766,1.3729045260245745,13:00,780
2025-08-19,80244.45833333333,120120.92307692308,1.4969373034826154,13:00,780
2025-08-20,47805.916666666664,61063.230769230766,1.277315341425258,13:00,780
2025-08-21,76349.0,127484.07692307692,1.669754376914916,13:00,780
2025-08-22,65324.541666666664,102751.23076923077,1.572934583966043,13:00,780
2025-08-25,56909.125,81079.53846153847,1.4247194709378939,13:00,780
2025-08-26,66492.83333333333,103335.84615384616,1.5540899819355896,13:00,780
2025-08-27,50505.708333333336,70389.07692307692,1.3936855703223696,13:00,780
2025-08-28,53031.083333333336,83738.46153846153,1.5790448973503564,13:00,780
2025-08-29,86976.5,119880.0,1.3783033348088276,13:00,780
2025-09-02,71316.79166666667,92023.76923076923,1.2903520626795242,13:00,780
2025-09-03,78750.95833333333,86334.15384615384,1.0962933743704137,13:00,780
2025-09-04,106842.16666666667,163820.53846153847,1.5332947989779797,13:00,780
2025-09-05,60787.125,72513.61538461539,1.192910758398516,13:00,780
2025-09-08,46557.708333333336,56139.846153846156,1.2058120591311927,13:00,780
2025-09-09,38937.708333333336,70962.07692307692,1.822451293630153,12:15,735
2025-09-10,59703.0,102310.46153846153,1.713656960930967,13:00,780
2025-09-11,56171.041666666664,91062.53846153847,1.6211652082567183,13:00,780
2025-09-12,61749.75,98739.23076923077,1.599022356677246,13:00,780
2025-09-15,62265.0,93794.30769230769,1.506372885124993,13:00,780
2025-09-16,71882.375,93214.46153846153,1.2967637969455172,13:00,780
2025-09-17,85466.16666666667,84874.84615384616,0.9930812327745226,13:00,780
2025-09-18,54680.25,87610.30769230769,1.6022294647941018,13:00,780
2025-09-19,190303.625,186701.0,0.9810690679171246,13:00,780
2025-09-22,77907.75,91233.0,1.1710388247639034,13:00,780
2025-09-23,66130.75,97018.30769230769,1.4670680083366314,13:00,780
2025-09-24,83484.25,102875.07692307692,1.2322692834046771,13:00,780
2025-09-25,54927.291666666664,83081.92307692308,1.512580004510625,13:00,780
2025-09-26,80442.70833333333,115897.46153846153,1.4407453943272654,13:00,780
2025-09-29,65738.95833333333,109434.46153846153,1.6646820137241534,13:00,780
2025-09-30,129707.41666666667,211399.07692307694,1.6298148737812623,13:00,780
2025-10-01,131979.5,168611.53846153847,1.277558548574123,13:00,780
2025-10-02,78115.08333333333,136708.84615384616,1.7500953762089844,13:00,780
2025-10-03,45198.333333333336,63360.53846153846,1.4018335143966618,13:00,780
2025-10-06,70700.83333333333,74853.07692307692,1.0587297687166854,13:00,780
2025-10-07,63368.458333333336,112375.07692307692,1.7733598051566442,13:00,780
2025-10-08,103512.33333333333,163584.6923076923,1.5803401105925443,13:00,780
2025-10-09,66349.20833333333,89488.92307692308,1.3487564558018175,13:00,780
2025-10-10,206637.125,224904.46153846153,1.088402974724225,13:00,780
2025-10-13,58485.458333333336,85347.46153846153,1.4592937111312403,13:00,780
2025-10-14,46766.916666666664,64020.38461538462,1.3689246411452103,13:00,780
2025-10-15,52589.791666666664,76187.07692307692,1.4487046726858794,13:00,780
2025-10-16,90450.5,122998.30769230769,1.3598411030597697,13:00,780
2025-10-17,76368.29166666667,92203.07692307692,1.2073476427301284,13:00,780
2025-10-20,59888.791666666664,97712.69230769231,1.6315689395028812,13:00,780
2025-10-21,43304.791666666664,62701.61538461538,1.4479140291738013,13:00,780
2025-10-22,62586.833333333336,105630.23076923077,1.6877388604509058,13:00,780
2025-10-23,76212.95833333333,128631.46153846153,1.687789902812392,13:00,780
2025-10-24,96396.95833333333,137405.15384615384,1.4254096417753899,13:00,780
2025-10-27,68867.0,103491.0,1.5027662015188696,13:00,780
2025-10-28,50757.125,82885.46153846153,1.6329818038051118,13:00,780
2025-10-29,74311.375,80203.46153846153,1.0792891604880348,13:00,780
2025-10-30,77062.45833333333,93676.15384615384,1.2155874062693153,13:00,780
2025-10-31,127234.45833333333,163755.61538461538,1.2870382562214604,13:00,780
2025-11-03,91169.45833333333,80092.23076923077,0.8784984822044016,13:00,780
2025-11-04,119516.75,149769.15384615384,1.2531227116379406,13:00,780
2025-11-05,89061.04166666667,118923.23076923077,1.335300245132219,13:00,780
2025-11-06,82357.45833333333,117279.92307692308,1.4240352416200688,13:00,780
2025-11-07,79772.91666666667,94035.23076923077,1.178786418981765,13:00,780
2025-11-10,103937.08333333333,116866.53846153847,1.1243969400867204,13:00,780
2025-11-11,99928.33333333333,129109.53846153847,1.2920213332375383,13:00,780
2025-11-12,92142.45833333333,111768.30769230769,1.212994635849373,13:00,780
2025-11-13,91670.20833333333,129101.76923076923,1.4083285243699502,13:00,780
2025-11-14,58689.0,77769.46153846153,1.3251113758704618,13:00,780
2025-11-17,91345.25,132460.6923076923,1.45011034846029,13:00,780
2025-11-18,92141.41666666667,119620.15384615384,1.298223515261275,13:00,780
2025-11-19,77698.79166666667,93181.61538461539,1.1992672393718957,13:00,780
2025-11-20,162998.41666666666,161600.92307692306,0.9914263364128163,13:00,780
2025-11-21,144191.25,167753.76923076922,1.1634115747714873,13:00,780
2025-11-24,99837.66666666667,146938.92307692306,1.4717784177340187,13:00,780
2025-11-25,59311.416666666664,77729.84615384616,1.3105376759198326,13:00,780
2025-11-26,62555.041666666664,87646.0,1.401102096087379,13:00,780
2025-12-01,101942.79166666667,69062.92307692308,0.6774674496137555,13:00,780
2025-12-02,77345.41666666667,85142.07692307692,1.1008031321365983,13:00,780
