ticker,entry_date,entry_price,exit_price,final_return,MAE_close,MAE_low,MFE,bars_to_MAE,bars_to_MFE,bars_held,exit_reason,atr14_at_entry,rsi_at_entry,vix_at_entry
SNOW,2026-01-02 09:30:00,214.5600,224.0100,4.40,0.99,-0.28,5.98,1,2,2,ema21,3.9354,34.08,nan
TSLA,2025-03-11 09:30:00,223.8100,227.0000,1.43,1.43,-0.68,12.52,10,2,10,hard_max,14.5219,18.75,27.86
TSLA,2025-11-21 09:30:00,394.6400,418.6000,6.07,-0.87,-1.04,6.55,1,2,2,ema21,15.0963,34.78,26.42
TSLA,2025-11-21 13:30:00,391.2000,418.6000,7.00,7.00,2.53,7.49,1,1,1,ema21,14.8587,33.27,26.42
TSLA,2026-01-02 09:30:00,438.4000,447.1800,2.00,-1.97,-3.20,4.37,4,2,10,hard_max,13.1132,31.99,nan
TSLA,2026-01-02 13:30:00,438.1000,445.0600,1.59,-1.91,-3.14,4.44,3,1,10,hard_max,12.6280,31.86,nan
TSM,2025-04-04 09:30:00,144.5300,157.2000,8.77,-3.12,-7.96,10.12,5,7,7,ema21,4.7254,22.75,30.02
TXN,2025-04-04 09:30:00,149.0900,164.1300,10.09,-5.04,-6.83,12.35,5,7,7,ema21,4.5091,21.05,30.02
TXN,2025-04-04 13:30:00,146.7400,164.1300,11.85,-3.52,-5.34,14.15,4,6,6,ema21,4.5020,19.83,30.02
TXN,2025-04-08 13:30:00,141.5800,164.1300,15.93,7.98,-1.25,18.31,1,2,2,ema21,5.8115,21.20,46.98
V,2025-04-04 13:30:00,310.2800,329.7800,6.28,-1.31,-4.35,6.86,4,6,6,ema21,6.8762,24.06,30.02
V,2025-04-08 13:30:00,306.2000,329.7800,7.70,4.75,-0.92,8.28,1,2,2,ema21,8.7675,24.05,46.98
