market,touch,signal,prev_run,lag,ret4,mae,grp,quarter
^DJI,2004-09-24,2004-10-01,2,1,-0.01620585988257084,-0.047509723324308584,B1,2004Q4
^DJI,2005-01-28,2005-01-28,12,0,0.03974215573695328,0.00014956750453509748,B1,2005Q1
^DJI,2005-03-18,2005-05-27,6,10,-0.023211648554763764,-0.023211648554763764,B1,2005Q2
^DJI,2005-06-17,2005-06-17,1,0,0.001671810983318256,-0.042141293308417094,B1,2005Q2
^DJI,2005-08-26,2005-09-09,6,2,-0.036170608728335885,-0.04312095873329713,B1,2005Q3
^DJI,2005-09-23,2005-09-30,1,1,-0.015700195955610008,-0.039005764829798006,B1,2005Q3
^DJI,2006-01-27,2006-01-27,12,0,0.014177745637181216,-0.015543850321913855,B1,2006Q1
^DJI,2006-05-19,2006-05-19,15,0,-0.011621417205092022,-0.039950429027096,EVENT,2006Q2
^DJI,2006-06-02,2006-06-02,1,0,-0.008681678362891465,-0.04881106396966306,B1,2006Q2
^DJI,2006-08-04,2006-08-04,1,0,0.019910482238322924,-0.017589307077477412,B1,2006Q3
^DJI,2007-03-02,2007-03-23,28,3,0.03853620116937018,-0.019101832361883564,EVENT,2007Q1
^DJI,2007-04-13,2007-04-13,1,0,0.0566192903486622,-6.504155187281313e-05,B1,2007Q2
^DJI,2007-08-03,2007-08-24,15,3,0.03298636645952979,-0.026679415119588268,EVENT,2007Q3
^DJI,2007-09-21,2007-09-21,1,0,-0.02157502097778563,-0.02230432363202761,B1,2007Q3
^DJI,2007-10-19,2007-10-26,3,1,-0.05981301113356352,-0.07392569603427235,B1,2007Q4
^DJI,2007-11-09,2007-12-07,1,4,-0.06057726613416836,-0.06139482020332565,B1,2007Q4
^DJI,2008-05-23,2008-05-23,5,0,-0.05103832878907899,-0.05295027263569596,B1,2008Q2
^DJI,2008-06-06,2009-04-10,1,44,0.0607753829381541,-0.03605294959842975,B1,2009Q2
^DJI,2009-04-24,2009-04-24,1,0,0.024891413317894573,-0.01700162549012285,B1,2009Q2
^DJI,2009-07-17,2009-07-17,11,0,0.06604115908394159,0.0002241507651223884,B1,2009Q3
^DJI,2010-01-29,2010-02-19,27,3,0.03264943711071888,-0.02081448320626178,EVENT,2010Q1
^DJI,2010-05-07,2010-05-14,10,1,-0.03852012001054894,-0.08122385527819476,B1,2010Q2
^DJI,2010-08-13,2010-09-03,1,3,0.036538339309148515,-0.011057625800566018,B1,2010Q3
^DJI,2011-03-18,2011-03-18,27,0,0.040756398435855656,0.00013414999303318353,EVENT,2011Q1
^DJI,2011-06-03,2011-07-01,10,4,-0.03493104564805105,-0.03968278483504073,B1,2011Q3
^DJI,2011-07-22,2011-07-22,2,0,-0.1469510472751624,-0.16379336102984954,B1,2011Q3
^DJI,2011-11-04,2011-11-04,2,0,0.0030191907023791043,-0.06273850245598545,B1,2011Q4
^DJI,2011-11-25,2011-12-02,2,1,0.016484959317952796,-0.023647521597128907,B1,2011Q4
^DJI,2012-05-11,2012-06-29,22,7,0.015183924558950235,-0.030111579069318162,EVENT,2012Q2
^DJI,2012-08-03,2012-08-03,1,0,-0.00040699518689790715,-0.008953744974638522,B1,2012Q3
^DJI,2012-10-26,2013-01-04,11,10,0.04276673604622294,-0.01057520340494078,B1,2013Q1
^DJI,2013-06-28,2013-06-28,24,0,0.04354446033156867,-0.0033984763643913896,EVENT,2013Q2
^DJI,2013-08-16,2013-09-13,6,4,-0.009036724793800688,-0.04270469165457025,B1,2013Q3
^DJI,2013-09-27,2013-09-27,1,0,0.020450591566877563,-0.03531275812928436,B1,2013Q3
^DJI,2013-10-18,2013-10-18,1,0,0.0364975691285605,-0.002402017801489742,B1,2013Q4
^DJI,2014-01-31,2014-02-14,14,2,-0.005491988771676115,-0.009149203894669888,B1,2014Q1
^DJI,2014-03-14,2014-03-21,3,1,0.006487825951735138,-0.017631925557127115,B1,2014Q1
^DJI,2014-04-11,2014-04-18,2,1,0.005044415231589161,-0.005843232349010408,B1,2014Q2
^DJI,2014-08-01,2014-08-22,14,3,0.016382325487887206,-0.003738012838002791,B1,2014Q3
^DJI,2014-10-03,2014-10-03,5,0,0.02238900828698176,-0.067877155495357,B1,2014Q4
^DJI,2014-12-19,2014-12-19,7,0,-0.01646917998985964,-0.0315223970711902,B1,2014Q4
^DJI,2015-01-09,2015-01-09,2,0,0.0049003841091586064,-0.039442679996868346,B1,2015Q1
^DJI,2015-01-23,2015-01-23,1,0,0.026472610373734717,-0.035922267113052686,B1,2015Q1
^DJI,2015-03-13,2015-03-13,5,0,0.01737193357092326,-0.0095801476443792,B1,2015Q1
^DJI,2015-03-27,2015-04-10,1,2,0.007390717036159344,-0.017971953326136325,B1,2015Q2
^DJI,2015-05-01,2015-05-01,2,0,-0.000742388727567822,-0.016141834715509895,B1,2015Q2
