touch,signal,idx_ret4,breadth,semis_below
2013-04-19,2013-04-19,0.09120292330536439,0.5454545454545454,0.4
2013-06-21,2013-06-21,0.059065682446250545,0.7727272727272727,0.2
2014-02-07,2014-02-07,0.03699880429126767,0.5454545454545454,0.4
2014-03-28,2014-05-16,0.052559578821927966,0.5,0.2
2014-10-10,2014-10-24,0.05323463652186877,0.45454545454545453,1.0
2015-06-12,2015-06-12,-0.010114928497665265,0.5454545454545454,0.8
2015-07-03,2015-07-17,-0.027115012773644587,0.36363636363636365,0.8
2016-11-04,2016-11-11,0.031951613564193515,0.5909090909090909,0.0
2017-09-29,2017-09-29,0.03980755356758259,0.7727272727272727,0.2
2018-02-09,2018-02-16,0.0367361621723572,0.4090909090909091,0.6
2018-10-05,2018-10-05,-0.05978345477968994,0.5,0.2
2019-05-31,2019-06-07,0.05529170424683039,0.3181818181818182,0.8
2020-02-28,2020-04-17,0.03706633487475752,0.3181818181818182,0.4
2020-10-30,2020-11-06,0.037032022689557964,0.5909090909090909,0.0
2021-03-05,2021-03-05,0.05147730667833539,0.6818181818181818,0.4
2021-03-19,2021-03-19,0.09219516435674913,0.6363636363636364,0.6
2021-04-02,2021-04-02,0.04134695938417621,0.7272727272727273,0.2
2021-05-14,2021-05-14,0.045497640612359946,0.5,0.8
2021-10-01,2021-10-01,0.07199176301589394,0.5454545454545454,0.4
2021-10-15,2021-10-15,0.06982167722437782,0.5909090909090909,0.4
2021-12-24,2021-12-24,-0.11395245756375283,0.5454545454545454,0.0
2022-01-07,2022-07-29,-0.02542315739209655,0.5909090909090909,0.0
2023-09-22,2023-11-03,0.06045528134375955,0.2727272727272727,0.8
2024-04-19,2024-04-26,0.06252903064276416,0.5454545454545454,0.4
2025-01-17,2025-01-17,0.03145251367892232,0.7727272727272727,0.2
2025-02-28,2025-05-16,0.010450446022082227,0.45454545454545453,1.0
2025-11-21,2025-11-21,0.04572335508306158,0.5,0.2
2026-01-23,2026-01-23,-0.022337445077962093,0.5909090909090909,0.2
2026-02-06,2026-04-10,0.16390916252479215,0.5,0.6
2026-07-31,2026-07-31,,0.5909090909090909,0.0
