ticker,direction,pattern,entry_time,exit_time,entry_price,exit_price,position_size,stop_price,target_price,pnl,pnl_r,exit_reason,max_favorable,max_adverse,is_winner
AAPL,short,LP1,2025-12-16 17:25:00,2025-12-16 17:25:00,273.56617582,276.7016361620901,94,276.64630690070993,265.0022599640947,-294.73327215646793,-0.9829869536911524,stop_loss,0.025175820000015392,4.200824179999984,False
AAPL,short,LP1,2025-12-30 17:40:00,2025-12-30 22:55:00,272.76713566,273.044598,94,275.8472667407099,265.37211980409467,-26.08145995999996,-0.08699897807578941,eod_exit,0.5248356600000079,0.7528643399999737,False
AMD,short,LP2,2025-06-09 18:50:00,2025-06-09 19:30:00,121.87562000000001,122.12838559345188,1082,122.10396480049178,120.21532,-273.4923721149224,-0.9121792250447774,stop_loss,0.1656200000000183,0.23437999999998738,False
AMD,short,CLP,2025-07-18 19:25:00,2025-07-18 19:45:00,156.81862999999998,156.95346815268073,1805,156.92208373593354,156.23792999999998,-243.38286558874103,-0.8113897229636295,stop_loss,0.01862999999997328,0.11137000000002217,False
AMD,short,LP1,2025-10-13 17:20:00,2025-10-14 16:30:00,216.80033126,218.36256685660155,186,218.31890307598636,211.07653126000002,-290.5758209678863,-0.9731725093960926,stop_loss,0.2903312600000163,1.8996687399999814,False
AMZN,long,LP2,2025-07-15 20:35:00,2025-07-15 22:55:00,226.355262,226.35525294578954,629,226.40053305240002,227.525262,-0.005695098383000641,-1.901008078060678e-05,breakeven_stop,0.7947379999999953,0.24526199999999676,False
AMZN,long,MODEL4,2025-10-30 18:30:00,2025-10-30 20:00:00,251.930376,248.8684772236553,144,248.91826087583047,261.09526065011073,-440.9134237936355,-0.9836189748401691,stop_loss,0.48962399999999207,26.740375999999998,False
AMZN,short,CLP,2025-11-04 19:05:00,2025-11-04 20:00:00,248.40031,248.4003000639876,355,248.350629938,246.31911,0.003527284398359143,1.1763373511167271e-05,breakeven_stop,1.4003099999999904,8.60969,True
AMZN,short,LP1,2025-11-10 22:20:00,2025-11-10 22:35:00,248.170356,248.6492605301858,567,248.5995406220614,245.970356,-271.5388686153573,-0.9062049956680162,stop_loss,0.2703559999999925,0.9596439999999973,False
AMZN,long,MODEL4,2026-01-09 17:35:00,2026-01-09 22:55:00,247.37016413999999,247.260538,145,244.38437820402623,256.09306413999997,-15.895790299998396,-0.03553851095284245,eod_exit,0.4898358600000279,1.8601641399999949,False
AMZN,long,MODEL4,2026-01-12 17:40:00,2026-01-12 22:55:00,246.44427900000002,246.370716,145,243.45849306402627,256.087179,-10.666635000005158,-0.023850437508337135,eod_exit,2.4957209999999748,1.734279000000015,False
BA,long,MODEL4,2025-07-28 16:45:00,2025-07-28 16:50:00,236.52409536,250.7832118595402,177,236.571400179072,242.11039535999998,2061.6379757521686,4.581790392742765,trail_stop,16.022604639999997,7.306195360000004,True
BA,short,LP1,2025-12-11 17:55:00,2025-12-11 18:05:00,200.65985999999998,201.19877243437392,518,201.15854072622867,199.03985999999998,-279.1566410057015,-0.9308208427210414,stop_loss,0.0,0.5401400000000081,False
BA,long,MODEL4,2025-12-12 17:05:00,2025-12-12 17:05:00,204.5409,202.0613910842751,178,202.10181144656443,210.4826,-441.35258699903085,-0.9835868573773888,stop_loss,0.17910000000000537,10.973600000000005,False
BA,long,MODEL4,2026-01-12 17:05:00,2026-01-16 18:10:00,239.69793,239.69792041208282,195,239.74586958600003,252.32000590838686,461.4638689041149,1.0264358394213853,breakeven_stop,8.465269999999975,35.447930000000014,True
BA,long,MODEL4,2026-01-16 18:15:00,2026-01-20 16:35:00,247.639518,245.38075134543885,193,245.42983731290144,252.27339390838685,-435.9419643303033,-0.9783598097093268,stop_loss,1.4931819999999902,40.929518,False
BA,long,MODEL4,2026-01-29 17:00:00,2026-01-29 17:10:00,234.27684599999998,232.02075187983885,195,232.06716531290144,239.856846,-439.93835343141893,-0.9794742000709523,stop_loss,0.20785400000002596,8.189145999999965,False
BABA,long,LP1,2025-12-18 18:00:00,2025-12-18 18:10:00,147.909576,147.48007408479998,653,147.50957599999998,149.00957599999998,-280.4647506256043,-0.9354486980006127,stop_loss,0.09042400000001294,0.5895759999999939,False
