entry,exit,stop,N,mean_gross,mean_net_3bps,mean_net_5bps,median,wr,pf,pct25,pct5,best,worst,stops_hit
C1,X0_D0_close,A_no_stop,17,0.009372,0.008772,0.008372,0.003487,0.7059,3.71,-0.003885,-0.030043,0.064789,-0.030043,0
C1,X0_D0_close,B_with_stop,17,-0.011142,-0.011742,-0.012142,-0.007621,0.2941,0.13,-0.015981,-0.076868,0.010759,-0.076868,11
C1,X1_D1_open,A_no_stop,17,0.023109,0.022509,0.022109,0.011656,0.6471,4.04,-0.009789,-0.041504,0.138822,-0.041504,0
C1,X1_D1_open,B_with_stop,17,0.010194,0.009594,0.009194,-0.007461,0.4118,1.78,-0.016252,-0.076868,0.138822,-0.076868,12
C1,X2_D1_close,A_no_stop,17,0.021691,0.021091,0.020691,0.007436,0.6471,5.01,-0.011013,-0.029266,0.106944,-0.029266,0
C1,X2_D1_close,B_with_stop,17,0.007446,0.006846,0.006446,-0.007698,0.4118,1.57,-0.015981,-0.076868,0.106944,-0.076868,12
C1,X3_D2_close,A_no_stop,17,0.000117,-0.000483,-0.000883,-0.005173,0.4706,1.01,-0.021299,-0.090578,0.071016,-0.090578,0
C1,X3_D2_close,B_with_stop,17,-0.008752,-0.009352,-0.009752,-0.008954,0.2941,0.49,-0.024683,-0.076868,0.071016,-0.076868,14
C1,X4_D3_close,A_no_stop,17,0.015301,0.014701,0.014301,-0.007698,0.4706,1.84,-0.025546,-0.101674,0.220445,-0.101674,0
C1,X4_D3_close,B_with_stop,17,-0.010087,-0.010687,-0.011087,-0.011674,0.2353,0.47,-0.025546,-0.076868,0.062762,-0.076868,14
C1,X5_D5_close,A_no_stop,17,-0.004007,-0.004607,-0.005007,-0.00657,0.4706,0.89,-0.049331,-0.209981,0.169525,-0.209981,0
C1,X5_D5_close,B_with_stop,17,-0.010895,-0.011495,-0.011895,-0.01883,0.2353,0.53,-0.032404,-0.076868,0.169525,-0.076868,15
C2,X0_D0_close,A_no_stop,17,-0.011428,-0.012028,-0.012428,-0.015902,0.2353,0.17,-0.024411,-0.032218,0.031162,-0.032218,0
C2,X0_D0_close,B_with_stop,17,-0.016105,-0.016705,-0.017105,-0.015908,0.1765,0.03,-0.026625,-0.048348,0.004229,-0.048348,5
C2,X1_D1_open,A_no_stop,17,0.002756,0.002156,0.001756,-0.006873,0.3529,1.13,-0.040753,-0.080003,0.142835,-0.080003,0
