ticker_removed,N,mean,median,wr,pf,impact
AMD,13,0.016982,0.003988,0.5385,2.71,-8%
AMZN,13,0.021089,0.006108,0.6154,3.42,+14%
AVGO,13,0.022841,0.006108,0.6154,4.29,+24%
BABA,13,0.018943,0.003988,0.5385,2.9,+3%
BIDU,13,0.020413,0.006108,0.6154,3.18,+11%
COIN,12,0.006782,0.003988,0.5,1.63,-63%
COST,13,0.02102,0.006108,0.6154,3.4,+14%
GOOGL,13,0.019532,0.006108,0.5385,2.96,+6%
MARA,13,0.009161,0.003988,0.5385,1.92,-50%
META,13,0.018836,0.003988,0.5385,2.89,+2%
MU,13,0.019369,0.003988,0.5385,2.95,+5%
NVDA,13,0.020592,0.006108,0.6154,3.24,+12%
PLTR,13,0.023032,0.006108,0.6154,4.41,+25%
