entry,exit,stop,N,mean_gross,mean_net_3bps,mean_net_5bps,median,wr,pf,pct25,pct5,best,worst,stops_hit
C3,X5_D5_close,B_with_stop,11,-0.036037,-0.036637,-0.037037,-0.048348,0.1818,0.27,-0.080003,-0.08945,0.145826,-0.08945,9
E1,X0_D0_close,A_no_stop,11,-0.021566,-0.022166,-0.022566,-0.020454,0.0,0.0,-0.029016,-0.033819,-0.013413,-0.033819,0
E1,X0_D0_close,B_with_stop,11,-0.028442,-0.029042,-0.029442,-0.020562,0.0,0.0,-0.03126,-0.094663,-0.013413,-0.094663,1
E1,X1_D1_open,A_no_stop,11,-0.003329,-0.003929,-0.004329,-0.034177,0.3636,0.89,-0.051024,-0.085522,0.145526,-0.085522,0
E1,X1_D1_open,B_with_stop,11,-0.016579,-0.017179,-0.017579,-0.044237,0.2727,0.58,-0.05644,-0.094663,0.145526,-0.094663,4
E1,X2_D1_close,A_no_stop,11,-0.005027,-0.005627,-0.006027,-0.020818,0.3636,0.82,-0.047872,-0.07624,0.094976,-0.07624,0
E1,X2_D1_close,B_with_stop,11,-0.022069,-0.022669,-0.023069,-0.044237,0.2727,0.44,-0.05704,-0.094663,0.094976,-0.094663,5
E1,X3_D2_close,A_no_stop,11,-0.03456,-0.03516,-0.03556,-0.023872,0.3636,0.18,-0.07801,-0.134585,0.045503,-0.134585,0
E1,X3_D2_close,B_with_stop,11,-0.044203,-0.044803,-0.045203,-0.048157,0.1818,0.09,-0.085522,-0.094663,0.045503,-0.094663,8
E1,X4_D3_close,A_no_stop,11,-0.011726,-0.012326,-0.012726,-0.047565,0.3636,0.73,-0.07422,-0.116355,0.22763,-0.116355,0
E1,X4_D3_close,B_with_stop,11,-0.042924,-0.043524,-0.043924,-0.048157,0.1818,0.11,-0.085522,-0.094663,0.037446,-0.094663,8
E1,X5_D5_close,A_no_stop,11,-0.023102,-0.023702,-0.024102,-0.02432,0.3636,0.56,-0.097359,-0.147536,0.141623,-0.147536,0
E1,X5_D5_close,B_with_stop,11,-0.042296,-0.042896,-0.043296,-0.05704,0.1818,0.24,-0.086437,-0.094663,0.141623,-0.094663,9
E2,X0_D0_close,A_no_stop,6,-0.023948,-0.024548,-0.024948,-0.020877,0.0,0.0,-0.030284,-0.034178,-0.016441,-0.034178,0
E2,X0_D0_close,B_with_stop,6,-0.036474,-0.037074,-0.037474,-0.020877,0.0,0.0,-0.034178,-0.100442,-0.016441,-0.100442,1
E2,X1_D1_open,A_no_stop,6,-0.019956,-0.020556,-0.020956,-0.034537,0.3333,0.36,-0.052264,-0.056833,0.044374,-0.056833,0
E2,X1_D1_open,B_with_stop,6,-0.044092,-0.044692,-0.045092,-0.044545,0.1667,0.08,-0.056833,-0.100442,0.024068,-0.100442,2
E2,X2_D1_close,A_no_stop,6,-0.021317,-0.021917,-0.022317,-0.041685,0.3333,0.34,-0.049116,-0.05612,0.049305,-0.05612,0
E2,X2_D1_close,B_with_stop,6,-0.046297,-0.046897,-0.047297,-0.044545,0.1667,0.05,-0.057432,-0.100442,0.015437,-0.100442,3
E2,X3_D2_close,A_no_stop,6,-0.045561,-0.046161,-0.046561,-0.064295,0.3333,0.08,-0.078394,-0.086395,0.021618,-0.086395,0
E2,X3_D2_close,B_with_stop,6,-0.05926,-0.05986,-0.06026,-0.057432,0.1667,0.0,-0.08763,-0.100442,0.00137,-0.100442,5
E2,X4_D3_close,A_no_stop,6,-0.033878,-0.034478,-0.034878,-0.047872,0.1667,0.2,-0.062029,-0.074606,0.051138,-0.074606,0
E2,X4_D3_close,B_with_stop,6,-0.061133,-0.061733,-0.062133,-0.057432,0.0,0.0,-0.08763,-0.100442,-0.009865,-0.100442,5
E2,X5_D5_close,A_no_stop,6,-0.044681,-0.045281,-0.045681,-0.024634,0.3333,0.16,-0.093984,-0.120194,0.047661,-0.120194,0
E2,X5_D5_close,B_with_stop,6,-0.059001,-0.059601,-0.060001,-0.057432,0.1667,0.01,-0.08763,-0.100442,0.002923,-0.100442,5
E3,X0_D0_close,A_no_stop,11,-0.014913,-0.015513,-0.015913,-0.016848,0.0909,0.16,-0.026625,-0.032218,0.031162,-0.032218,0
E3,X0_D0_close,B_with_stop,11,-0.022141,-0.022741,-0.023141,-0.018718,0.0,0.0,-0.03047,-0.048348,-0.00574,-0.048348,1
E3,X1_D1_open,A_no_stop,11,0.003619,0.003019,0.002619,-0.03083,0.3636,1.12,-0.054155,-0.080003,0.142835,-0.080003,0
E3,X1_D1_open,B_with_stop,11,-0.010309,-0.010909,-0.011309,-0.040753,0.2727,0.69,-0.054155,-0.080003,0.142835,-0.080003,4
E3,X2_D1_close,A_no_stop,11,0.001978,0.001378,0.000978,-0.013202,0.3636,1.08,-0.051013,-0.070664,0.110071,-0.070664,0
E3,X2_D1_close,B_with_stop,11,-0.015789,-0.016389,-0.016789,-0.040753,0.2727,0.53,-0.051013,-0.080003,0.092404,-0.080003,5
E3,X3_D2_close,A_no_stop,11,-0.02772,-0.02832,-0.02872,-0.016281,0.3636,0.31,-0.077726,-0.129361,0.080781,-0.129361,0
E3,X3_D2_close,B_with_stop,11,-0.03791,-0.03851,-0.03891,-0.043853,0.1818,0.12,-0.063299,-0.08945,0.052896,-0.08945,8
E3,X4_D3_close,A_no_stop,11,-0.004839,-0.005439,-0.005839,-0.045772,0.3636,0.88,-0.073935,-0.111022,0.224745,-0.111022,0
E3,X4_D3_close,B_with_stop,11,-0.036623,-0.037223,-0.037623,-0.043853,0.1818,0.15,-0.063299,-0.08945,0.044781,-0.08945,8
E3,X5_D5_close,A_no_stop,11,-0.01621,-0.01681,-0.01721,-0.022483,0.3636,0.68,-0.090976,-0.142391,0.145826,-0.142391,0
E3,X5_D5_close,B_with_stop,11,-0.036037,-0.036637,-0.037037,-0.048348,0.1818,0.27,-0.080003,-0.08945,0.145826,-0.08945,9
