event_id,ticker,d0_date,gap_pct,entry,exit,stop,entry_price,exit_price,return_gross,exit_reason,eps_surprise_pct,revenue_surprise_pct,release_timing
30,AMD,2025-02-05,0.065061,C1,X5_D5_close,B_with_stop,108.1,109.8,0.015726,held,-12.381,3.6603,AMC
30,AMD,2025-02-05,0.065061,C2,X0_D0_close,A_no_stop,109.42,107.68,-0.015902,held,-12.381,3.6603,AMC
30,AMD,2025-02-05,0.065061,C2,X0_D0_close,B_with_stop,109.42,107.68,-0.015902,held,-12.381,3.6603,AMC
30,AMD,2025-02-05,0.065061,C2,X1_D1_open,A_no_stop,109.42,112.115,0.02463,held,-12.381,3.6603,AMC
30,AMD,2025-02-05,0.065061,C2,X1_D1_open,B_with_stop,109.42,112.115,0.02463,held,-12.381,3.6603,AMC
30,AMD,2025-02-05,0.065061,C2,X2_D1_close,A_no_stop,109.42,111.17,0.015993,held,-12.381,3.6603,AMC
30,AMD,2025-02-05,0.065061,C2,X2_D1_close,B_with_stop,109.42,111.17,0.015993,held,-12.381,3.6603,AMC
30,AMD,2025-02-05,0.065061,C2,X3_D2_close,A_no_stop,109.42,109.63,0.001919,held,-12.381,3.6603,AMC
30,AMD,2025-02-05,0.065061,C2,X3_D2_close,B_with_stop,109.42,109.63,0.001919,held,-12.381,3.6603,AMC
30,AMD,2025-02-05,0.065061,C2,X4_D3_close,A_no_stop,109.42,108.4,-0.009322,held,-12.381,3.6603,AMC
30,AMD,2025-02-05,0.065061,C2,X4_D3_close,B_with_stop,109.42,108.4,-0.009322,held,-12.381,3.6603,AMC
30,AMD,2025-02-05,0.065061,C2,X5_D5_close,A_no_stop,109.42,109.8,0.003473,held,-12.381,3.6603,AMC
30,AMD,2025-02-05,0.065061,C2,X5_D5_close,B_with_stop,109.42,109.8,0.003473,held,-12.381,3.6603,AMC
30,AMD,2025-02-05,0.065061,C3,X0_D0_close,A_no_stop,109.42,107.68,-0.015902,held,-12.381,3.6603,AMC
30,AMD,2025-02-05,0.065061,C3,X0_D0_close,B_with_stop,109.42,107.68,-0.015902,held,-12.381,3.6603,AMC
30,AMD,2025-02-05,0.065061,C3,X1_D1_open,A_no_stop,109.42,112.115,0.02463,held,-12.381,3.6603,AMC
30,AMD,2025-02-05,0.065061,C3,X1_D1_open,B_with_stop,109.42,112.115,0.02463,held,-12.381,3.6603,AMC
30,AMD,2025-02-05,0.065061,C3,X2_D1_close,A_no_stop,109.42,111.17,0.015993,held,-12.381,3.6603,AMC
30,AMD,2025-02-05,0.065061,C3,X2_D1_close,B_with_stop,109.42,111.17,0.015993,held,-12.381,3.6603,AMC
30,AMD,2025-02-05,0.065061,C3,X3_D2_close,A_no_stop,109.42,109.63,0.001919,held,-12.381,3.6603,AMC
30,AMD,2025-02-05,0.065061,C3,X3_D2_close,B_with_stop,109.42,109.63,0.001919,held,-12.381,3.6603,AMC
30,AMD,2025-02-05,0.065061,C3,X4_D3_close,A_no_stop,109.42,108.4,-0.009322,held,-12.381,3.6603,AMC
30,AMD,2025-02-05,0.065061,C3,X4_D3_close,B_with_stop,109.42,108.4,-0.009322,held,-12.381,3.6603,AMC
30,AMD,2025-02-05,0.065061,C3,X5_D5_close,A_no_stop,109.42,109.8,0.003473,held,-12.381,3.6603,AMC
30,AMD,2025-02-05,0.065061,C3,X5_D5_close,B_with_stop,109.42,109.8,0.003473,held,-12.381,3.6603,AMC
49,AMZN,2025-08-01,0.077689,C1,X0_D0_close,A_no_stop,218.43,216.11,-0.010621,held,-16.5354,-1.3006,AMC
49,AMZN,2025-08-01,0.077689,C1,X0_D0_close,B_with_stop,218.43,216.11,-0.010621,no_stop_data,-16.5354,-1.3006,AMC
49,AMZN,2025-08-01,0.077689,C1,X1_D1_open,A_no_stop,218.43,214.88,-0.016252,held,-16.5354,-1.3006,AMC
49,AMZN,2025-08-01,0.077689,C1,X1_D1_open,B_with_stop,218.43,214.88,-0.016252,no_stop_data,-16.5354,-1.3006,AMC
49,AMZN,2025-08-01,0.077689,C1,X2_D1_close,A_no_stop,218.43,215.09,-0.015291,held,-16.5354,-1.3006,AMC
49,AMZN,2025-08-01,0.077689,C1,X2_D1_close,B_with_stop,218.43,215.09,-0.015291,no_stop_data,-16.5354,-1.3006,AMC
49,AMZN,2025-08-01,0.077689,C1,X3_D2_close,A_no_stop,218.43,217.3,-0.005173,held,-16.5354,-1.3006,AMC
49,AMZN,2025-08-01,0.077689,C1,X3_D2_close,B_with_stop,218.43,217.3,-0.005173,no_stop_data,-16.5354,-1.3006,AMC
49,AMZN,2025-08-01,0.077689,C1,X4_D3_close,A_no_stop,218.43,212.85,-0.025546,held,-16.5354,-1.3006,AMC
49,AMZN,2025-08-01,0.077689,C1,X4_D3_close,B_with_stop,218.43,212.85,-0.025546,no_stop_data,-16.5354,-1.3006,AMC
49,AMZN,2025-08-01,0.077689,C1,X5_D5_close,A_no_stop,218.43,221.25,0.01291,held,-16.5354,-1.3006,AMC
49,AMZN,2025-08-01,0.077689,C1,X5_D5_close,B_with_stop,218.43,221.25,0.01291,no_stop_data,-16.5354,-1.3006,AMC
49,AMZN,2025-08-01,0.077689,C2,X0_D0_close,A_no_stop,215.2,216.11,0.004229,held,-16.5354,-1.3006,AMC
49,AMZN,2025-08-01,0.077689,C2,X0_D0_close,B_with_stop,215.2,216.11,0.004229,no_stop_data,-16.5354,-1.3006,AMC
49,AMZN,2025-08-01,0.077689,C2,X1_D1_open,A_no_stop,215.2,214.88,-0.001487,held,-16.5354,-1.3006,AMC
49,AMZN,2025-08-01,0.077689,C2,X1_D1_open,B_with_stop,215.2,214.88,-0.001487,no_stop_data,-16.5354,-1.3006,AMC
49,AMZN,2025-08-01,0.077689,C2,X2_D1_close,A_no_stop,215.2,215.09,-0.000511,held,-16.5354,-1.3006,AMC
49,AMZN,2025-08-01,0.077689,C2,X2_D1_close,B_with_stop,215.2,215.09,-0.000511,no_stop_data,-16.5354,-1.3006,AMC
49,AMZN,2025-08-01,0.077689,C2,X3_D2_close,A_no_stop,215.2,217.3,0.009758,held,-16.5354,-1.3006,AMC
49,AMZN,2025-08-01,0.077689,C2,X3_D2_close,B_with_stop,215.2,217.3,0.009758,no_stop_data,-16.5354,-1.3006,AMC
49,AMZN,2025-08-01,0.077689,C2,X4_D3_close,A_no_stop,215.2,212.85,-0.01092,held,-16.5354,-1.3006,AMC
