spec,ticker,earnings_date,abnormal_gap_pct,entry,exit,direction,return_pct,hold_days,eps_surprise_pct,revenue_surprise_pct
A,AMD,2024-10-29,-7.881413380909341,148.60000610351562,139.3000030517578,-1,6.258413640494319,10,,
A,AMZN,2025-02-06,-2.744420050212685,229.1499938964844,212.7100067138672,-1,7.174334549641652,10,,
A,AMZN,2025-07-31,-6.304364251672911,214.75,230.97999572753903,-1,-7.55762315601352,9,,
A,AVGO,2024-12-12,18.0566518548381,221.72637939453125,232.9815673828125,1,5.076160995825494,10,,
A,AVGO,2025-03-06,4.930126788888607,192.80958557128903,190.1195526123047,1,-1.3951759457466077,10,,
A,AVGO,2025-12-11,-6.353903189201804,358.4906005859375,348.6586303710937,-1,2.7426019535167376,10,,
A,BABA,2025-05-15,-5.480698827029705,121.84066772460938,111.94786834716795,-1,8.119455976555907,10,,
A,BIDU,2026-02-26,-2.6195756473334,125.1500015258789,123.16000366210938,-1,1.5900901634092537,10,,
A,COIN,2024-10-30,-3.0156982789178497,179.25,254.30999755859372,-1,-41.87447562543583,4,,
A,COIN,2025-02-13,-3.419080158576186,274.3099975585937,205.75,-1,24.993619688961214,10,,
A,COIN,2026-02-12,8.875916424372551,164.32000732421875,185.2400054931641,1,12.731254403895095,10,,
A,COST,2025-03-06,-2.7493517079528456,959.0540161132812,904.3040161132812,-1,5.7087504019724635,10,,
A,GS,2025-01-15,3.2332588687102106,590.6929321289062,629.4732666015625,1,6.565227441081564,10,,
A,MARA,2024-11-12,-3.685558680380244,21.700000762939453,26.030000686645508,-1,-19.953915997556486,7,,
A,META,2026-01-28,10.133716440351149,737.6784057617188,691.1082763671875,1,-6.313066646765055,3,,
A,MSFT,2024-10-30,-3.2024189735355697,401.65185546875,420.51123046875,-1,-4.695453224780964,5,,
A,MSFT,2025-01-29,-5.683603114097252,411.0130004882813,406.6056518554688,-1,1.072313680486163,10,,
A,MU,2024-12-18,-14.167719152444889,86.6564712524414,98.89421081542967,-1,-14.122130045358256,10,,
A,PLTR,2024-11-04,15.412712780683787,51.130001068115234,62.97999954223633,1,23.17621401637477,10,,
A,PLTR,2025-02-03,22.75089208599798,103.83000183105467,112.05999755859376,1,7.926413928924317,10,,
A,PLTR,2025-05-05,-7.945696208929936,108.86000061035156,119.1500015258789,-1,-9.452508596209636,2,,
A,PLTR,2025-08-04,6.841888301880098,173.27000427246094,157.75,1,-8.957121192226833,10,,
A,TSLA,2024-10-23,14.179452736807123,260.4800109863281,296.9100036621094,1,13.985715271523603,10,,
A,TSLA,2025-01-29,5.214563678692125,400.2799987792969,383.6799926757813,1,-4.147098569536157,2,,
B,AMZN,2025-07-31,-6.304364251672911,214.75,230.97999572753903,-1,-7.55762315601352,9,-16.5354,-1.3006
B,AVGO,2025-12-11,-6.353903189201804,358.4906005859375,348.6586303710937,-1,2.7426019535167376,10,15.5354,8.6894
B,COST,2025-03-06,-2.7493517079528456,959.0540161132812,904.3040161132812,-1,5.7087504019724635,10,17.0279,4.0724
B,MU,2024-12-18,-14.167719152444889,86.6564712524414,98.89421081542967,-1,-14.122130045358256,10,11.1111,7.8017
B,PLTR,2024-11-04,15.412712780683787,51.130001068115234,62.97999954223633,1,23.17621401637477,10,-23.0769,-0.3206
B,PLTR,2025-02-03,22.75089208599798,103.83000183105467,112.05999755859376,1,7.926413928924317,10,-16.6667,-3.8601
B,PLTR,2025-08-04,6.841888301880098,173.27000427246094,157.75,1,-8.957121192226833,10,27.2727,0.2081
C,AAPL,2024-10-31,-2.6580364378434846,219.5478246614517,223.01174926757807,-1,-1.5777540093908142,5,,
C,AAPL,2025-01-30,3.633991055081727,228.74047863837345,226.6620941162109,1,-0.9086212176063304,5,,
C,AAPL,2025-05-01,-4.510191203671481,202.2186538992821,210.15049743652344,-1,-3.9224094238071223,5,,
C,AAPL,2025-07-31,2.5042818319306672,203.8895472057539,226.747802734375,1,11.211097303361917,5,,
C,AMD,2024-10-29,-7.881413380909341,147.8000030517578,149.82000732421875,-1,-1.366714635150282,5,,
C,AMD,2025-02-04,-9.760345860279168,110.93000030517578,111.80999755859376,-1,-0.7932905895583271,5,,
C,AMD,2025-04-29,-2.1656143322122445,99.2699966430664,101.6999969482422,-1,-2.4478698371604315,5,,
C,AMD,2025-10-28,2.153651265041704,259.9200134277344,237.6999969482422,1,-8.548790139882794,5,,
C,AMZN,2024-10-31,6.288336798855155,196.4499969482422,206.83999633789065,1,5.288877348461284,5,,
C,AMZN,2025-02-06,-2.744420050212685,230.5500030517578,226.6499938964844,-1,1.6916109753413746,5,,
