date,Open,Close,High,Low,Volume
2025-02-03,87.866,88.26,91.1004,86.86,6826485
2025-02-04,89.2614,89.56,90.8711,88.509,4254681
2025-02-05,90.8512,89.99,91.9376,89.7,3530038
2025-02-06,95.2866,94.34,96.2921,92.99,5997480
2025-02-07,95.3564,94.89,95.6155,92.6552,4777791
2025-02-10,94.0955,92.78,95.9444,91.77,5088826
2025-02-11,93.9908,94.17,95.62,88.56,4089065
2025-02-12,89.5754,90.07,94.97,87.0636,10372114
2025-02-13,93.7915,92.11,94.8082,90.95,5600350
2025-02-14,99.1404,97.33,100.3682,95.35,8755228
2025-02-18,104.0072,102.14,104.7056,98.79,8834474
2025-02-19,105.7721,105.73,107.61,94.23,5470578
2025-02-20,103.2653,103.65,104.5063,102.0045,4825213
2025-02-21,102.3633,103.74,103.86,98.4063,4123641
2025-02-24,99.3881,99.97,100.38,96.2036,5114264
2025-02-25,94.9626,95.21,95.63,92.8147,5164716
2025-02-26,96.3132,95.69,97.898,92.91,7986658
2025-02-27,98.9745,98.87,100.22,93.4825,6685720
2025-02-28,90.2836,90.94,94.1503,89.5754,7121064
2025-03-03,94.6385,95.28,95.8846,92.2964,4475828
2025-03-04,88.6782,89.41,90.93,86.5154,7669731
2025-03-05,90.8362,91.97,93.9609,90.01,3837837
2025-03-06,90.6319,91.45,94.03,89.8046,5350565
2025-03-07,91.7133,89.64,93.034,88.98,6365611
2025-03-10,89.2265,89.7,92.66,87.3427,5324444
2025-03-11,87.3078,87.5,89.6202,85.7881,6811518
2025-03-12,94.4493,92.3,95.7351,88.76,9132365
2025-03-13,95.9544,94.6,97.7983,93.59,7617084
2025-03-14,101.631,97.51,102.443,94.57,11723050
2025-03-17,102.2886,101.72,102.6723,98.49,5479955
2025-03-18,101.8251,101.77,103.41,99.9612,4489899
2025-03-19,100.5293,101.28,102.3533,100.1606,3414486
2025-03-20,103.3702,101.17,104.3468,100.46,7823525
2025-03-21,93.9809,98.82,104.64,93.7516,26837212
2025-03-24,96.2634,95.59,98.0961,94.4,12542319
2025-03-25,95.8497,96.53,97.12,93.8912,7429688
2025-03-26,95.6703,95.62,102.45,93.7,9490244
2025-03-27,89.8421,91.37,92.45,89.3162,6405448
2025-03-28,90.0139,89.55,90.98,87.3726,5197198
2025-03-31,84.7137,85.93,88.27,83.9353,7576481
2025-04-01,87.3485,87.83,88.89,86.076,5316381
2025-04-02,86.9194,87.24,88.626,86.52,3837380
2025-04-03,82.3384,81.64,88.43,77.413,13315827
2025-04-04,69.3339,70.96,75.03,63.7352,19009406
