ticker,earnings_date,time_of_day,eps_surprise_pct,prior_close,open_price,gap_pct,gap_direction,entry_day,first_4h_open,first_4h_high,first_4h_low,first_4h_close,gap_midpoint,first_bar_holds
COIN,2025-11-06,AMC,-19.2737,295.31,290.2,-1.7304,SHORT,2025-11-07,290.2,304.4,283.65,303.94,292.755,False
COIN,2026-02-12,AMC,2.027,140.92,153.7,9.069,LONG,2026-02-13,153.7,167.12,146.16,164.35,147.31,True
COST,2025-03-06,AMC,17.0279,1021.4,989.73,-3.1006,SHORT,2025-03-07,989.73,996.96,937.65,944.57,1005.565,True
COST,2025-06-05,AMC,19.3694,1006.32,1016.38,0.9997,LONG,2025-06-06,1016.38,1016.38,1004.41,1007.35,1011.35,False
COST,2025-09-25,AMC,-27.2349,940.21,922.96,-1.8347,SHORT,2025-09-26,922.96,925.03,902.51,916.82,931.585,True
COST,2025-12-11,AMC,0.6645,883.18,882.08,-0.1245,SHORT,2025-12-12,882.08,887.39,865.92,872.27,882.63,True
COST,2026-03-05,AMC,1.2195,982.26,967.0,-1.5536,SHORT,2026-03-06,967.0,1002.5,960.46,998.61,974.63,False
GOOGL,2025-02-04,AMC,26.8908,205.31,190.31,-7.306,SHORT,2025-02-05,190.31,191.99,187.29,189.8,197.81,True
GOOGL,2025-04-24,AMC,8.0851,158.6,164.62,3.7957,LONG,2025-04-25,164.62,165.64,161.04,162.36,161.61,True
GOOGL,2025-07-29,AMC,18.8841,195.43,195.29,-0.0716,SHORT,2025-07-30,195.29,197.29,194.38,196.54,195.36,False
GOOGL,2025-10-28,AMC,-6.5217,267.31,267.57,0.0973,LONG,2025-10-29,267.57,272.25,267.49,271.84,267.44,True
GOOGL,2026-02-03,AMC,28.0952,347.84,342.96,-1.4029,SHORT,2026-02-04,342.96,343.5,333.0,342.84,345.4,True
GS,2025-04-14,BMO,1.6988,484.44,499.68,3.1459,LONG,2025-04-14,499.68,501.64,487.09,497.09,492.06,True
GS,2025-07-14,BMO,-21.9208,693.87,693.93,0.0086,LONG,2025-07-14,693.93,702.27,691.36,701.39,693.9,True
GS,2025-10-15,BMO,28.2242,763.68,770.79,0.931,LONG,2025-10-15,770.79,774.62,760.48,763.01,767.235,False
GS,2026-01-14,BMO,-22.2386,933.43,927.46,-0.6396,SHORT,2026-01-14,927.46,933.28,913.13,927.08,930.445,True
JPM,2025-04-11,BMO,0.8658,223.72,223.16,-0.2503,SHORT,2025-04-11,223.16,232.7,221.86,231.53,223.44,False
JPM,2025-07-15,BMO,-0.6231,285.9,285.33,-0.1994,SHORT,2025-07-15,285.33,289.24,282.83,283.77,285.615,True
JPM,2025-10-14,BMO,9.8837,306.57,304.48,-0.6817,SHORT,2025-10-14,304.48,305.63,292.9,304.44,305.525,True
JPM,2026-01-14,BMO,13.1105,310.77,308.2,-0.827,SHORT,2026-01-14,308.2,311.76,306.12,309.55,309.485,False
MARA,2025-02-25,AMC,-14.2857,12.42,12.26,-1.2882,SHORT,2025-02-26,12.26,12.87,12.21,12.39,12.34,False
MARA,2025-05-06,AMC,12.5,13.14,13.32,1.3699,LONG,2025-05-07,13.32,13.59,13.22,13.25,13.23,True
MARA,2025-08-07,AMC,-16.0,15.96,16.04,0.5013,LONG,2025-08-08,16.04,16.18,15.29,15.49,16.0,False
