,AAPL,AMD,AMZN,AVGO,BA,BABA,BIDU,C,COIN,COST,GOOGL,GS,IBIT,JPM,MARA,META,MSFT,MU,NVDA,PLTR,SNOW,TSLA,TSM,TXN,V,SPY
2025-02-04,-0.01158419304074132,0.018529956763434274,0.017406143344709912,0.00987074030552293,0.017282238020923657,0.043855014266088954,0.0351018529174818,0.010936076031766717,0.036493411420205124,0.03551475627738876,0.012718441740523723,0.016697223677317963,0.04604530263646489,0.014653296019900619,0.03870967741935494,0.03696772564570994,0.003715276923455413,0.01472920915476994,0.009001990824893946,0.2861232109520848,0.047762039660056654,-0.008960205391527643,0.017322357456694082,-0.010909710779021586,0.02719740634005774,0.006876876587116332
2025-02-05,0.002697801954800738,-0.0671402581651217,0.0008386447500838834,0.06981615080288583,-0.00460227272727276,-0.002024701356549974,0.011452079163887019,-0.009916291049581583,-0.003001730409294856,0.019294410236867954,-0.057651421508034595,0.0008372512397758491,-0.004259850905218299,0.010840835089063416,0.0005646527385656519,0.004425792775502035,-0.0037260381428640965,0.004801250558284842,0.033198936261473744,-0.009773562995935792,0.008111177202184683,0.0008549001321209726,0.002928911834789494,0.0022404779686333587,0.003273131100590243,0.004004904541172749
2025-02-06,0.014775935074100133,0.03241084695393748,-0.002890899949723469,0.012051337829019015,0.03636052286089386,0.005984986812741067,-0.02000659558096063,0.013007284079084247,-0.00821762538962878,0.022726825524881367,-0.006506112597722935,0.018645431145431157,0.00017825311942964994,0.008867667121418954,-0.025959367945823764,0.005818015885465044,0.007037055263028336,0.04833870430047793,0.0550481567585519,-0.014853904035962096,0.016574585635359185,-0.03346792980276425,0.013215859030836885,0.011120027513470188,0.010573842120594312,0.0035917276228285555
2025-02-07,0.005128873821011126,-0.013852658091211723,-0.021891676120845416,-0.008296793053047868,0.021700815157523756,0.034486235756781225,0.008300616937745309,0.03415511042629693,-0.018678571428571544,0.00494458981068191,0.006971217322418788,0.01633001152892488,0.002851541614685482,0.02287581699346397,-0.004634994206257348,0.010533777557240942,0.008209538702111052,0.0058299766800933295,0.01455890454080433,0.1005852593988692,-0.011291684254959966,-0.004525856297367459,0.024523693209575148,-0.011113378684807218,-0.007119591848499751,-0.009169684378716347
2025-02-10,-0.013059459459459521,-0.01121955669068675,-0.011083426411203745,-0.01699250075859371,-0.014070080862533807,0.03606589336192623,0.02458560462787851,-0.007077228706233063,0.020125923499654474,-0.0024122681063695195,-0.022604499921329957,0.003045701055117922,-0.006575439843611197,-0.0018728654841907444,-0.004074505238649606,0.00695866887398644,-0.00843350135711507,-0.02223627357993463,0.012100527458889232,0.010184767913474557,-0.004803073967339144,-0.03653287420639206,-0.016879649055884016,0.00401514335047759,0.004006270684549618,0.0066746701186255475
2025-02-11,-0.01362660474083155,0.007195571955719515,0.004821894005212934,0.01486087224941568,-0.015801848105418514,-0.0016934801016088574,-0.007491856677524389,-0.01813179942478438,-0.007349268640742035,0.011841019440766098,-0.009980682549903475,-0.024740894514244993,-0.01538461538461533,-0.023362766740250285,-0.02805376972530682,-0.009084069440187248,-0.006525564571316922,0.014981677085578848,0.010959534028203599,0.029621698786581163,-0.009062634062634078,-0.0320824258669794,-0.018721505480647993,-0.008850062806897263,0.005146888734675059,0.0006943901937583874
2025-02-12,0.02198827292110872,0.005678695731818895,-0.006744196100471278,-0.003215434083601254,-0.005555555555555536,0.07200075393459615,-0.005688655508150009,-0.0030565461029036234,-0.04798016101207603,-0.010905849328578965,-0.010298102981029844,-0.006369932647096177,-0.019440406976744207,0.008664531926916519,-0.042092603728202005,-0.0010967070667303735,-0.006396221309257322,-0.04353828183073172,-0.008111591236449,-0.04367417677642982,-0.02148384652849178,-0.042953988172508284,0.0030150257018584092,-0.0144017512529524,-0.003998619181865171,-0.003056807540147477
2025-02-13,0.026296344590776677,0.02741347905282332,-0.003046789989118559,0.01630340017436782,0.03798882681564253,0.008000000000000007,0.0717350643635164,0.013157894736842035,0.07127486881346967,0.017900630884580826,0.004874041621029557,0.01362088535754813,0.012414304243097973,0.008627450980392082,0.01883239171374762,0.018214064523393914,0.0022530887122731436,0.022649050738314802,0.00466218281870967,0.06107285248278349,0.034730671385908574,0.04696165903062455,-0.008525107179815805,0.01940499152492836,0.008924703231955489,0.010491346751686725
2025-02-14,0.015542944265627634,-0.004875454303696403,0.0019646365422396617,-0.0005147121901002416,0.003175457481162436,0.0834641548927264,0.02299558566882265,0.009960912873534067,0.031504387355957286,0.006923185607309312,0.008011335767616812,-0.0026654890147153054,0.007686676427525629,0.00233281493001547,0.044978434996919336,-0.0010091514833144855,0.0012845849802372022,0.056671371186624686,0.03529859262076851,-0.000341588385994851,0.029021913415286038,0.04188979098289858,-0.024353876739562463,0.017174473940714252,0.011536699874041156,1.6261943401874035e-05
2025-02-15,,,-0.003965141612200407,,,,,,,,0.00021626297577848064,,,,,0.01911021933162682,0.0047369979275635465,,0.017488426776397947,,,-0.022023266738511627,,,,
