Price,Close,High,Low,Open,Volume
Ticker,COST,COST,COST,COST,COST
Date,,,,,
2022-01-03,539.5614624023438,540.285005365172,528.8979930246282,537.9619507123714,2714100
2022-01-04,537.2002563476562,541.475151316727,534.8771434639286,537.2002563476562,2097500
2022-01-05,523.5757446289062,537.9809377823468,523.4329653333397,536.6861033241397,2887500
2022-01-06,523.46142578125,527.0032467359741,517.5108365055646,520.0339096029445,2503100
2022-01-07,510.493896484375,522.0999279094051,508.64683128419784,521.3192036380701,2323900
2022-01-10,493.946533203125,505.0003345714316,484.1399730988837,503.9339935568671,4916800
2022-01-11,497.02191162109375,497.4407774074742,485.8443026155997,493.9466069206165,2457300
2022-01-12,500.6112976074219,504.63869702805016,497.00288022016395,497.0219407065641,1729500
2022-01-13,492.11859130859375,503.7055646668563,490.54761219815725,502.3631370412665,2428100
2022-01-14,478.8939208984375,488.40533401989484,477.81804964956376,487.06290657470566,3872500
2022-01-18,464.6887512207031,471.3629136440746,463.53669600119497,470.77261972630595,3801900
2022-01-19,466.67864990234375,472.46737175596377,463.76524301749026,466.42159484389856,2709400
2022-01-20,459.6902160644531,475.9329438818669,458.7571531109368,467.24031753336664,2893700
2022-01-21,458.5382080078125,470.91543623274265,458.26212152899336,458.8333840274214,3295600
2022-01-24,465.4789123535156,466.497660260461,446.5417712294734,452.76844723067705,4412600
2022-01-25,454.4537658691406,459.5189157179724,449.74088634583256,456.9101569603725,3076800
2022-01-26,460.30908203125,470.2108580081135,455.8342267163561,460.08058867240106,3074900
2022-01-27,459.40460205078125,472.03891395653585,457.3004814587388,463.59384086156723,2372300
2022-01-28,468.8398742675781,469.1255200427886,453.1017537944181,460.56617097449634,1918500
2022-01-31,480.9314270019531,482.15963685754843,467.12605883114696,468.4304234508008,2480700
2022-02-01,484.0543518066406,485.26350132058894,473.1338270999734,480.8077061851323,2347200
2022-02-02,497.0123291015625,498.88792714529495,485.8918446103651,486.624946826275,2547600
2022-02-03,497.52728271484375,501.98028656834634,490.3185415034627,491.9109328413489,2665100
2022-02-04,495.6202392578125,497.7466094060155,487.0669770279393,494.0373343067827,2387400
2022-02-07,491.92047119140625,497.74657130532574,490.33756636154203,497.0790834204183,1863600
2022-02-08,496.93603515625,499.07194960259494,486.78083865099836,491.9204191620808,1462000
2022-02-09,504.2592468261719,509.4178590362418,501.2555804547727,503.467794414146,2256700
2022-02-10,494.39007568359375,500.10175566521866,490.83339963878973,496.66904414416507,2558900
2022-02-11,485.9894714355469,497.1267533750447,483.8058624081202,494.3138643036662,2349700
2022-02-14,483.02398681640625,487.7630696805812,478.1418791373482,485.3410761164842,1749600
2022-02-15,490.04193115234375,492.02530526783346,487.0287785339791,489.4889213561237,1984600
2022-02-16,488.59259033203125,490.64266083626285,478.3992440297206,487.7248387005737,1770800
2022-02-17,491.0813903808594,494.13272222697196,483.4721501406474,485.96089831569157,2022800
2022-02-18,488.8499450683594,493.8369846593585,486.61867130673863,490.9668281110301,2154700
2022-02-22,478.847412109375,490.67129933580304,475.014202176721,486.30408167903687,2451800
2022-02-23,472.2489929199219,484.36844643187,471.7912844427298,479.5721539570637,2021400
2022-02-24,482.08941650390625,483.0143489278878,460.539494963114,460.8159998519821,2859800
2022-02-25,493.4460754394531,494.1707731982899,481.7747866057616,484.95005344446196,2003000
2022-02-28,495.1242980957031,495.4866469659496,487.5436640776798,490.4042762958543,2408900
2022-03-01,498.6333312988281,504.7645701129302,495.06711055090534,495.32458428595345,2316000
2022-03-02,503.46783447265625,508.3213662876762,495.62023893410736,499.65368421149975,2571500
2022-03-03,508.2831726074219,513.9186120443637,504.9362465396779,509.65626898907806,3851800
2022-03-04,501.0838928222656,505.2985117429678,488.00135881428054,495.3626685464643,4417900
2022-03-07,503.963623046875,519.9544062333526,499.1005472157689,499.1291812744449,3896900
2022-03-08,499.04339599609375,514.6528009647083,498.1375236877319,501.77049940921404,3649700
2022-03-09,503.134033203125,506.1948510145187,491.7487943007466,503.1053991454127,2789700
2022-03-10,507.9683837890625,509.5417436796586,494.06585127645565,498.80490392021755,1777700
2022-03-11,502.9147644042969,517.4371810418733,501.9707715302763,511.68732161019994,1735100
2022-03-14,501.5130920410156,510.4381896475786,499.2150339265045,503.2485373866219,1950000
2022-03-15,517.1224365234375,518.5813185573259,503.39147397286143,505.37484816334626,2547900
2022-03-16,518.1427612304688,525.9903563095021,506.5763465848373,519.2298079590818,3017200
2022-03-17,527.1060180664062,527.4683670028683,517.9616252628742,518.1046209803312,1974200
2022-03-18,535.2682495117188,536.4125061455235,523.9783981630977,527.268114160545,3597800
2022-03-21,529.7185668945312,540.4172267113202,525.2464749445461,534.114359570087,3136900
2022-03-22,533.4278564453125,534.3146392108675,526.6673091189092,531.0821917749095,1777500
2022-03-23,528.27880859375,534.6388867513937,526.2668004497185,531.0726661898342,1546800
2022-03-24,532.1787719726562,532.3218258698041,523.7018100787668,529.699597883679,1614200
2022-03-25,529.8904418945312,534.3911117811924,524.665015864248,533.8094677677531,1974900
2022-03-28,538.9489135742188,538.9965788060179,527.7829692796241,530.8724212513231,2056100
2022-03-29,543.4971923828125,544.6795693680721,538.3004604588219,541.6092070804981,2005400
2022-03-30,549.6856689453125,551.3829934279764,542.171847887353,544.422182150372,2086500
2022-03-31,549.0943603515625,559.077924863035,548.7701903028342,551.8119762268531,3439800
2022-04-01,548.8275146484375,555.9027456846179,545.7189734898817,550.5534149715292,1933500
2022-04-04,548.4078369140625,552.7559640787222,544.9178582823217,547.2731253544613,2201800
2022-04-05,548.5891723632812,556.8467810672479,545.5187515126263,545.9860337502423,1826800
2022-04-06,557.6193237304688,559.5359439331273,543.8693255761052,547.3593063568845,2646200
2022-04-07,579.7984619140625,583.8224204046547,561.423833969843,564.7707016882516,4804200
2022-04-08,572.1605834960938,579.7507624563183,569.9579143417074,578.206036462297,3230200
2022-04-11,557.5047607421875,573.0760446060765,555.721650251022,570.9687057531941,2792700
2022-04-12,554.3484497070312,564.2366271900516,551.8692759220157,559.4308199855432,2142000
2022-04-13,563.6265258789062,565.9149810380732,555.4069788026796,555.4069788026796,2211800
2022-04-14,562.958984375,568.575333876461,559.7741437108848,564.284415387272,2206200
2022-04-18,555.0732421875,564.5990724550202,552.670309075221,558.1817837345122,2161900
2022-04-19,566.687255859375,567.1926586087283,554.958757672144,556.2460098612498,2327800
2022-04-20,575.4887084960938,577.1573996812556,569.5481283013733,571.3122081881422,1793300
2022-04-21,564.2461547851562,580.8758476898214,563.6836003675747,579.0641617323524,2027900
2022-04-22,545.1373291015625,564.3987957225781,544.5175065278934,562.9207662314137,2878200
2022-04-25,541.8095703125,543.8310651807535,527.8116466288546,543.8119758067457,3154500
2022-04-26,528.0309448242188,541.9335381204769,527.6018413016265,538.9870815847008,2057400
2022-04-27,528.3361206054688,537.4328482010624,527.1632298021316,530.3480709389855,2261600
2022-04-28,536.7598266601562,539.4340632480645,521.2873787168493,530.5230697322623,2118700
2022-04-29,507.8398132324219,536.358810478454,505.9105734033498,535.7379794109327,2968000
2022-05-02,505.1942138671875,514.9838737076941,494.9938728530411,508.3268747032738,3303400
2022-05-03,504.36334228515625,510.2753446693892,500.1800484084164,506.1970965768511,2398000
2022-05-04,519.9790649414062,521.6122880156915,499.330046708923,507.72525751105013,2465200
2022-05-05,494.08648681640625,517.9828244319076,489.1677567581502,517.2473874884513,3977000
2022-05-06,480.7535095214844,493.246088001181,476.41742712853943,491.29772773311714,3560800
2022-05-09,476.4268798828125,484.27771010479466,472.1385409784759,473.8195064051173,3292700
2022-05-10,478.9388122558594,487.69698920773453,473.3706574838577,486.80876363613334,2729400
2022-05-11,467.1148376464844,485.1851313473279,465.90188531103547,481.28838169976876,2782900
2022-05-12,464.3450927734375,474.9274936147362,458.213438643424,464.92771213173404,2829500
2022-05-13,474.93701171875,476.3887653935654,467.61149671932515,470.96383869067296,2338600
2022-05-16,472.3200988769531,475.32862299545314,467.6306090160788,473.8578071178749,1579700
