Price,Close,High,Low,Open,Volume
Ticker,C,C,C,C,C
Date,,,,,
2022-01-03,54.110965728759766,54.54831452087549,52.40445687280629,52.46448462525086,30508500
2022-01-04,54.531166076660156,55.50876796241153,54.488289575743146,54.93420911080083,30303600
2022-01-05,53.89658737182617,55.23435917701615,53.83655961113103,54.96851634319318,25149100
2022-01-06,55.66312789916992,56.006139918315654,54.46256293328774,55.07142104383422,33334200
2022-01-07,56.4091796875,57.06949148700496,55.89465517599188,55.89465517599188,26548200
2022-01-10,56.623573303222656,57.43824322348133,55.92896544342598,56.992317120436894,28693700
2022-01-11,57.54971694946289,57.6954977036836,56.743624356067954,56.92370761878787,23453000
2022-01-12,57.69550323486328,58.87033972908626,57.38678717130885,58.124274818407194,27976200
2022-01-13,58.12427520751953,58.69025684200332,57.47254056425991,57.90988941431237,29222000
2022-01-14,57.395362854003906,57.523995634031074,55.8089093470954,56.049020380460796,35994400
2022-01-18,55.99757766723633,57.31818853426635,55.826065089187324,57.189562278899444,26353600
2022-01-19,55.08856964111328,56.306285875763834,54.85703587135861,56.306285875763834,22817100
2022-01-20,55.277225494384766,56.12619130157991,54.6254942006922,55.13144474272654,22794100
2022-01-21,54.25675964355469,55.26865762839617,53.81083677889063,54.87419180559226,28637900
2022-01-24,53.76795196533203,53.85370496513626,51.478310232365885,52.74747360281854,38601700
2022-01-25,54.97708511352539,55.27722387063301,52.42160723313148,53.14194352145687,34371100
2022-01-26,55.525909423828125,56.409177669787844,54.771270665510926,55.48302965668034,31803400
2022-01-27,55.011390686035156,56.469211326103135,54.79700491293489,55.92896153320291,24674000
2022-01-28,55.474464416503906,55.49161239953639,53.87943375056627,54.556890303436774,20953500
2022-01-31,55.84321212768555,55.954690381562266,54.53974287949852,54.891338710435484,23067400
2022-02-01,57.078067779541016,57.189552571984265,55.774605120287696,56.117623675628494,26868400
2022-02-02,56.79508590698242,57.283885242534716,56.23768154897559,56.8979868981292,18194200
2022-02-03,55.9632682800293,56.92371242902956,55.76603047512527,56.820811437371,18219100
2022-02-04,57.1127815246582,57.614075667258554,56.04104785549882,56.213911315395535,23267900
2022-02-07,57.35478591918945,57.726434129281486,56.6114894990054,57.12142188811909,20081600
2022-02-08,58.01165008544922,58.74630163545068,57.56221169655584,57.95978775192056,23191000
2022-02-09,58.633934020996094,58.93644339434963,58.028928462421106,58.262292459347194,20902700
2022-02-10,58.3400764465332,59.24759138443904,58.098074221509265,58.729007651883656,22522300
2022-02-11,58.03757858276367,59.73160089553141,57.562212318998924,58.124007014157264,27226700
2022-02-14,57.441200256347656,58.098068079156064,56.88805048789807,57.795565329857915,24544000
2022-02-15,57.90793228149414,58.322797981318026,57.501711402976284,58.0462230461243,15487600
2022-02-16,57.86471176147461,58.27957743973558,57.415279987919284,57.51035323514438,13067400
2022-02-17,55.9286994934082,57.59679420237975,55.49655067340591,57.32886404407999,23150000
